Үзүүлэлт,Станцын байршил,Сар,value
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2024-08,0.006
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2024-07,0.01
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2024-06,0.011
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2024-05,0.025
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2024-04,0.02
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2024-03,0.031
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2024-02,0.05
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2024-01,0.071
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2023-12,0.047
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2023-11,0.026
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2023-10,0.016
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2023-09,0.008
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2023-08,0.007
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2023-07,0.008
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2023-06,0.009
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2023-05,0.014
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2023-04,0.023
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2023-03,0.027
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2023-02,0.053
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2023-01,0.077
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2022-12,0.07
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2022-11,0.034
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2022-10,0.021
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2022-09,0.014
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2022-08,0.008
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2022-07,0.01
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2022-06,0.013
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2022-05,0.019
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2022-04,0.026
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2022-03,0.024
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2022-02,0.034
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2022-01,0.042
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2021-12,0.053
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2021-11,0.021
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2021-10,0.014
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2021-09,0.006
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2021-08,0.012
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2021-07,0.011
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2021-06,0.012
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2021-05,0.02
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2021-04,0.024
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2021-03,0.036
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2021-02,0.068
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2021-01,0.112
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2020-12,0.098
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2020-11,0.03
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2020-10,0.017
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2020-09,0.006
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2020-08,0.005
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2020-07,0.005
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2020-06,0.007
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2020-05,0.009
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2020-04,0.017
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2020-03,0.024
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2020-02,0.03
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2020-01,0.033
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2019-12,0.036
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2019-11,0.019
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2019-10,0.012
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2019-09,0.006
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2019-08,0.005
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2019-07,0.005
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2019-06,0.005
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2019-05,0.011
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2019-04,0.014
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2019-03,0.019
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2019-02,0.022
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2019-01,0.022
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2018-12,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2018-11,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2018-10,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2018-09,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2018-08,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2018-07,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2018-06,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2018-05,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2018-04,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2018-03,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2018-02,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2018-01,0.038
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2017-12,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2017-11,0.024
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2017-10,0.024
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2017-09,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2017-08,0.007
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2017-07,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2017-06,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2017-05,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2017-04,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2017-03,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2017-02,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2017-01,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2016-12,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2016-11,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2016-10,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2016-09,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2016-08,0.003
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2016-07,0.003
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2016-06,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2016-05,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2016-04,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2016-03,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2016-02,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2016-01,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2015-12,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2015-11,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2015-10,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2015-09,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2015-08,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2015-07,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2015-06,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2015-05,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2015-04,0.015
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2015-03,0.018
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2015-02,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2015-01,0.035
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2014-12,0.029
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2014-11,0.023
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2014-10,0.009
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2014-09,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2014-08,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2014-07,0.004
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2014-06,0.005
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2014-05,0.01
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2014-04,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2014-03,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2014-02,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2014-01,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2013-12,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2013-11,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2013-10,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2013-09,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2013-08,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2013-07,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2013-06,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2013-05,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2013-04,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2013-03,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2013-02,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2013-01,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2012-12,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2012-11,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2012-10,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2012-09,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2012-08,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2012-07,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2012-06,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2012-05,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2012-04,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2012-03,0.039
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2012-02,0.047
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2012-01,0.061
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2011-12,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2011-11,0.039
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2011-10,0.011
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2011-09,0.005
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2011-08,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2011-07,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2011-06,0.011
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2011-05,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2011-04,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2011-03,0.023
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2011-02,0.051
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2011-01,0.026
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2010-12,0.048
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2010-11,0.022
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2010-10,0.012
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2010-09,0.011
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2010-08,0.007
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2010-07,0.005
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2010-06,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2010-05,0.016
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2010-04,0.023
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2010-03,0.025
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2010-02,0.03
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2010-01,0.033
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2009-12,0.036
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2009-11,0.027
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2009-10,0.013
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2009-09,0.002
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2009-08,0.0
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2009-07,0.0
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2009-06,0.0
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2009-05,0.001
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2009-04,0.002
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2009-03,0.008
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2009-02,0.003
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2009-01,0.007
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2008-12,0.007
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2008-11,0.019
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2008-10,0.005
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2008-09,0.004
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2008-08,0.002
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2008-07,0.001
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2008-06,0.003
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2008-05,0.005
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2008-04,0.01
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2008-03,0.009
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2008-02,0.017
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2008-01,0.014
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2007-12,0.01
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2007-11,0.008
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2007-10,0.004
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2007-09,0.003
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2007-08,0.002
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2007-07,0.004
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2007-06,0.004
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2007-05,0.004
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2007-04,0.007
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2007-03,0.011
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2007-02,0.012
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2007-01,0.019
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2006-12,0.018
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2006-11,0.014
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2006-10,0.009
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2006-09,0.004
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2006-08,0.004
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2006-07,0.002
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2006-06,0.003
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2006-05,0.008
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2006-04,0.007
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2006-03,0.01
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2006-02,0.013
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2006-01,0.014
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2005-12,0.011
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2005-11,0.009
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2005-10,0.007
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2005-09,0.007
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2005-08,0.003
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2005-07,0.003
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2005-06,0.002
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2005-05,0.005
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2005-04,0.011
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2005-03,0.011
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2005-02,0.017
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2005-01,0.02
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2004-12,0.013
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2004-11,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2004-10,0.005
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2004-09,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2004-08,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2004-07,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2004-06,0.001
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2004-05,0.002
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2004-04,0.005
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2004-03,0.005
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2004-02,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2004-01,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2003-12,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2003-11,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2003-10,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2003-09,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2003-08,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2003-07,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2003-06,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2003-05,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2003-04,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2003-03,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2003-02,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2003-01,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2002-12,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2002-11,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2002-10,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2002-09,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2002-08,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2002-07,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2002-06,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2002-05,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2002-04,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2002-03,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2002-02,
Хүхэрлэг хий SO₂: Дундаж,Мишээл-экспо төв,2002-01,
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2026-08,0.006
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2026-07,0.006
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2026-06,0.007
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2026-05,0.012
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2026-04,0.017
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2026-03,0.022
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2026-02,0.027
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2026-01,0.028
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2025-12,0.033
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2025-11,0.029
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2025-10,0.018
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2025-09,0.007
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2025-08,0.006
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2025-07,0.007
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2025-06,0.012
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2025-05,0.017
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2025-04,0.024
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2025-03,0.032
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2025-02,0.064
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2025-01,0.085
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2024-12,0.079
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2024-11,0.035
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2024-10,0.016
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2024-09,0.01
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2024-08,0.003
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2024-07,0.005
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2024-06,0.005
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2024-05,0.012
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2024-04,0.017
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2024-03,0.036
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2024-02,0.056
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2024-01,0.07
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2023-12,0.058
Хүхэрлэг хий SO₂: Дундаж,Баруун дөрвөн зам,2023-11,0.029
