Суурь он,Бүлэг,Сар,value
2015=100,"Хүнсний бараа, ундаа, ус",2010-05,69.7
2015=100,"Хүнсний бараа, ундаа, ус",2010-04,65.5
2015=100,"Хүнсний бараа, ундаа, ус",2010-03,62.8
2015=100,"Хүнсний бараа, ундаа, ус",2010-02,60.3
2015=100,"Хүнсний бараа, ундаа, ус",2010-01,56.7
2015=100,"Хүнсний бараа, ундаа, ус",2009-12,54.2
2015=100,"Хүнсний бараа, ундаа, ус",2009-11,53.5
2015=100,"Хүнсний бараа, ундаа, ус",2009-10,52.0
2015=100,"Хүнсний бараа, ундаа, ус",2009-09,52.6
2015=100,"Хүнсний бараа, ундаа, ус",2009-08,53.6
2015=100,"Хүнсний бараа, ундаа, ус",2009-07,55.7
2015=100,"Хүнсний бараа, ундаа, ус",2009-06,58.2
2015=100,"Хүнсний бараа, ундаа, ус",2009-05,60.4
2015=100,"Хүнсний бараа, ундаа, ус",2009-04,60.1
2015=100,"Хүнсний бараа, ундаа, ус",2009-03,57.6
2015=100,"Хүнсний бараа, ундаа, ус",2009-02,55.9
2015=100,"Хүнсний бараа, ундаа, ус",2009-01,54.9
2015=100,"Хүнсний бараа, ундаа, ус",2008-12,54.0
2015=100,"Хүнсний бараа, ундаа, ус",2008-11,53.6
2015=100,"Хүнсний бараа, ундаа, ус",2008-10,55.0
2015=100,"Хүнсний бараа, ундаа, ус",2008-09,56.8
2015=100,"Хүнсний бараа, ундаа, ус",2008-08,58.0
2015=100,"Хүнсний бараа, ундаа, ус",2008-07,59.2
2015=100,"Хүнсний бараа, ундаа, ус",2008-06,60.2
2015=100,"Хүнсний бараа, ундаа, ус",2008-05,60.5
2015=100,"Хүнсний бараа, ундаа, ус",2008-04,56.3
2015=100,"Хүнсний бараа, ундаа, ус",2008-03,50.7
2015=100,"Хүнсний бараа, ундаа, ус",2008-02,47.7
2015=100,"Хүнсний бараа, ундаа, ус",2008-01,45.3
2015=100,"Хүнсний бараа, ундаа, ус",2007-12,43.6
2015=100,"Хүнсний бараа, ундаа, ус",2007-11,41.5
2015=100,"Хүнсний бараа, ундаа, ус",2007-10,40.6
2015=100,"Хүнсний бараа, ундаа, ус",2007-09,40.5
2015=100,"Хүнсний бараа, ундаа, ус",2007-08,40.2
2015=100,"Хүнсний бараа, ундаа, ус",2007-07,39.3
2015=100,"Хүнсний бараа, ундаа, ус",2007-06,39.0
2015=100,"Хүнсний бараа, ундаа, ус",2007-05,38.8
2015=100,"Хүнсний бараа, ундаа, ус",2007-04,38.0
2015=100,"Хүнсний бараа, ундаа, ус",2007-03,36.9
2015=100,"Хүнсний бараа, ундаа, ус",2007-02,36.1
2015=100,"Хүнсний бараа, ундаа, ус",2007-01,34.5
2015=100,"Хүнсний бараа, ундаа, ус",2006-12,34.0
2015=100,"Хүнсний бараа, ундаа, ус",2006-11,33.3
2015=100,"Хүнсний бараа, ундаа, ус",2006-10,33.5
2015=100,"Хүнсний бараа, ундаа, ус",2006-09,33.8
2015=100,"Хүнсний бараа, ундаа, ус",2006-08,35.1
2015=100,"Хүнсний бараа, ундаа, ус",2006-07,36.5
2015=100,"Хүнсний бараа, ундаа, ус",2006-06,36.6
2015=100,"Хүнсний бараа, ундаа, ус",2006-05,36.6
2015=100,"Хүнсний бараа, ундаа, ус",2006-04,35.8
