Гэмт хэргийн төрөл,Он,value
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2022,453
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2021,417
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2020,366
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2019,388
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2018,392
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2017,496
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2016,426
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2015,446
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2014,417
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2013,471
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2012,451
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2011,484
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2010,475
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2024,8
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2023,1
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2022,0
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2021,0
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2020,0
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2019,0
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2018,0
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2017,30
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2016,127
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2015,159
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2014,141
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2013,120
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2012,111
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2011,67
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2010,59
Өмчлөх эрхийн эсрэг гэмт хэрэг,2024,13493
Өмчлөх эрхийн эсрэг гэмт хэрэг,2023,13555
Өмчлөх эрхийн эсрэг гэмт хэрэг,2022,12639
Өмчлөх эрхийн эсрэг гэмт хэрэг,2021,8039
Өмчлөх эрхийн эсрэг гэмт хэрэг,2020,7036
Өмчлөх эрхийн эсрэг гэмт хэрэг,2019,7641
Өмчлөх эрхийн эсрэг гэмт хэрэг,2018,6885
Өмчлөх эрхийн эсрэг гэмт хэрэг,2017,6926
Өмчлөх эрхийн эсрэг гэмт хэрэг,2016,9915
Өмчлөх эрхийн эсрэг гэмт хэрэг,2015,10326
Өмчлөх эрхийн эсрэг гэмт хэрэг,2014,9233
Өмчлөх эрхийн эсрэг гэмт хэрэг,2013,8207
Өмчлөх эрхийн эсрэг гэмт хэрэг,2012,6977
Өмчлөх эрхийн эсрэг гэмт хэрэг,2011,6115
Өмчлөх эрхийн эсрэг гэмт хэрэг,2010,7586
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2024,0
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2023,0
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2022,0
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2021,3
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2020,14
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2019,0
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2018,66
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2017,17
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2016,2
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2015,1
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2014,11
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2013,35
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2012,147
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2011,98
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2010,139
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2024,95
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2023,66
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2022,55
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2021,105
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2020,51
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2019,104
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2018,58
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2017,102
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2016,144
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2015,186
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2014,182
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2013,188
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2012,185
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2011,129
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2010,202
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2024,277
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2023,328
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2022,292
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2021,448
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2020,352
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2019,366
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2018,329
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2017,1106
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2016,1997
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2015,2219
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2014,2146
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2013,2298
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2012,2049
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2011,2243
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2010,2265
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2024,543
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2023,557
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2022,448
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2021,570
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2020,588
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2019,359
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2018,307
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2017,293
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2016,210
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2015,304
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2014,396
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2013,422
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2012,418
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2011,340
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2010,284
"    Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2024,2718
"    Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2023,1015
"    Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2022,1054
"    Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2021,800
"    Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2020,854
"    Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2019,973
"    Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2018,903
"    Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2017,1273
"    Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2016,1728
"    Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2015,1956
"    Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2014,2048
"    Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2013,2015
"    Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2012,1887
"    Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2011,1738
"    Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2010,1566
    Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2024,196
    Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2023,301
    Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2022,182
    Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2021,186
    Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2020,150
    Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2019,226
    Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2018,119
    Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2017,215
    Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2016,280
    Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2015,278
    Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2014,254
    Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2013,264
    Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2012,284
    Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2011,248
    Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2010,234
    Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2024,29
    Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2023,23
    Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2022,31
    Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2021,22
    Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2020,35
    Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2019,27
    Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2018,54
    Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2017,63
    Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2016,90
    Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2015,99
    Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2014,106
    Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2013,95
    Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2012,104
    Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2011,93
    Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2010,67
    Авлигын гэмт хэрэг,2024,0
    Авлигын гэмт хэрэг,2023,0
    Авлигын гэмт хэрэг,2022,0
    Авлигын гэмт хэрэг,2021,1
    Авлигын гэмт хэрэг,2020,1
    Авлигын гэмт хэрэг,2019,8
    Авлигын гэмт хэрэг,2018,2
    Авлигын гэмт хэрэг,2017,17
    Авлигын гэмт хэрэг,2016,19
    Авлигын гэмт хэрэг,2015,29
    Авлигын гэмт хэрэг,2014,40
    Авлигын гэмт хэрэг,2013,42
    Авлигын гэмт хэрэг,2012,62
    Авлигын гэмт хэрэг,2011,67
    Авлигын гэмт хэрэг,2010,132
    Цэргийн албаны эсрэг гэмт хэрэг,2024,14
    Цэргийн албаны эсрэг гэмт хэрэг,2023,8
    Цэргийн албаны эсрэг гэмт хэрэг,2022,9
    Цэргийн албаны эсрэг гэмт хэрэг,2021,14
    Цэргийн албаны эсрэг гэмт хэрэг,2020,8
    Цэргийн албаны эсрэг гэмт хэрэг,2019,13
    Цэргийн албаны эсрэг гэмт хэрэг,2018,12
    Цэргийн албаны эсрэг гэмт хэрэг,2017,5
    Цэргийн албаны эсрэг гэмт хэрэг,2016,13
    Цэргийн албаны эсрэг гэмт хэрэг,2015,10
    Цэргийн албаны эсрэг гэмт хэрэг,2014,12
    Цэргийн албаны эсрэг гэмт хэрэг,2013,10
    Цэргийн албаны эсрэг гэмт хэрэг,2012,16
    Цэргийн албаны эсрэг гэмт хэрэг,2011,7
    Цэргийн албаны эсрэг гэмт хэрэг,2010,13
    Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2024,166
    Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2023,155
    Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2022,133
    Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2021,76
    Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2020,73
    Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2019,12
    Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2018,7
    Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2017,14
    Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2016,10
    Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2015,2
    Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2014,2
    Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2013,0
    Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2012,0
    Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2011,0
    Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2010,3
    Эрүүл мэндийн эсрэг гэмт хэрэг,2024,7
    Эрүүл мэндийн эсрэг гэмт хэрэг,2023,8
    Эрүүл мэндийн эсрэг гэмт хэрэг,2022,4
    Эрүүл мэндийн эсрэг гэмт хэрэг,2021,14
    Эрүүл мэндийн эсрэг гэмт хэрэг,2020,10
    Эрүүл мэндийн эсрэг гэмт хэрэг,2019,1
    Эрүүл мэндийн эсрэг гэмт хэрэг,2018,10
    Эрүүл мэндийн эсрэг гэмт хэрэг,2017,4
    Эрүүл мэндийн эсрэг гэмт хэрэг,2016,0
    Эрүүл мэндийн эсрэг гэмт хэрэг,2015,0
    Эрүүл мэндийн эсрэг гэмт хэрэг,2014,0
    Эрүүл мэндийн эсрэг гэмт хэрэг,2013,0
    Эрүүл мэндийн эсрэг гэмт хэрэг,2012,0
    Эрүүл мэндийн эсрэг гэмт хэрэг,2011,0
    Эрүүл мэндийн эсрэг гэмт хэрэг,2010,0
    Хүүхдийн эсрэг гэмт хэрэг,2024,36
    Хүүхдийн эсрэг гэмт хэрэг,2023,45
    Хүүхдийн эсрэг гэмт хэрэг,2022,41
    Хүүхдийн эсрэг гэмт хэрэг,2021,25
    Хүүхдийн эсрэг гэмт хэрэг,2020,7
    Хүүхдийн эсрэг гэмт хэрэг,2019,14
    Хүүхдийн эсрэг гэмт хэрэг,2018,8
    Хүүхдийн эсрэг гэмт хэрэг,2017,3
    Хүүхдийн эсрэг гэмт хэрэг,2016,0
    Хүүхдийн эсрэг гэмт хэрэг,2015,0
    Хүүхдийн эсрэг гэмт хэрэг,2014,0
    Хүүхдийн эсрэг гэмт хэрэг,2013,0
    Хүүхдийн эсрэг гэмт хэрэг,2012,0
    Хүүхдийн эсрэг гэмт хэрэг,2011,0
    Хүүхдийн эсрэг гэмт хэрэг,2010,0
"    Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2024,0
"    Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2023,0
"    Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2022,0
"    Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2021,0
"    Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2020,0
"    Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2019,0
"    Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2018,1
"    Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2017,0
"    Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2016,0
"    Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2015,0
"    Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2014,0
"    Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2013,0
"    Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2012,0
"    Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2011,0
"    Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2010,0
Улсын дүн,2024,25291
Улсын дүн,2023,24134
Улсын дүн,2022,23665
Улсын дүн,2021,18078
Улсын дүн,2020,16667
Улсын дүн,2019,17110
Улсын дүн,2018,16389
Улсын дүн,2017,18131
Улсын дүн,2016,23805
Улсын дүн,2015,24857
Улсын дүн,2014,23737
Улсын дүн,2013,22286
Улсын дүн,2012,19734
Улсын дүн,2011,17982
Улсын дүн,2010,19378
