Region,Age group,Gender,Year,value
 Arkhangai,30-34,Total,2024,98.8
 Arkhangai,30-34,Total,2023,95.5
 Arkhangai,30-34,Total,2022,95.7
 Arkhangai,30-34,Total,2021,97.0
 Arkhangai,30-34,Total,2020,94.0
 Arkhangai,30-34,Total,2019,88.3
 Arkhangai,30-34,Total,2018,95.7
 Arkhangai,30-34,Total,2017,95.1
 Arkhangai,30-34,Total,2016,95.5
 Arkhangai,30-34,Total,2015,100.0
 Arkhangai,30-34,Total,2014,95.6
 Arkhangai,30-34,Total,2013,100.0
 Arkhangai,30-34,Total,2012,96.0
 Arkhangai,30-34,Total,2011,97.9
 Arkhangai,30-34,Total,2010,96.1
 Arkhangai,30-34,Total,2009,95.2
 Arkhangai,30-34, Male,2025,100.0
 Arkhangai,30-34, Male,2024,100.0
 Arkhangai,30-34, Male,2023,100.0
 Arkhangai,30-34, Male,2022,98.8
 Arkhangai,30-34, Male,2021,100.0
 Arkhangai,30-34, Male,2020,100.0
 Arkhangai,30-34, Male,2019,95.5
 Arkhangai,30-34, Male,2018,100.0
 Arkhangai,30-34, Male,2017,93.5
 Arkhangai,30-34, Male,2016,98.1
 Arkhangai,30-34, Male,2015,100.0
 Arkhangai,30-34, Male,2014,96.5
 Arkhangai,30-34, Male,2013,100.0
 Arkhangai,30-34, Male,2012,98.2
 Arkhangai,30-34, Male,2011,95.2
 Arkhangai,30-34, Male,2010,96.2
 Arkhangai,30-34, Male,2009,93.6
 Arkhangai,30-34, Female,2025,78.2
 Arkhangai,30-34, Female,2024,97.7
 Arkhangai,30-34, Female,2023,93.0
 Arkhangai,30-34, Female,2022,92.7
 Arkhangai,30-34, Female,2021,94.8
 Arkhangai,30-34, Female,2020,89.0
 Arkhangai,30-34, Female,2019,82.4
 Arkhangai,30-34, Female,2018,91.7
 Arkhangai,30-34, Female,2017,96.4
 Arkhangai,30-34, Female,2016,93.3
 Arkhangai,30-34, Female,2015,100.0
 Arkhangai,30-34, Female,2014,94.7
 Arkhangai,30-34, Female,2013,100.0
 Arkhangai,30-34, Female,2012,93.9
 Arkhangai,30-34, Female,2011,100.0
 Arkhangai,30-34, Female,2010,95.9
 Arkhangai,30-34, Female,2009,96.7
 Arkhangai,35-39,Total,2025,94.5
 Arkhangai,35-39,Total,2024,89.9
 Arkhangai,35-39,Total,2023,91.1
 Arkhangai,35-39,Total,2022,93.2
 Arkhangai,35-39,Total,2021,97.0
 Arkhangai,35-39,Total,2020,94.0
 Arkhangai,35-39,Total,2019,90.1
 Arkhangai,35-39,Total,2018,96.0
 Arkhangai,35-39,Total,2017,94.9
 Arkhangai,35-39,Total,2016,93.3
 Arkhangai,35-39,Total,2015,96.8
 Arkhangai,35-39,Total,2014,97.4
 Arkhangai,35-39,Total,2013,94.5
 Arkhangai,35-39,Total,2012,96.0
 Arkhangai,35-39,Total,2011,96.5
 Arkhangai,35-39,Total,2010,96.6
 Arkhangai,35-39,Total,2009,96.0
 Arkhangai,35-39, Male,2025,99.3
 Arkhangai,35-39, Male,2024,94.7
 Arkhangai,35-39, Male,2023,87.3
 Arkhangai,35-39, Male,2022,96.8
 Arkhangai,35-39, Male,2021,94.5
 Arkhangai,35-39, Male,2020,96.1
 Arkhangai,35-39, Male,2019,95.9
 Arkhangai,35-39, Male,2018,97.1
 Arkhangai,35-39, Male,2017,95.5
 Arkhangai,35-39, Male,2016,95.9
 Arkhangai,35-39, Male,2015,100.0
 Arkhangai,35-39, Male,2014,94.9
 Arkhangai,35-39, Male,2013,96.8
 Arkhangai,35-39, Male,2012,100.0
 Arkhangai,35-39, Male,2011,98.0
 Arkhangai,35-39, Male,2010,95.7
 Arkhangai,35-39, Male,2009,92.8
 Arkhangai,35-39, Female,2025,88.2
 Arkhangai,35-39, Female,2024,86.6
 Arkhangai,35-39, Female,2023,95.0
 Arkhangai,35-39, Female,2022,90.5
 Arkhangai,35-39, Female,2021,100.0
 Arkhangai,35-39, Female,2020,91.6
 Arkhangai,35-39, Female,2019,85.4
 Arkhangai,35-39, Female,2018,94.8
 Arkhangai,35-39, Female,2017,94.4
 Arkhangai,35-39, Female,2016,90.2
 Arkhangai,35-39, Female,2015,94.0
 Arkhangai,35-39, Female,2014,100.0
 Arkhangai,35-39, Female,2013,92.8
 Arkhangai,35-39, Female,2012,91.9
 Arkhangai,35-39, Female,2011,95.0
 Arkhangai,35-39, Female,2010,97.7
 Arkhangai,35-39, Female,2009,100.0
 Arkhangai,40-44,Total,2025,96.1
 Arkhangai,40-44,Total,2024,92.3
 Arkhangai,40-44,Total,2023,94.4
 Arkhangai,40-44,Total,2022,96.4
 Arkhangai,40-44,Total,2021,89.4
 Arkhangai,40-44,Total,2020,95.5
 Arkhangai,40-44,Total,2019,96.9
 Arkhangai,40-44,Total,2018,92.5
 Arkhangai,40-44,Total,2017,96.6
 Arkhangai,40-44,Total,2016,96.3
 Arkhangai,40-44,Total,2015,96.6
 Arkhangai,40-44,Total,2014,96.0
 Arkhangai,40-44,Total,2013,98.0
 Arkhangai,40-44,Total,2012,94.6
 Arkhangai,40-44,Total,2011,100.0
 Arkhangai,40-44,Total,2010,97.8
 Arkhangai,40-44,Total,2009,98.3
 Arkhangai,40-44, Male,2025,94.8
 Arkhangai,40-44, Male,2024,90.2
 Arkhangai,40-44, Male,2023,90.2
 Arkhangai,40-44, Male,2022,100.0
 Arkhangai,40-44, Male,2021,92.2
 Arkhangai,40-44, Male,2020,100.0
 Arkhangai,40-44, Male,2019,100.0
 Arkhangai,40-44, Male,2018,93.3
 Arkhangai,40-44, Male,2017,100.0
 Arkhangai,40-44, Male,2016,96.6
 Arkhangai,40-44, Male,2015,98.3
 Arkhangai,40-44, Male,2014,93.9
 Arkhangai,40-44, Male,2013,97.2
 Arkhangai,40-44, Male,2012,96.4
 Arkhangai,40-44, Male,2011,100.0
 Arkhangai,40-44, Male,2010,98.3
 Arkhangai,40-44, Male,2009,100.0
 Arkhangai,40-44, Female,2025,97.2
 Arkhangai,40-44, Female,2024,94.2
 Arkhangai,40-44, Female,2023,100.0
 Arkhangai,40-44, Female,2022,93.0
 Arkhangai,40-44, Female,2021,87.5
 Arkhangai,40-44, Female,2020,92.5
 Arkhangai,40-44, Female,2019,93.0
 Arkhangai,40-44, Female,2018,91.9
 Arkhangai,40-44, Female,2017,93.6
 Arkhangai,40-44, Female,2016,96.0
 Arkhangai,40-44, Female,2015,95.2
 Arkhangai,40-44, Female,2014,98.2
 Arkhangai,40-44, Female,2013,98.9
 Arkhangai,40-44, Female,2012,93.0
 Arkhangai,40-44, Female,2011,100.0
 Arkhangai,40-44, Female,2010,97.4
 Arkhangai,40-44, Female,2009,97.4
 Arkhangai,45-49,Total,2025,95.4
 Arkhangai,45-49,Total,2024,90.6
 Arkhangai,45-49,Total,2023,98.4
 Arkhangai,45-49,Total,2022,95.6
 Arkhangai,45-49,Total,2021,90.8
 Arkhangai,45-49,Total,2020,95.3
 Arkhangai,45-49,Total,2019,96.3
 Arkhangai,45-49,Total,2018,97.8
 Arkhangai,45-49,Total,2017,89.0
 Arkhangai,45-49,Total,2016,97.1
 Arkhangai,45-49,Total,2015,95.3
 Arkhangai,45-49,Total,2014,95.8
 Arkhangai,45-49,Total,2013,98.3
 Arkhangai,45-49,Total,2012,95.1
 Arkhangai,45-49,Total,2011,92.7
 Arkhangai,45-49,Total,2010,96.7
 Arkhangai,45-49,Total,2009,97.3
 Arkhangai,45-49, Male,2025,98.9
 Arkhangai,45-49, Male,2024,94.2
 Arkhangai,45-49, Male,2023,96.5
 Arkhangai,45-49, Male,2022,98.3
 Arkhangai,45-49, Male,2021,96.4
 Arkhangai,45-49, Male,2020,97.1
 Arkhangai,45-49, Male,2019,100.0
 Arkhangai,45-49, Male,2018,98.4
 Arkhangai,45-49, Male,2017,88.9
 Arkhangai,45-49, Male,2016,97.0
 Arkhangai,45-49, Male,2015,95.6
 Arkhangai,45-49, Male,2014,94.3
 Arkhangai,45-49, Male,2013,98.3
 Arkhangai,45-49, Male,2012,93.2
 Arkhangai,45-49, Male,2011,95.5
 Arkhangai,45-49, Male,2010,98.6
 Arkhangai,45-49, Male,2009,96.0
 Arkhangai,45-49, Female,2025,91.1
 Arkhangai,45-49, Female,2024,86.2
 Arkhangai,45-49, Female,2023,100.0
 Arkhangai,45-49, Female,2022,93.1
 Arkhangai,45-49, Female,2021,83.0
 Arkhangai,45-49, Female,2020,93.5
 Arkhangai,45-49, Female,2019,93.1
 Arkhangai,45-49, Female,2018,97.3
 Arkhangai,45-49, Female,2017,89.1
 Arkhangai,45-49, Female,2016,97.2
 Arkhangai,45-49, Female,2015,94.9
 Arkhangai,45-49, Female,2014,97.0
 Arkhangai,45-49, Female,2013,98.3
 Arkhangai,45-49, Female,2012,97.1
 Arkhangai,45-49, Female,2011,89.9
 Arkhangai,45-49, Female,2010,94.5
 Arkhangai,45-49, Female,2009,100.0
 Arkhangai,50-54,Total,2025,94.8
 Arkhangai,50-54,Total,2024,76.0
 Arkhangai,50-54,Total,2023,88.1
 Arkhangai,50-54,Total,2022,85.6
 Arkhangai,50-54,Total,2021,97.6
 Arkhangai,50-54,Total,2020,85.5
 Arkhangai,50-54,Total,2019,73.4
 Arkhangai,50-54,Total,2018,86.6
 Arkhangai,50-54,Total,2017,88.4
 Arkhangai,50-54,Total,2016,90.8
 Arkhangai,50-54,Total,2015,85.7
 Arkhangai,50-54,Total,2014,86.1
 Arkhangai,50-54,Total,2013,88.8
 Arkhangai,50-54,Total,2012,81.4
 Arkhangai,50-54,Total,2011,91.5
 Arkhangai,50-54,Total,2010,86.0
 Arkhangai,50-54,Total,2009,88.7
 Arkhangai,50-54, Male,2025,100.0
 Arkhangai,50-54, Male,2024,93.0
 Arkhangai,50-54, Male,2023,87.7
 Arkhangai,50-54, Male,2022,98.4
 Arkhangai,50-54, Male,2021,98.5
 Arkhangai,50-54, Male,2020,92.0
 Arkhangai,50-54, Male,2019,79.1
 Arkhangai,50-54, Male,2018,88.2
 Arkhangai,50-54, Male,2017,91.8
 Arkhangai,50-54, Male,2016,98.1
 Arkhangai,50-54, Male,2015,89.1
 Arkhangai,50-54, Male,2014,87.5
 Arkhangai,50-54, Male,2013,92.8
 Arkhangai,50-54, Male,2012,80.3
 Arkhangai,50-54, Male,2011,91.2
 Arkhangai,50-54, Male,2010,97.4
 Arkhangai,50-54, Male,2009,94.7
 Arkhangai,50-54, Female,2025,90.9
 Arkhangai,50-54, Female,2024,63.6
 Arkhangai,50-54, Female,2023,88.3
 Arkhangai,50-54, Female,2022,79.2
 Arkhangai,50-54, Female,2021,96.9
 Arkhangai,50-54, Female,2020,79.5
 Arkhangai,50-54, Female,2019,65.8
 Arkhangai,50-54, Female,2018,84.8
 Arkhangai,50-54, Female,2017,85.6
 Arkhangai,50-54, Female,2016,83.2
 Arkhangai,50-54, Female,2015,81.2
 Arkhangai,50-54, Female,2014,84.3
 Arkhangai,50-54, Female,2013,84.8
 Arkhangai,50-54, Female,2012,82.3
 Arkhangai,50-54, Female,2011,91.7
 Arkhangai,50-54, Female,2010,74.5
 Arkhangai,50-54, Female,2009,82.2
 Arkhangai,55-59,Total,2025,64.8
 Arkhangai,55-59,Total,2024,54.4
 Arkhangai,55-59,Total,2023,46.2
 Arkhangai,55-59,Total,2022,58.7
 Arkhangai,55-59,Total,2021,57.7
 Arkhangai,55-59,Total,2020,76.8
 Arkhangai,55-59,Total,2019,69.8
 Arkhangai,55-59,Total,2018,76.0
 Arkhangai,55-59,Total,2017,66.3
 Arkhangai,55-59,Total,2016,71.5
 Arkhangai,55-59,Total,2015,59.2
 Arkhangai,55-59,Total,2014,67.7
 Arkhangai,55-59,Total,2013,57.1
 Arkhangai,55-59,Total,2012,77.8
 Arkhangai,55-59,Total,2011,74.6
 Arkhangai,55-59,Total,2010,62.8
 Arkhangai,55-59,Total,2009,53.1
 Arkhangai,55-59, Male,2025,90.3
 Arkhangai,55-59, Male,2024,76.1
 Arkhangai,55-59, Male,2023,57.4
 Arkhangai,55-59, Male,2022,81.7
 Arkhangai,55-59, Male,2021,87.1
 Arkhangai,55-59, Male,2020,92.8
 Arkhangai,55-59, Male,2019,84.4
 Arkhangai,55-59, Male,2018,89.1
 Arkhangai,55-59, Male,2017,76.0
 Arkhangai,55-59, Male,2016,84.5
 Arkhangai,55-59, Male,2015,86.2
 Arkhangai,55-59, Male,2014,71.8
 Arkhangai,55-59, Male,2013,78.0
 Arkhangai,55-59, Male,2012,85.1
 Arkhangai,55-59, Male,2011,92.1
 Arkhangai,55-59, Male,2010,87.1
 Arkhangai,55-59, Male,2009,65.3
 Arkhangai,55-59, Female,2025,44.7
 Arkhangai,55-59, Female,2024,43.1
 Arkhangai,55-59, Female,2023,38.8
 Arkhangai,55-59, Female,2022,40.1
 Arkhangai,55-59, Female,2021,29.4
 Arkhangai,55-59, Female,2020,56.6
 Arkhangai,55-59, Female,2019,57.5
 Arkhangai,55-59, Female,2018,63.8
 Arkhangai,55-59, Female,2017,57.5
 Arkhangai,55-59, Female,2016,62.8
 Arkhangai,55-59, Female,2015,44.3
 Arkhangai,55-59, Female,2014,64.6
 Arkhangai,55-59, Female,2013,43.6
 Arkhangai,55-59, Female,2012,72.1
 Arkhangai,55-59, Female,2011,57.6
 Arkhangai,55-59, Female,2010,49.0
 Arkhangai,55-59, Female,2009,44.5
 Arkhangai,60-64,Total,2025,37.3
 Arkhangai,60-64,Total,2024,39.2
 Arkhangai,60-64,Total,2023,34.1
 Arkhangai,60-64,Total,2022,39.3
 Arkhangai,60-64,Total,2021,18.7
 Arkhangai,60-64,Total,2020,25.6
 Arkhangai,60-64,Total,2019,55.8
 Arkhangai,60-64,Total,2018,53.6
 Arkhangai,60-64,Total,2017,43.4
 Arkhangai,60-64,Total,2016,45.5
 Arkhangai,60-64,Total,2015,50.0
 Arkhangai,60-64,Total,2014,45.5
 Arkhangai,60-64,Total,2013,31.1
 Arkhangai,60-64,Total,2012,43.5
 Arkhangai,60-64,Total,2011,42.0
 Arkhangai,60-64,Total,2010,53.8
 Arkhangai,60-64,Total,2009,33.1
 Arkhangai,60-64, Male,2025,34.8
 Arkhangai,60-64, Male,2024,42.5
 Arkhangai,60-64, Male,2023,49.6
 Arkhangai,60-64, Male,2022,40.6
 Arkhangai,60-64, Male,2021,16.7
 Arkhangai,60-64, Male,2020,16.3
 Arkhangai,60-64, Male,2019,63.0
 Arkhangai,60-64, Male,2018,66.5
 Arkhangai,60-64, Male,2017,48.1
 Arkhangai,60-64, Male,2016,63.7
 Arkhangai,60-64, Male,2015,56.1
 Arkhangai,60-64, Male,2014,53.4
 Arkhangai,60-64, Male,2013,29.7
 Arkhangai,60-64, Male,2012,61.1
 Arkhangai,60-64, Male,2011,65.4
 Arkhangai,60-64, Male,2010,55.3
 Arkhangai,60-64, Male,2009,33.9
 Arkhangai,60-64, Female,2025,40.4
 Arkhangai,60-64, Female,2024,35.4
 Arkhangai,60-64, Female,2023,24.2
 Arkhangai,60-64, Female,2022,37.8
 Arkhangai,60-64, Female,2021,20.4
 Arkhangai,60-64, Female,2020,33.3
 Arkhangai,60-64, Female,2019,46.6
 Arkhangai,60-64, Female,2018,40.2
 Arkhangai,60-64, Female,2017,36.9
 Arkhangai,60-64, Female,2016,20.9
 Arkhangai,60-64, Female,2015,43.3
 Arkhangai,60-64, Female,2014,36.9
 Arkhangai,60-64, Female,2013,33.0
 Arkhangai,60-64, Female,2012,15.4
 Arkhangai,60-64, Female,2011,26.9
 Arkhangai,60-64, Female,2010,51.3
 Arkhangai,60-64, Female,2009,32.2
 Arkhangai,65-69,Total,2025,20.3
 Arkhangai,65-69,Total,2024,23.3
 Arkhangai,65-69,Total,2023,24.1
 Arkhangai,65-69,Total,2022,27.8
 Arkhangai,65-69,Total,2021,6.9
 Arkhangai,65-69,Total,2020,43.9
 Arkhangai,65-69,Total,2019,27.5
 Arkhangai,65-69,Total,2018,31.6
 Arkhangai,65-69,Total,2017,43.1
 Arkhangai,65-69,Total,2016,24.6
 Arkhangai,65-69,Total,2015,32.4
 Arkhangai,65-69,Total,2014,31.7
 Arkhangai,65-69,Total,2013,32.9
 Arkhangai,65-69,Total,2012,21.6
 Arkhangai,65-69,Total,2011,7.7
 Arkhangai,65-69,Total,2010,37.4
 Arkhangai,65-69,Total,2009,36.2
 Arkhangai,65-69, Male,2025,26.2
 Arkhangai,65-69, Male,2024,31.1
 Arkhangai,65-69, Male,2023,31.3
 Arkhangai,65-69, Male,2022,38.3
 Arkhangai,65-69, Male,2021,2.4
 Arkhangai,65-69, Male,2020,43.0
 Arkhangai,65-69, Male,2019,23.3
 Arkhangai,65-69, Male,2018,28.3
 Arkhangai,65-69, Male,2017,66.5
 Arkhangai,65-69, Male,2016,12.0
 Arkhangai,65-69, Male,2015,37.4
 Arkhangai,65-69, Male,2014,30.7
 Arkhangai,65-69, Male,2013,24.2
 Arkhangai,65-69, Male,2012,29.9
 Arkhangai,65-69, Male,2011,7.9
 Arkhangai,65-69, Male,2010,45.2
 Arkhangai,65-69, Male,2009,41.3
 Arkhangai,65-69, Female,2025,14.8
 Arkhangai,65-69, Female,2024,16.9
 Arkhangai,65-69, Female,2023,17.6
 Arkhangai,65-69, Female,2022,11.1
 Arkhangai,65-69, Female,2021,11.2
 Arkhangai,65-69, Female,2020,44.6
 Arkhangai,65-69, Female,2019,100.0
 Arkhangai,65-69, Female,2018,33.7
 Arkhangai,65-69, Female,2017,27.7
 Arkhangai,65-69, Female,2016,31.5
 Arkhangai,65-69, Female,2015,27.5
 Arkhangai,65-69, Female,2014,32.7
 Arkhangai,65-69, Female,2013,39.8
 Arkhangai,65-69, Female,2012,16.7
 Arkhangai,65-69, Female,2011,7.4
 Arkhangai,65-69, Female,2010,28.0
 Arkhangai,65-69, Female,2009,22.8
 Arkhangai,70+,Total,2025,6.5
 Arkhangai,70+,Total,2024,3.5
 Arkhangai,70+,Total,2023,13.4
 Arkhangai,70+,Total,2022,0.0
 Arkhangai,70+,Total,2021,16.8
 Arkhangai,70+,Total,2020,10.3
 Arkhangai,70+,Total,2019,0.0
 Arkhangai,70+,Total,2018,21.8
 Arkhangai,70+,Total,2017,8.3
 Arkhangai,70+,Total,2016,12.3
 Arkhangai,70+,Total,2015,22.3
 Arkhangai,70+,Total,2014,12.1
 Arkhangai,70+,Total,2013,21.6
 Arkhangai,70+,Total,2012,12.8
 Arkhangai,70+,Total,2011,8.3
 Arkhangai,70+,Total,2010,21.2
 Arkhangai,70+,Total,2009,15.2
 Arkhangai,70+, Male,2025,8.7
 Arkhangai,70+, Male,2024,8.7
 Arkhangai,70+, Male,2023,14.6
 Arkhangai,70+, Male,2022,0.0
 Arkhangai,70+, Male,2021,20.9
 Arkhangai,70+, Male,2020,11.0
 Arkhangai,70+, Male,2019,0.0
 Arkhangai,70+, Male,2018,24.6
 Arkhangai,70+, Male,2017,5.3
 Arkhangai,70+, Male,2016,22.3
 Arkhangai,70+, Male,2015,33.0
 Arkhangai,70+, Male,2014,25.1
 Arkhangai,70+, Male,2013,30.4
 Arkhangai,70+, Male,2012,15.3
 Arkhangai,70+, Male,2011,13.3
 Arkhangai,70+, Male,2010,27.8
 Arkhangai,70+, Male,2009,13.2
 Arkhangai,70+, Female,2025,4.9
 Arkhangai,70+, Female,2024,2.2
 Arkhangai,70+, Female,2023,12.4
 Arkhangai,70+, Female,2022,0.0
 Arkhangai,70+, Female,2021,13.9
 Arkhangai,70+, Female,2020,9.8
 Arkhangai,70+, Female,2019,0.0
 Arkhangai,70+, Female,2018,18.6
 Arkhangai,70+, Female,2017,12.7
 Arkhangai,70+, Female,2016,6.5
 Arkhangai,70+, Female,2015,12.0
 Arkhangai,70+, Female,2014,0.0
 Arkhangai,70+, Female,2013,15.9
 Arkhangai,70+, Female,2012,10.4
 Arkhangai,70+, Female,2011,4.8
 Arkhangai,70+, Female,2010,15.2
 Arkhangai,70+, Female,2009,16.5
 Bayankhongor,Total,Total,2025,66.6
 Bayankhongor,Total,Total,2024,71.0
 Bayankhongor,Total,Total,2023,72.4
 Bayankhongor,Total,Total,2022,71.1
 Bayankhongor,Total,Total,2021,71.1
 Bayankhongor,Total,Total,2020,67.6
 Bayankhongor,Total,Total,2019,64.0
 Bayankhongor,Total,Total,2018,60.5
 Bayankhongor,Total,Total,2017,65.1
 Bayankhongor,Total,Total,2016,71.7
 Bayankhongor,Total,Total,2015,67.1
 Bayankhongor,Total,Total,2014,68.7
 Bayankhongor,Total,Total,2013,66.3
 Bayankhongor,Total,Total,2012,73.7
 Bayankhongor,Total,Total,2011,69.4
 Bayankhongor,Total,Total,2010,68.0
 Bayankhongor,Total,Total,2009,68.7
 Bayankhongor,Total, Male,2025,68.4
 Bayankhongor,Total, Male,2024,78.1
 Bayankhongor,Total, Male,2023,79.3
 Bayankhongor,Total, Male,2022,76.4
 Bayankhongor,Total, Male,2021,75.4
 Bayankhongor,Total, Male,2020,70.7
 Bayankhongor,Total, Male,2019,70.2
 Bayankhongor,Total, Male,2018,67.7
 Bayankhongor,Total, Male,2017,70.6
 Bayankhongor,Total, Male,2016,76.9
 Bayankhongor,Total, Male,2015,74.2
 Bayankhongor,Total, Male,2014,74.9
 Bayankhongor,Total, Male,2013,68.3
 Bayankhongor,Total, Male,2012,79.6
 Bayankhongor,Total, Male,2011,73.1
 Bayankhongor,Total, Male,2010,72.9
 Bayankhongor,Total, Male,2009,70.5
 Bayankhongor,Total, Female,2025,65.0
 Bayankhongor,Total, Female,2024,64.4
 Bayankhongor,Total, Female,2023,66.0
 Bayankhongor,Total, Female,2022,65.6
 Bayankhongor,Total, Female,2021,67.4
 Bayankhongor,Total, Female,2020,64.7
 Bayankhongor,Total, Female,2019,58.6
 Bayankhongor,Total, Female,2018,53.9
 Bayankhongor,Total, Female,2017,59.9
 Bayankhongor,Total, Female,2016,66.8
 Bayankhongor,Total, Female,2015,60.8
 Bayankhongor,Total, Female,2014,63.3
 Bayankhongor,Total, Female,2013,64.3
 Bayankhongor,Total, Female,2012,68.2
 Bayankhongor,Total, Female,2011,66.1
 Bayankhongor,Total, Female,2010,63.5
 Bayankhongor,Total, Female,2009,66.9
 Bayankhongor,15-19,Total,2025,12.0
 Bayankhongor,15-19,Total,2024,24.7
 Bayankhongor,15-19,Total,2023,24.7
 Bayankhongor,15-19,Total,2022,18.0
 Bayankhongor,15-19,Total,2021,16.5
 Bayankhongor,15-19,Total,2020,23.6
 Bayankhongor,15-19,Total,2019,16.6
 Bayankhongor,15-19,Total,2018,16.5
 Bayankhongor,15-19,Total,2017,23.6
 Bayankhongor,15-19,Total,2016,24.6
 Bayankhongor,15-19,Total,2015,13.1
 Bayankhongor,15-19,Total,2014,14.6
 Bayankhongor,15-19,Total,2013,23.9
 Bayankhongor,15-19,Total,2012,57.2
 Bayankhongor,15-19,Total,2011,32.5
 Bayankhongor,15-19,Total,2010,29.6
 Bayankhongor,15-19,Total,2009,33.1
 Bayankhongor,15-19, Male,2025,13.0
 Bayankhongor,15-19, Male,2024,28.3
 Bayankhongor,15-19, Male,2023,38.3
 Bayankhongor,15-19, Male,2022,22.9
 Bayankhongor,15-19, Male,2021,15.1
 Bayankhongor,15-19, Male,2020,33.7
 Bayankhongor,15-19, Male,2019,21.5
 Bayankhongor,15-19, Male,2018,21.7
 Bayankhongor,15-19, Male,2017,29.3
 Bayankhongor,15-19, Male,2016,32.8
 Bayankhongor,15-19, Male,2015,22.0
 Bayankhongor,15-19, Male,2014,23.1
 Bayankhongor,15-19, Male,2013,25.5
 Bayankhongor,15-19, Male,2012,54.8
 Bayankhongor,15-19, Male,2011,40.1
 Bayankhongor,15-19, Male,2010,35.2
 Bayankhongor,15-19, Male,2009,35.9
 Bayankhongor,15-19, Female,2025,10.2
 Bayankhongor,15-19, Female,2024,19.7
 Bayankhongor,15-19, Female,2023,7.2
 Bayankhongor,15-19, Female,2022,12.1
 Bayankhongor,15-19, Female,2021,17.8
 Bayankhongor,15-19, Female,2020,6.1
 Bayankhongor,15-19, Female,2019,12.2
 Bayankhongor,15-19, Female,2018,10.7
 Bayankhongor,15-19, Female,2017,18.5
 Bayankhongor,15-19, Female,2016,16.9
 Bayankhongor,15-19, Female,2015,3.8
 Bayankhongor,15-19, Female,2014,6.0
 Bayankhongor,15-19, Female,2013,22.3
 Bayankhongor,15-19, Female,2012,59.9
 Bayankhongor,15-19, Female,2011,24.7
 Bayankhongor,15-19, Female,2010,24.9
 Bayankhongor,15-19, Female,2009,26.9
 Bayankhongor,20-24,Total,2025,57.9
 Bayankhongor,20-24,Total,2024,73.6
 Bayankhongor,20-24,Total,2023,59.7
 Bayankhongor,20-24,Total,2022,68.8
 Bayankhongor,20-24,Total,2021,73.4
 Bayankhongor,20-24,Total,2020,67.2
 Bayankhongor,20-24,Total,2019,59.9
 Bayankhongor,20-24,Total,2018,53.1
 Bayankhongor,20-24,Total,2017,50.8
 Bayankhongor,20-24,Total,2016,62.3
 Bayankhongor,20-24,Total,2015,66.0
 Bayankhongor,20-24,Total,2014,61.8
 Bayankhongor,20-24,Total,2013,64.2
 Bayankhongor,20-24,Total,2012,70.9
 Bayankhongor,20-24,Total,2011,65.6
 Bayankhongor,20-24,Total,2010,63.4
 Bayankhongor,20-24,Total,2009,64.3
 Bayankhongor,20-24, Male,2025,63.3
 Bayankhongor,20-24, Male,2024,84.1
 Bayankhongor,20-24, Male,2023,83.6
 Bayankhongor,20-24, Male,2022,89.6
 Bayankhongor,20-24, Male,2021,76.8
 Bayankhongor,20-24, Male,2020,63.8
 Bayankhongor,20-24, Male,2019,79.0
 Bayankhongor,20-24, Male,2018,63.3
 Bayankhongor,20-24, Male,2017,55.4
 Bayankhongor,20-24, Male,2016,71.4
 Bayankhongor,20-24, Male,2015,79.0
 Bayankhongor,20-24, Male,2014,75.3
 Bayankhongor,20-24, Male,2013,72.1
 Bayankhongor,20-24, Male,2012,87.7
 Bayankhongor,20-24, Male,2011,66.8
 Bayankhongor,20-24, Male,2010,70.3
 Bayankhongor,20-24, Male,2009,63.5
 Bayankhongor,20-24, Female,2025,52.6
 Bayankhongor,20-24, Female,2024,58.7
 Bayankhongor,20-24, Female,2023,39.0
 Bayankhongor,20-24, Female,2022,48.7
 Bayankhongor,20-24, Female,2021,70.5
 Bayankhongor,20-24, Female,2020,69.5
 Bayankhongor,20-24, Female,2019,49.8
 Bayankhongor,20-24, Female,2018,45.2
 Bayankhongor,20-24, Female,2017,45.7
 Bayankhongor,20-24, Female,2016,52.3
 Bayankhongor,20-24, Female,2015,53.8
 Bayankhongor,20-24, Female,2014,48.9
 Bayankhongor,20-24, Female,2013,56.7
 Bayankhongor,20-24, Female,2012,55.7
 Bayankhongor,20-24, Female,2011,64.5
 Bayankhongor,20-24, Female,2010,57.4
 Bayankhongor,20-24, Female,2009,65.2
 Bayankhongor,25-29,Total,2025,84.9
 Bayankhongor,25-29,Total,2024,87.6
 Bayankhongor,25-29,Total,2023,92.1
 Bayankhongor,25-29,Total,2022,80.2
 Bayankhongor,25-29,Total,2021,89.8
 Bayankhongor,25-29,Total,2020,86.2
 Bayankhongor,25-29,Total,2019,78.4
 Bayankhongor,25-29,Total,2018,72.7
 Bayankhongor,25-29,Total,2017,82.1
 Bayankhongor,25-29,Total,2016,88.6
 Bayankhongor,25-29,Total,2015,85.0
 Bayankhongor,25-29,Total,2014,92.2
 Bayankhongor,25-29,Total,2013,85.8
 Bayankhongor,25-29,Total,2012,86.6
 Bayankhongor,25-29,Total,2011,78.3
 Bayankhongor,25-29,Total,2010,78.7
 Bayankhongor,25-29,Total,2009,70.6
 Bayankhongor,25-29, Male,2025,91.1
 Bayankhongor,25-29, Male,2024,99.3
 Bayankhongor,25-29, Male,2023,100.0
 Bayankhongor,25-29, Male,2022,76.3
