Age group,Year,value
35-39,2020,92.2
35-39,2019,91.9
35-39,2018,85.1
35-39,2017,80.4
35-39,2016,83.3
35-39,2015,87.1
35-39,2014,92.1
35-39,2013,83.3
35-39,2012,68.9
35-39,2011,67.8
35-39,2010,63.9
35-39,2009,71.6
35-39,2008,65.2
35-39,2007,52.1
35-39,2006,41.5
35-39,2005,42.7
35-39,2004,43.9
35-39,2003,38.6
35-39,2002,36.4
35-39,2001,44.7
35-39,2000,39.9
35-39,1999,40.5
35-39,1998,41.6
35-39,1997,43.9
35-39,1996,45.5
35-39,1995,51.5
35-39,1994,49.8
35-39,1993,49.3
35-39,1992,72.5
35-39,1991,86.8
35-39,1990,108.2
35-39,1985,132.4
35-39,1980,194.8
40-44,2024,24.6
40-44,2023,25.4
40-44,2022,23.8
40-44,2021,25.7
40-44,2020,25.4
40-44,2019,24.3
40-44,2018,23.3
40-44,2017,21.0
40-44,2016,21.8
40-44,2015,23.5
40-44,2014,31.3
40-44,2013,23.2
40-44,2012,15.6
40-44,2011,18.9
40-44,2010,19.0
40-44,2009,17.8
40-44,2008,16.9
40-44,2007,16.1
40-44,2006,12.5
40-44,2005,12.0
40-44,2004,13.1
40-44,2003,14.5
40-44,2002,13.1
40-44,2001,12.4
40-44,2000,13.6
40-44,1999,14.6
40-44,1998,15.8
40-44,1997,21.0
40-44,1996,18.4
40-44,1995,22.8
40-44,1994,21.9
40-44,1993,19.2
40-44,1992,30.8
40-44,1991,34.4
40-44,1990,41.8
40-44,1985,74.6
40-44,1980,124.3
45-49,2024,1.6
45-49,2023,1.5
45-49,2022,1.6
45-49,2021,1.3
45-49,2020,1.5
45-49,2019,1.2
45-49,2018,1.2
45-49,2017,1.3
45-49,2016,1.2
45-49,2015,1.3
45-49,2014,4.5
45-49,2013,3.6
45-49,2012,0.6
45-49,2011,3.4
45-49,2010,2.6
45-49,2009,2.7
45-49,2008,2.4
45-49,2007,3.0
45-49,2006,2.2
45-49,2005,4.5
45-49,2004,4.0
45-49,2003,4.5
45-49,2002,3.4
45-49,2001,3.5
45-49,2000,4.2
45-49,1999,4.6
45-49,1998,5.5
45-49,1997,6.8
45-49,1996,5.1
45-49,1995,5.1
45-49,1994,6.7
45-49,1993,5.5
45-49,1992,10.8
45-49,1991,10.5
45-49,1990,11.8
45-49,1985,26.5
45-49,1980,39.7
 CBR,2024,16.9
 CBR,2023,19.0
 CBR,2022,19.5
 CBR,2021,21.6
 CBR,2020,23.4
 CBR,2019,24.4
 CBR,2018,24.5
 CBR,2017,23.9
 CBR,2016,25.9
 CBR,2015,27.1
 CBR,2014,28.0
 CBR,2013,27.5
 CBR,2012,26.0
 CBR,2011,25.1
 CBR,2010,23.1
 CBR,2009,25.7
 CBR,2008,24.1
 CBR,2007,21.7
 CBR,2006,19.1
 CBR,2005,17.9
 CBR,2004,18.1
 CBR,2003,18.4
 CBR,2002,19.2
 CBR,2001,20.6
 CBR,2000,20.4
 CBR,1999,21.0
 CBR,1998,21.2
 CBR,1997,21.6
 CBR,1996,22.9
 CBR,1995,24.4
 CBR,1994,24.2
 CBR,1993,22.1
 CBR,1992,29.2
 CBR,1991,32.4
 CBR,1990,34.4
 CBR,1985,38.2
 CBR,1980,39.2
 GFR,2024,71.2
 GFR,2023,79.5
 GFR,2022,80.6
 GFR,2021,84.3
 GFR,2020,89.6
 GFR,2019,91.9
 GFR,2018,90.5
 GFR,2017,87.1
 GFR,2016,92.7
 GFR,2015,95.1
 GFR,2014,97.6
 GFR,2013,94.7
 GFR,2012,87.2
 GFR,2011,82.3
 GFR,2010,76.0
 GFR,2009,85.2
 GFR,2008,80.3
 GFR,2007,72.3
 GFR,2006,65.3
 GFR,2005,63.0
 GFR,2004,63.9
 GFR,2003,65.0
 GFR,2002,67.3
 GFR,2001,72.5
 GFR,2000,73.7
 GFR,1999,77.2
 GFR,1998,75.3
 GFR,1997,79.2
 GFR,1996,84.2
 GFR,1995,94.9
 GFR,1994,93.1
 GFR,1993,87.7
 GFR,1992,120.2
 GFR,1991,136.5
 GFR,1990,149.6
 GFR,1985,167.0
 GFR,1980,179.8
 TFR,2024,2.5
 TFR,2023,2.7
 TFR,2022,2.7
 TFR,2021,2.8
 TFR,2020,2.9
 TFR,2019,3.0
 TFR,2018,2.9
 TFR,2017,2.8
 TFR,2016,3.0
 TFR,2015,3.0
 TFR,2014,3.1
 TFR,2013,3.0
 TFR,2012,2.7
 TFR,2011,2.6
 TFR,2010,2.4
 TFR,2009,2.8
 TFR,2008,2.6
 TFR,2007,2.3
 TFR,2006,2.1
 TFR,2005,2.0
 TFR,2004,2.0
 TFR,2003,2.0
 TFR,2002,2.1
 TFR,2001,2.2
 TFR,2000,2.2
 TFR,1999,2.3
 TFR,1998,2.3
 TFR,1997,2.4
 TFR,1996,2.5
 TFR,1995,2.8
 TFR,1994,2.7
 TFR,1993,2.5
 TFR,1992,3.5
 TFR,1991,4.0
 TFR,1990,4.5
 TFR,1985,5.5
 TFR,1980,6.4
