бүс,огноо,үнэ
Дархан-Уул,2024-05-06,3600.0
Орхон,2024-05-06,3650.0
Ховд,2024-05-06,3740.0
Өмнөговь,2024-05-06,3730.0
Дархан-Уул,2024-05-13,3600.0
Орхон,2024-05-13,3650.0
Ховд,2024-05-13,3740.0
Өмнөговь,2024-05-13,3730.0
Дархан-Уул,2024-05-20,3440.0
Орхон,2024-05-20,3450.0
Ховд,2024-05-20,3740.0
Өмнөговь,2024-05-20,3530.0
Дархан-Уул,2024-05-27,3440.0
Орхон,2024-05-27,3450.0
Ховд,2024-05-27,3740.0
Өмнөговь,2024-05-27,3530.0
Дархан-Уул,2024-06-03,3440.0
Орхон,2024-06-03,3450.0
Ховд,2024-06-03,3740.0
Өмнөговь,2024-06-03,3530.0
Дархан-Уул,2024-06-10,3440.0
Орхон,2024-06-10,3450.0
Ховд,2024-06-10,3740.0
Өмнөговь,2024-06-10,3530.0
Дархан-Уул,2024-06-17,3440.0
Орхон,2024-06-17,3450.0
Ховд,2024-06-17,3740.0
Өмнөговь,2024-06-17,3530.0
Дархан-Уул,2024-06-24,3440.0
Орхон,2024-06-24,3450.0
Ховд,2024-06-24,3740.0
Өмнөговь,2024-06-24,3530.0
Дархан-Уул,2024-07-01,3440.0
Орхон,2024-07-01,3450.0
Ховд,2024-07-01,3740.0
Өмнөговь,2024-07-01,3530.0
Дархан-Уул,2024-07-08,3440.0
Орхон,2024-07-08,3450.0
Ховд,2024-07-08,3740.0
Өмнөговь,2024-07-08,3530.0
Дархан-Уул,2024-07-22,3440.0
Орхон,2024-07-22,3450.0
Ховд,2024-07-22,3740.0
Өмнөговь,2024-07-22,3530.0
Дархан-Уул,2024-07-29,3440.0
Орхон,2024-07-29,3450.0
Ховд,2024-07-29,3740.0
Өмнөговь,2024-07-29,3530.0
Дархан-Уул,2024-08-05,3440.0
Орхон,2024-08-05,3450.0
Ховд,2024-08-05,3740.0
Өмнөговь,2024-08-05,3530.0
Дархан-Уул,2024-08-12,3380.0
Орхон,2024-08-12,3450.0
Ховд,2024-08-12,3740.0
Өмнөговь,2024-08-12,3530.0
Дархан-Уул,2024-08-19,3380.0
Орхон,2024-08-19,3450.0
Ховд,2024-08-19,3740.0
Өмнөговь,2024-08-19,3530.0
Дархан-Уул,2024-08-26,3380.0
Орхон,2024-08-26,3450.0
Ховд,2024-08-26,3740.0
Өмнөговь,2024-08-26,3530.0
Дархан-Уул,2024-09-02,3380.0
Орхон,2024-09-02,3450.0
Ховд,2024-09-02,3740.0
Өмнөговь,2024-09-02,3530.0
Дархан-Уул,2024-09-09,3380.0
Орхон,2024-09-09,3450.0
Ховд,2024-09-09,3740.0
Өмнөговь,2024-09-09,3530.0
Дархан-Уул,2024-09-16,3380.0
Орхон,2024-09-16,3450.0
Ховд,2024-09-16,3740.0
Өмнөговь,2024-09-16,3280.0
Дархан-Уул,2024-09-23,3180.0
Орхон,2024-09-23,3450.0
Ховд,2024-09-23,3490.0
Өмнөговь,2024-09-23,3280.0
Дархан-Уул,2024-09-30,3180.0
Орхон,2024-09-30,3217.0
Ховд,2024-09-30,3490.0
Өмнөговь,2024-09-30,3280.0
Дархан-Уул,2024-10-07,3180.0
Орхон,2024-10-07,3200.0
Ховд,2024-10-07,3490.0
Өмнөговь,2024-10-07,3280.0
Дархан-Уул,2024-10-14,3180.0
Орхон,2024-10-14,3200.0
Ховд,2024-10-14,3490.0
Өмнөговь,2024-10-14,3280.0
Дархан-Уул,2024-10-21,3180.0
Орхон,2024-10-21,3200.0
Ховд,2024-10-21,3490.0
Өмнөговь,2024-10-21,3280.0
Дархан-Уул,2024-10-28,3180.0
Орхон,2024-10-28,3200.0
Ховд,2024-10-28,3490.0
Өмнөговь,2024-10-28,3280.0
Дархан-Уул,2024-11-04,3180.0
Орхон,2024-11-04,3200.0
Ховд,2024-11-04,3490.0
Өмнөговь,2024-11-04,3280.0
Дархан-Уул,2024-11-12,3180.0
Орхон,2024-11-12,3200.0
Ховд,2024-11-12,3490.0
Өмнөговь,2024-11-12,3280.0
Дархан-Уул,2024-11-18,3180.0
Орхон,2024-11-18,3200.0
Ховд,2024-11-18,3490.0
Өмнөговь,2024-11-18,3280.0
Дархан-Уул,2024-11-25,3180.0
Орхон,2024-11-25,3200.0
Ховд,2024-11-25,3490.0
Өмнөговь,2024-11-25,3280.0
Дархан-Уул,2024-12-02,3180.0
Орхон,2024-12-02,3200.0
Ховд,2024-12-02,3490.0
Өмнөговь,2024-12-02,3280.0
Дархан-Уул,2024-12-09,3180.0
Орхон,2024-12-09,3200.0
Ховд,2024-12-09,3590.0
Өмнөговь,2024-12-09,3280.0
Дархан-Уул,2024-12-16,3180.0
Орхон,2024-12-16,3200.0
Ховд,2024-12-16,3590.0
Өмнөговь,2024-12-16,3280.0
Дархан-Уул,2024-12-23,3180.0
Орхон,2024-12-23,3200.0
Ховд,2024-12-23,3590.0
Өмнөговь,2024-12-23,3280.0
Дархан-Уул,2024-12-30,3180.0
Орхон,2024-12-30,3200.0
Ховд,2024-12-30,3590.0
Өмнөговь,2024-12-30,3280.0
Дархан-Уул,2025-01-06,3180.0
Орхон,2025-01-06,3200.0
Ховд,2025-01-06,3590.0
Өмнөговь,2025-01-06,3280.0
Дархан-Уул,2025-01-13,3180.0
Орхон,2025-01-13,3200.0
Ховд,2025-01-13,3590.0
Өмнөговь,2025-01-13,3280.0
Дархан-Уул,2025-01-20,3180.0
Орхон,2025-01-20,3200.0
Ховд,2025-01-20,3590.0
Өмнөговь,2025-01-20,3280.0
Дархан-Уул,2025-01-27,3180.0
Орхон,2025-01-27,3200.0
Ховд,2025-01-27,3590.0
Өмнөговь,2025-01-27,3280.0
Дархан-Уул,2025-02-03,3180.0
Орхон,2025-02-03,3200.0
Ховд,2025-02-03,3590.0
Өмнөговь,2025-02-03,3280.0
Дархан-Уул,2025-02-10,3180.0
Орхон,2025-02-10,3200.0
Ховд,2025-02-10,3590.0
Өмнөговь,2025-02-10,3280.0
Дархан-Уул,2025-02-17,3180.0
Орхон,2025-02-17,3200.0
Ховд,2025-02-17,3590.0
Өмнөговь,2025-02-17,3280.0
Дархан-Уул,2025-02-24,3180.0
Орхон,2025-02-24,3200.0
Ховд,2025-02-24,3590.0
Өмнөговь,2025-02-24,3280.0
Дархан-Уул,2025-03-10,3180.0
Орхон,2025-03-10,3200.0
Ховд,2025-03-10,3590.0
Өмнөговь,2025-03-10,3280.0
Дархан-Уул,2025-03-17,3180.0
Орхон,2025-03-17,3200.0
Ховд,2025-03-17,3590.0
Өмнөговь,2025-03-17,3280.0
Дархан-Уул,2025-03-24,3180.0
Орхон,2025-03-24,3200.0
Ховд,2025-03-24,3590.0
Өмнөговь,2025-03-24,3280.0
Дархан-Уул,2025-03-31,3180.0
Орхон,2025-03-31,3200.0
Ховд,2025-03-31,3590.0
Өмнөговь,2025-03-31,3280.0
Дархан-Уул,2025-04-07,3180.0
Орхон,2025-04-07,3200.0
Ховд,2025-04-07,3590.0
Өмнөговь,2025-04-07,3280.0
Дархан-Уул,2025-04-14,3180.0
Орхон,2025-04-14,3200.0
Ховд,2025-04-14,3590.0
Өмнөговь,2025-04-14,3280.0
Дархан-Уул,2025-04-21,3180.0
Орхон,2025-04-21,3200.0
Ховд,2025-04-21,3590.0
Өмнөговь,2025-04-21,3280.0
Дархан-Уул,2025-04-28,3180.0
Орхон,2025-04-28,3200.0
Ховд,2025-04-28,3590.0
Өмнөговь,2025-04-28,3280.0
Дархан-Уул,2025-05-05,3180.0
Орхон,2025-05-05,3200.0
Ховд,2025-05-05,3590.0
Өмнөговь,2025-05-05,3280.0
Дархан-Уул,2025-05-12,3180.0
Орхон,2025-05-12,3200.0
Ховд,2025-05-12,3590.0
Өмнөговь,2025-05-12,3280.0
Дархан-Уул,2025-05-19,3180.0
Орхон,2025-05-19,3200.0
Ховд,2025-05-19,3590.0
Өмнөговь,2025-05-19,3280.0
Дархан-Уул,2025-05-26,3010.0
Орхон,2025-05-26,3133.0
Ховд,2025-05-26,3590.0
Өмнөговь,2025-05-26,3480.0
Дархан-Уул,2025-06-02,3010.0
Орхон,2025-06-02,3133.0
Ховд,2025-06-02,3390.0
Өмнөговь,2025-06-02,3280.0
Дархан-Уул,2025-06-09,3010.0
Орхон,2025-06-09,3133.0
Ховд,2025-06-09,3390.0
Өмнөговь,2025-06-09,3280.0
Дархан-Уул,2025-06-16,2963.0
Орхон,2025-06-16,3133.0
Ховд,2025-06-16,3390.0
Өмнөговь,2025-06-16,3280.0
Дархан-Уул,2025-06-23,2963.0
Орхон,2025-06-23,3133.0
Ховд,2025-06-23,3390.0
Өмнөговь,2025-06-23,3280.0
Дархан-Уул,2025-06-30,2963.0
Орхон,2025-06-30,3133.0
Ховд,2025-06-30,3390.0
Өмнөговь,2025-06-30,3280.0
Дархан-Уул,2025-07-07,2963.0
Орхон,2025-07-07,3133.0
Ховд,2025-07-07,3390.0
Өмнөговь,2025-07-07,3280.0
Дархан-Уул,2025-07-21,2963.0
Орхон,2025-07-21,3000.0
Ховд,2025-07-21,3390.0
Өмнөговь,2025-07-21,3080.0
Дархан-Уул,2025-07-28,2963.0
Орхон,2025-07-28,3000.0
Ховд,2025-07-28,3490.0
Өмнөговь,2025-07-28,3080.0
Дархан-Уул,2025-08-04,2963.0
Орхон,2025-08-04,3000.0
Ховд,2025-08-04,3490.0
Өмнөговь,2025-08-04,3080.0
Дархан-Уул,2025-08-11,2963.0
Орхон,2025-08-11,3000.0
Ховд,2025-08-11,3490.0
Өмнөговь,2025-08-11,3180.0
Дархан-Уул,2025-08-18,2963.0
Орхон,2025-08-18,3020.0
Ховд,2025-08-18,3490.0
Өмнөговь,2025-08-18,3180.0
Дархан-Уул,2025-08-25,2963.0
Орхон,2025-08-25,3020.0
Ховд,2025-08-25,3490.0
Өмнөговь,2025-08-25,3180.0
Дархан-Уул,2025-09-01,2963.0
Орхон,2025-09-01,3067.0
Ховд,2025-09-01,3440.0
Өмнөговь,2025-09-01,3050.0
Дархан-Уул,2025-09-08,2963.0
Орхон,2025-09-08,3067.0
Ховд,2025-09-08,3440.0
Өмнөговь,2025-09-08,3050.0
Дархан-Уул,2025-09-15,2963.0
Орхон,2025-09-15,3067.0
Ховд,2025-09-15,3390.0
Өмнөговь,2025-09-15,3050.0
Дархан-Уул,2025-09-22,2963.0
Орхон,2025-09-22,3067.0
Ховд,2025-09-22,3390.0
Өмнөговь,2025-09-22,3050.0
Дархан-Уул,2025-09-29,2963.0
Орхон,2025-09-29,3067.0
Ховд,2025-09-29,3390.0
Өмнөговь,2025-09-29,3050.0
Дархан-Уул,2025-10-06,2963.0
Орхон,2025-10-06,3067.0
Ховд,2025-10-06,3390.0
Өмнөговь,2025-10-06,3050.0
Дархан-Уул,2025-10-13,2963.0
Орхон,2025-10-13,3067.0
Ховд,2025-10-13,3390.0
Өмнөговь,2025-10-13,3050.0
Дархан-Уул,2025-10-20,3113.0
Орхон,2025-10-20,3067.0
Ховд,2025-10-20,3390.0
Өмнөговь,2025-10-20,3050.0
Дархан-Уул,2025-10-27,3113.0
Орхон,2025-10-27,3067.0
Ховд,2025-10-27,3760.0
Өмнөговь,2025-10-27,3050.0
Дархан-Уул,2025-11-03,3238.0
Орхон,2025-11-03,3200.0
Ховд,2025-11-03,3760.0
Өмнөговь,2025-11-03,3050.0
Дархан-Уул,2025-11-10,3238.0
Орхон,2025-11-10,3200.0
Ховд,2025-11-10,3760.0
Өмнөговь,2025-11-10,3050.0
Дархан-Уул,2025-11-17,3238.0
Орхон,2025-11-17,3200.0
Ховд,2025-11-17,3760.0
Өмнөговь,2025-11-17,3350.0
Дархан-Уул,2025-11-24,3238.0
Орхон,2025-11-24,3200.0
Ховд,2025-11-24,3760.0
Өмнөговь,2025-11-24,3350.0
Дархан-Уул,2025-12-01,3238.0
Орхон,2025-12-01,3200.0
Ховд,2025-12-01,3760.0
Өмнөговь,2025-12-01,3350.0
