region,year,sown_area
Uvs,1983,38.43
Uvurkhangai,1983,29.5
Bulgan,1984,67.12
Darkhan-Uul,1984,19.04
Dornod,1984,31.52
Khentii,1984,45.51
Khuvsgul,1984,29.58
Selenge,1984,189.15
Sukhbaatar,1984,14.07
Tuv,1984,172.86
Uvs,1984,38.97
Uvurkhangai,1984,29.37
Bulgan,1985,72.84
Darkhan-Uul,1985,21.26
Dornod,1985,33.6
Khentii,1985,46.06
Khuvsgul,1985,28.64
Selenge,1985,196.21
Sukhbaatar,1985,13.31
Tuv,1985,180.61
Uvs,1985,38.67
Uvurkhangai,1985,29.11
Bulgan,1986,77.79
Darkhan-Uul,1986,21.02
Dornod,1986,34.65
Khentii,1986,47.15
Khuvsgul,1986,30.87
Selenge,1986,191.28
Sukhbaatar,1986,13.42
Tuv,1986,186.52
Uvs,1986,35.72
Uvurkhangai,1986,28.73
Bulgan,1987,82.24
Darkhan-Uul,1987,20.86
Dornod,1987,43.37
Khentii,1987,46.33
Khuvsgul,1987,33.13
Selenge,1987,181.33
Sukhbaatar,1987,14.38
Tuv,1987,175.16
Uvs,1987,37.54
Uvurkhangai,1987,27.09
Bulgan,1988,78.84
Darkhan-Uul,1988,23.13
Dornod,1988,45.88
Khentii,1988,49.97
Khuvsgul,1988,33.08
Selenge,1988,194.67
Sukhbaatar,1988,14.76
Tuv,1988,182.84
Uvs,1988,37.35
Uvurkhangai,1988,26.49
Bulgan,1989,78.08
Darkhan-Uul,1989,20.72
Dornod,1989,48.14
Khentii,1989,50.17
Khuvsgul,1989,31.85
Selenge,1989,195.92
Sukhbaatar,1989,15.85
Tuv,1989,200.27
Uvs,1989,37.37
Uvurkhangai,1989,29.57
Bulgan,1990,76.12
Darkhan-Uul,1990,21.49
Dornod,1990,43.86
Khentii,1990,45.51
Khuvsgul,1990,31.53
Selenge,1990,186.63
Sukhbaatar,1990,14.34
Tuv,1990,185.48
Uvs,1990,31.08
Uvurkhangai,1990,27.19
Bulgan,1991,66.66
Darkhan-Uul,1991,19.65
Dornod,1991,39.78
Khentii,1991,41.06
Khuvsgul,1991,24.82
Selenge,1991,175.72
Sukhbaatar,1991,13.9
Tuv,1991,168.87
Uvs,1991,32.59
Uvurkhangai,1991,26.97
Bulgan,1992,63.17
Darkhan-Uul,1992,20.2
Dornod,1992,33.89
Khentii,1992,37.32
Khuvsgul,1992,22.89
Selenge,1992,170.82
Sukhbaatar,1992,13.79
Tuv,1992,158.48
Uvs,1992,30.91
Uvurkhangai,1992,23.6
Bulgan,1993,61.65
Darkhan-Uul,1993,18.08
Dornod,1993,23.78
Khentii,1993,28.9
Khuvsgul,1993,19.87
Selenge,1993,171.6
Sukhbaatar,1993,13.02
Tuv,1993,142.05
Uvs,1993,28.11
Uvurkhangai,1993,19.17
Bulgan,1994,54.74
Darkhan-Uul,1994,17.42
Dornod,1994,13.52
Khentii,1994,18.88
Khuvsgul,1994,15.87
Selenge,1994,144.34
Sukhbaatar,1994,11.39
Tuv,1994,114.05
Uvs,1994,25.12
Uvurkhangai,1994,17.41
Bulgan,1995,42.48
Darkhan-Uul,1995,17.3
Dornod,1995,8.74
Khentii,1995,7.54
Khuvsgul,1995,9.56
Selenge,1995,130.1
Sukhbaatar,1995,11.57
Tuv,1995,82.51
Uvs,1995,17.66
Uvurkhangai,1995,13.66
Bulgan,1996,38.9
Darkhan-Uul,1996,15.1
Dornod,1996,11.59
Khentii,1996,12.25
Khuvsgul,1996,10.48
Selenge,1996,123.97
Sukhbaatar,1996,10.28
Tuv,1996,73.15
Uvs,1996,15.28
Uvurkhangai,1996,10.84
Bulgan,1997,37.59
Darkhan-Uul,1997,13.85
Dornod,1997,14.61
Khentii,1997,13.65
Khuvsgul,1997,9.16
Selenge,1997,120.79
Sukhbaatar,1997,10.08
Tuv,1997,73.98
Uvs,1997,15.22
Uvurkhangai,1997,9.94
Bulgan,1998,27.52
Darkhan-Uul,1998,11.41
Dornod,1998,8.16
Khentii,1998,14.82
Khuvsgul,1998,3.43
Selenge,1998,140.15
Sukhbaatar,1998,5.03
Tuv,1998,82.24
Uvs,1998,16.66
Uvurkhangai,1998,3.63
Bulgan,1999,29.02
Darkhan-Uul,1999,13.76
Dornod,1999,6.81
Khentii,1999,13.33
Khuvsgul,1999,5.99
Selenge,1999,130.39
Sukhbaatar,1999,5.56
Tuv,1999,62.75
Uvs,1999,14.61
Uvurkhangai,1999,1.77
Bulgan,2000,27.03
Darkhan-Uul,2000,14.6
Dornod,2000,5.14
Khentii,2000,9.71
Khuvsgul,2000,5.39
Selenge,2000,93.66
Sukhbaatar,2000,0.33
Tuv,2000,30.09
Uvs,2000,8.95
Uvurkhangai,2000,2.94
Bulgan,2001,28.47
Darkhan-Uul,2001,14.5
Dornod,2001,5.34
Khentii,2001,7.94
Khuvsgul,2001,7.56
Selenge,2001,100.65
Sukhbaatar,2001,0.2
Tuv,2001,34.21
Uvs,2001,4.36
Uvurkhangai,2001,2.77
Bulgan,2002,30.35
Darkhan-Uul,2002,15.9
Dornod,2002,6.18
Khentii,2002,14.23
Khuvsgul,2002,9.98
Selenge,2002,125.09
Sukhbaatar,2002,1.27
Tuv,2002,54.26
Uvs,2002,9.22
Uvurkhangai,2002,3.51
Bulgan,2003,29.68
Darkhan-Uul,2003,14.82
Dornod,2003,5.49
Khentii,2003,9.66
Khuvsgul,2003,11.44
Selenge,2003,102.93
Sukhbaatar,2003,1.18
Tuv,2003,28.83
Uvs,2003,4.61
Uvurkhangai,2003,2.41
Bulgan,2004,25.0
Darkhan-Uul,2004,9.96
Dornod,2004,4.59
Khentii,2004,12.15
Khuvsgul,2004,8.41
Selenge,2004,87.68
Sukhbaatar,2004,0.57
Tuv,2004,29.41
Uvs,2004,7.24
Uvurkhangai,2004,4.03
Bulgan,2005,21.17
Darkhan-Uul,2005,8.98
Dornod,2005,3.66
Khentii,2005,13.26
Khuvsgul,2005,9.01
Selenge,2005,87.35
Sukhbaatar,2005,0.05
Tuv,2005,27.62
Uvs,2005,3.58
Uvurkhangai,2005,3.0
Bulgan,2006,19.25
Darkhan-Uul,2006,5.75
Dornod,2006,2.95
Khentii,2006,10.75
Khuvsgul,2006,6.05
Selenge,2006,74.12
Sukhbaatar,2006,0.05
Tuv,2006,28.16
Uvs,2006,2.03
Uvurkhangai,2006,2.2
Bulgan,2007,17.64
Darkhan-Uul,2007,10.78
Dornod,2007,2.7
Khentii,2007,7.76
Khuvsgul,2007,9.2
Selenge,2007,101.32
Sukhbaatar,2007,0.06
Tuv,2007,35.43
Uvs,2007,3.39
Uvurkhangai,2007,2.35
Bulgan,2008,17.64
Darkhan-Uul,2008,8.23
Dornod,2008,3.44
Khentii,2008,3.48
Khuvsgul,2008,8.41
Selenge,2008,105.8
Sukhbaatar,2008,0.07
Tuv,2008,28.93
Uvs,2008,2.97
Uvurkhangai,2008,1.22
Bulgan,2009,28.51
Darkhan-Uul,2009,12.06
Dornod,2009,2.95
Khentii,2009,8.22
Khuvsgul,2009,14.08
Selenge,2009,145.02
Sukhbaatar,2009,0.19
Tuv,2009,50.44
Uvs,2009,3.55
Uvurkhangai,2009,1.64
Bulgan,2010,33.19
Darkhan-Uul,2010,13.73
Dornod,2010,4.58
Khentii,2010,10.31
Khuvsgul,2010,14.77
Selenge,2010,147.49
Sukhbaatar,2010,0.28
Tuv,2010,64.91
Uvs,2010,5.97
Uvurkhangai,2010,3.05
Bulgan,2011,32.64
Darkhan-Uul,2011,14.39
Dornod,2011,9.84
Khentii,2011,8.8
Khuvsgul,2011,14.25
Selenge,2011,164.56
Sukhbaatar,2011,0.15
Tuv,2011,70.94
Uvs,2011,8.37
Uvurkhangai,2011,3.58
Bulgan,2012,36.03
Darkhan-Uul,2012,15.61
Dornod,2012,18.42
Khentii,2012,15.09
Khuvsgul,2012,15.73
Selenge,2012,159.21
Sukhbaatar,2012,0.15
Tuv,2012,82.98
Uvs,2012,10.79
Uvurkhangai,2012,5.48
Bulgan,2013,33.87
Darkhan-Uul,2013,18.56
Dornod,2013,32.51
Khentii,2013,13.65
Khuvsgul,2013,16.71
Selenge,2013,173.73
Sukhbaatar,2013,0.45
Tuv,2013,95.17
Uvs,2013,11.88
Uvurkhangai,2013,4.34
Bulgan,2014,37.42
Darkhan-Uul,2014,19.08
Dornod,2014,32.19
Khentii,2014,24.2
Khuvsgul,2014,15.93
Selenge,2014,183.3
Sukhbaatar,2014,5.85
Tuv,2014,92.45
Uvs,2014,10.31
Uvurkhangai,2014,4.53
Bulgan,2015,41.24
Darkhan-Uul,2015,21.05
Dornod,2015,49.91
Khentii,2015,30.34
Khuvsgul,2015,17.98
Selenge,2015,203.23
Sukhbaatar,2015,14.39
Tuv,2015,113.82
Uvs,2015,8.67
Uvurkhangai,2015,7.28
Bulgan,2016,42.3
Darkhan-Uul,2016,19.07
Dornod,2016,45.34
Khentii,2016,33.62
Khuvsgul,2016,18.02
Selenge,2016,182.85
Sukhbaatar,2016,17.58
Tuv,2016,109.3
Uvs,2016,8.11
Uvurkhangai,2016,11.52
Bulgan,2017,48.8
Darkhan-Uul,2017,22.58
Dornod,2017,34.25
Khentii,2017,28.14
Khuvsgul,2017,18.71
Selenge,2017,209.26
Sukhbaatar,2017,9.23
Tuv,2017,109.37
Uvs,2017,12.28
Uvurkhangai,2017,10.97
Bulgan,2018,48.54
Darkhan-Uul,2018,20.56
Dornod,2018,29.87
Khentii,2018,23.55
Khuvsgul,2018,18.85
Selenge,2018,200.03
Sukhbaatar,2018,6.99
Tuv,2018,109.88
Uvs,2018,18.11
Uvurkhangai,2018,9.99
Bulgan,2019,50.79
Darkhan-Uul,2019,21.09
Dornod,2019,33.93
Khentii,2019,18.48
Khuvsgul,2019,21.62
Selenge,2019,207.38
Sukhbaatar,2019,5.53
Tuv,2019,110.45
Uvs,2019,20.92
Uvurkhangai,2019,10.91
Bulgan,2020,49.61
Darkhan-Uul,2020,20.1
Dornod,2020,35.85
Khentii,2020,22.28
Khuvsgul,2020,18.78
Selenge,2020,221.86
Sukhbaatar,2020,6.02
Tuv,2020,142.29
Uvs,2020,30.18
Uvurkhangai,2020,11.38
Bulgan,2021,57.98
Darkhan-Uul,2021,25.29
Dornod,2021,37.87
Khentii,2021,36.59
Khuvsgul,2021,21.98
Selenge,2021,225.21
Sukhbaatar,2021,10.1
Tuv,2021,165.55
Uvs,2021,42.14
Uvurkhangai,2021,16.81
Bulgan,2022,54.33
Darkhan-Uul,2022,22.31
Dornod,2022,37.0
Khentii,2022,31.75
Khuvsgul,2022,21.6
Selenge,2022,212.48
Sukhbaatar,2022,7.1
Tuv,2022,136.42
Uvs,2022,36.29
Uvurkhangai,2022,18.45
Bulgan,2023,55.83
Darkhan-Uul,2023,23.0
Dornod,2023,30.92
Khentii,2023,43.03
Khuvsgul,2023,21.84
Selenge,2023,212.33
Sukhbaatar,2023,7.46
Tuv,2023,155.3
Uvs,2023,32.12
Uvurkhangai,2023,15.11
Bulgan,2024,52.54
Darkhan-Uul,2024,21.29
Dornod,2024,27.93
Khentii,2024,47.24
Khuvsgul,2024,24.2
Selenge,2024,213.5
Sukhbaatar,2024,9.44
Tuv,2024,155.54
Uvs,2024,21.58
Uvurkhangai,2024,19.68
Bulgan,2025,51.55
Darkhan-Uul,2025,17.81
Dornod,2025,34.17
Khentii,2025,44.15
Khuvsgul,2025,20.28
Selenge,2025,210.22
Sukhbaatar,2025,13.7
Tuv,2025,130.17
Uvs,2025,23.01
Uvurkhangai,2025,18.22
