бүс,огноо,үнэ
Орхон,2024-05-06,4000.0
Ховд,2024-05-06,5000.0
Өмнөговь,2024-05-06,6000.0
Дархан-Уул,2024-05-13,3000.0
Орхон,2024-05-13,4000.0
Ховд,2024-05-13,4000.0
Өмнөговь,2024-05-13,6000.0
Дархан-Уул,2024-05-20,2667.0
Орхон,2024-05-20,3000.0
Ховд,2024-05-20,4000.0
Өмнөговь,2024-05-20,6000.0
Дархан-Уул,2024-05-27,2500.0
Орхон,2024-05-27,3000.0
Ховд,2024-05-27,4000.0
Өмнөговь,2024-05-27,6000.0
Дархан-Уул,2024-06-03,2333.0
Орхон,2024-06-03,2500.0
Ховд,2024-06-03,3500.0
Өмнөговь,2024-06-03,6000.0
Дархан-Уул,2024-06-10,2333.0
Орхон,2024-06-10,2500.0
Ховд,2024-06-10,3500.0
Өмнөговь,2024-06-10,6000.0
Дархан-Уул,2024-06-17,2500.0
Орхон,2024-06-17,2500.0
Ховд,2024-06-17,3000.0
Өмнөговь,2024-06-17,6000.0
Дархан-Уул,2024-06-24,2500.0
Орхон,2024-06-24,2500.0
Ховд,2024-06-24,3000.0
Өмнөговь,2024-06-24,6000.0
Дархан-Уул,2024-07-01,2333.0
Орхон,2024-07-01,2500.0
Ховд,2024-07-01,3000.0
Өмнөговь,2024-07-01,6000.0
Дархан-Уул,2024-07-08,2000.0
Орхон,2024-07-08,2500.0
Ховд,2024-07-08,3000.0
Өмнөговь,2024-07-08,6000.0
Дархан-Уул,2024-07-22,2000.0
Орхон,2024-07-22,2500.0
Ховд,2024-07-22,3500.0
Өмнөговь,2024-07-22,6000.0
Дархан-Уул,2024-07-29,2100.0
Орхон,2024-07-29,2500.0
Ховд,2024-07-29,3800.0
Өмнөговь,2024-07-29,6000.0
Дархан-Уул,2024-08-05,2100.0
Орхон,2024-08-05,2500.0
Ховд,2024-08-05,4000.0
Өмнөговь,2024-08-05,6000.0
Дархан-Уул,2024-08-12,2100.0
Орхон,2024-08-12,2500.0
Ховд,2024-08-12,4000.0
Өмнөговь,2024-08-12,6000.0
Дархан-Уул,2024-08-19,2100.0
Орхон,2024-08-19,2500.0
Ховд,2024-08-19,4000.0
Өмнөговь,2024-08-19,6000.0
Дархан-Уул,2024-08-26,2100.0
Орхон,2024-08-26,2500.0
Ховд,2024-08-26,4500.0
Өмнөговь,2024-08-26,6000.0
Дархан-Уул,2024-09-02,2100.0
Орхон,2024-09-02,2000.0
Ховд,2024-09-02,4500.0
Өмнөговь,2024-09-02,5000.0
Дархан-Уул,2024-09-09,2100.0
Орхон,2024-09-09,2000.0
Ховд,2024-09-09,4500.0
Өмнөговь,2024-09-09,5000.0
Дархан-Уул,2024-09-16,2433.0
Орхон,2024-09-16,2500.0
Ховд,2024-09-16,4500.0
Өмнөговь,2024-09-16,5000.0
Дархан-Уул,2024-09-23,2467.0
Орхон,2024-09-23,2500.0
Ховд,2024-09-23,4500.0
Өмнөговь,2024-09-23,5000.0
Дархан-Уул,2024-09-30,2467.0
Орхон,2024-09-30,2500.0
Ховд,2024-09-30,4500.0
Өмнөговь,2024-09-30,5000.0
Дархан-Уул,2024-10-07,2500.0
Орхон,2024-10-07,2500.0
Ховд,2024-10-07,4500.0
Өмнөговь,2024-10-07,6000.0
Дархан-Уул,2024-10-14,2500.0
Орхон,2024-10-14,3000.0
Ховд,2024-10-14,4500.0
Өмнөговь,2024-10-14,6000.0
Дархан-Уул,2024-10-21,2500.0
Орхон,2024-10-21,3000.0
Ховд,2024-10-21,4500.0
Өмнөговь,2024-10-21,6000.0
Дархан-Уул,2024-10-28,2733.0
Орхон,2024-10-28,3000.0
Ховд,2024-10-28,4500.0
Өмнөговь,2024-10-28,6000.0
Дархан-Уул,2024-11-04,2867.0
Орхон,2024-11-04,3000.0
Ховд,2024-11-04,4500.0
Өмнөговь,2024-11-04,6000.0
Дархан-Уул,2024-11-12,2933.0
Орхон,2024-11-12,3000.0
Ховд,2024-11-12,4500.0
Өмнөговь,2024-11-12,6000.0
Дархан-Уул,2024-11-18,3000.0
Орхон,2024-11-18,3500.0
Ховд,2024-11-18,4500.0
Өмнөговь,2024-11-18,6000.0
Дархан-Уул,2024-11-25,3000.0
Орхон,2024-11-25,3500.0
Ховд,2024-11-25,5000.0
Өмнөговь,2024-11-25,6000.0
Дархан-Уул,2024-12-02,3000.0
Орхон,2024-12-02,3500.0
Ховд,2024-12-02,5000.0
Дархан-Уул,2024-12-09,3167.0
Орхон,2024-12-09,3500.0
Ховд,2024-12-09,5000.0
Дархан-Уул,2024-12-16,3667.0
Орхон,2024-12-16,3500.0
Ховд,2024-12-16,5000.0
Дархан-Уул,2024-12-23,3700.0
Орхон,2024-12-23,3500.0
Ховд,2024-12-23,5000.0
Өмнөговь,2024-12-23,6000.0
Дархан-Уул,2024-12-30,3700.0
Орхон,2024-12-30,4500.0
Ховд,2024-12-30,5000.0
Өмнөговь,2024-12-30,6000.0
Дархан-Уул,2025-01-06,3700.0
Орхон,2025-01-06,4500.0
Ховд,2025-01-06,5000.0
Дархан-Уул,2025-01-13,3700.0
Орхон,2025-01-13,4000.0
Ховд,2025-01-13,5000.0
Дархан-Уул,2025-01-20,3700.0
Орхон,2025-01-20,4000.0
Ховд,2025-01-20,5000.0
Дархан-Уул,2025-01-27,3700.0
Орхон,2025-01-27,4500.0
Ховд,2025-01-27,5000.0
Дархан-Уул,2025-02-03,3700.0
Орхон,2025-02-03,4000.0
Ховд,2025-02-03,5000.0
Дархан-Уул,2025-02-10,3700.0
Орхон,2025-02-10,4000.0
Ховд,2025-02-10,5000.0
Дархан-Уул,2025-02-17,3867.0
Орхон,2025-02-17,4000.0
Ховд,2025-02-17,5000.0
Дархан-Уул,2025-02-24,3933.0
Орхон,2025-02-24,4000.0
Ховд,2025-02-24,5000.0
Дархан-Уул,2025-03-10,3933.0
Орхон,2025-03-10,4000.0
Ховд,2025-03-10,5000.0
Өмнөговь,2025-03-10,6000.0
Дархан-Уул,2025-03-17,3933.0
Орхон,2025-03-17,4000.0
Ховд,2025-03-17,5000.0
Өмнөговь,2025-03-17,6000.0
Дархан-Уул,2025-03-24,3333.0
Орхон,2025-03-24,4000.0
Ховд,2025-03-24,5000.0
Өмнөговь,2025-03-24,6000.0
Дархан-Уул,2025-03-31,3167.0
Орхон,2025-03-31,4000.0
Ховд,2025-03-31,5000.0
Өмнөговь,2025-03-31,6000.0
Дархан-Уул,2025-04-07,3333.0
Орхон,2025-04-07,4000.0
Ховд,2025-04-07,4000.0
Өмнөговь,2025-04-07,6000.0
Дархан-Уул,2025-04-14,3333.0
Орхон,2025-04-14,4000.0
Ховд,2025-04-14,4750.0
Өмнөговь,2025-04-14,6000.0
Дархан-Уул,2025-04-21,3333.0
Орхон,2025-04-21,4000.0
Ховд,2025-04-21,4000.0
Өмнөговь,2025-04-21,6000.0
Дархан-Уул,2025-04-28,3500.0
Орхон,2025-04-28,4000.0
Ховд,2025-04-28,4000.0
Өмнөговь,2025-04-28,6000.0
Дархан-Уул,2025-05-05,3000.0
Орхон,2025-05-05,3500.0
Ховд,2025-05-05,4000.0
Өмнөговь,2025-05-05,6000.0
Дархан-Уул,2025-05-12,3000.0
Орхон,2025-05-12,3500.0
Ховд,2025-05-12,4000.0
Өмнөговь,2025-05-12,6000.0
Дархан-Уул,2025-05-19,3000.0
Орхон,2025-05-19,3000.0
Ховд,2025-05-19,4000.0
Өмнөговь,2025-05-19,6000.0
Дархан-Уул,2025-05-26,3000.0
Орхон,2025-05-26,3000.0
Ховд,2025-05-26,3800.0
Өмнөговь,2025-05-26,6000.0
Дархан-Уул,2025-06-02,2667.0
Орхон,2025-06-02,2500.0
Ховд,2025-06-02,3500.0
Өмнөговь,2025-06-02,6000.0
Дархан-Уул,2025-06-09,2500.0
Орхон,2025-06-09,2500.0
Ховд,2025-06-09,3500.0
Өмнөговь,2025-06-09,6000.0
Дархан-Уул,2025-06-16,2500.0
Орхон,2025-06-16,2500.0
Ховд,2025-06-16,3500.0
Өмнөговь,2025-06-16,6000.0
Дархан-Уул,2025-06-23,2500.0
Орхон,2025-06-23,2500.0
Ховд,2025-06-23,3500.0
Өмнөговь,2025-06-23,6000.0
Дархан-Уул,2025-06-30,2500.0
Орхон,2025-06-30,2500.0
Ховд,2025-06-30,3500.0
Өмнөговь,2025-06-30,6000.0
Дархан-Уул,2025-07-07,2500.0
Орхон,2025-07-07,2500.0
Ховд,2025-07-07,3000.0
Өмнөговь,2025-07-07,6000.0
Дархан-Уул,2025-07-21,2500.0
Орхон,2025-07-21,2500.0
Ховд,2025-07-21,3000.0
Өмнөговь,2025-07-21,6000.0
Дархан-Уул,2025-07-28,2333.0
Орхон,2025-07-28,2500.0
Ховд,2025-07-28,3000.0
Өмнөговь,2025-07-28,6000.0
Дархан-Уул,2025-08-04,2333.0
Орхон,2025-08-04,2000.0
Ховд,2025-08-04,3000.0
Өмнөговь,2025-08-04,6000.0
Дархан-Уул,2025-08-11,2333.0
Орхон,2025-08-11,2000.0
Ховд,2025-08-11,3000.0
Өмнөговь,2025-08-11,6000.0
Дархан-Уул,2025-08-18,2333.0
Орхон,2025-08-18,2000.0
Ховд,2025-08-18,3000.0
Өмнөговь,2025-08-18,6000.0
Дархан-Уул,2025-08-25,2333.0
Орхон,2025-08-25,2000.0
Ховд,2025-08-25,3000.0
Өмнөговь,2025-08-25,6000.0
Дархан-Уул,2025-09-01,2500.0
Орхон,2025-09-01,2500.0
Ховд,2025-09-01,3000.0
Өмнөговь,2025-09-01,5000.0
Дархан-Уул,2025-09-08,2500.0
Орхон,2025-09-08,2500.0
Ховд,2025-09-08,3000.0
Өмнөговь,2025-09-08,5000.0
Дархан-Уул,2025-09-15,2500.0
Орхон,2025-09-15,2500.0
Ховд,2025-09-15,3500.0
Өмнөговь,2025-09-15,5000.0
Дархан-Уул,2025-09-22,2500.0
Орхон,2025-09-22,2500.0
Ховд,2025-09-22,4000.0
Өмнөговь,2025-09-22,5000.0
Дархан-Уул,2025-09-29,2500.0
Орхон,2025-09-29,2500.0
Ховд,2025-09-29,4000.0
Өмнөговь,2025-09-29,5000.0
Дархан-Уул,2025-10-06,2500.0
Орхон,2025-10-06,2500.0
Ховд,2025-10-06,4000.0
Өмнөговь,2025-10-06,5000.0
Дархан-Уул,2025-10-13,2833.0
Орхон,2025-10-13,2500.0
Ховд,2025-10-13,4500.0
Өмнөговь,2025-10-13,5000.0
Дархан-Уул,2025-10-20,3000.0
Орхон,2025-10-20,3500.0
Ховд,2025-10-20,4500.0
Өмнөговь,2025-10-20,5000.0
Дархан-Уул,2025-10-27,3000.0
Орхон,2025-10-27,3500.0
Ховд,2025-10-27,4500.0
Өмнөговь,2025-10-27,5000.0
Дархан-Уул,2025-11-03,3167.0
Орхон,2025-11-03,3500.0
Ховд,2025-11-03,5000.0
Өмнөговь,2025-11-03,5000.0
Дархан-Уул,2025-11-10,3167.0
Орхон,2025-11-10,3500.0
Ховд,2025-11-10,5000.0
Өмнөговь,2025-11-10,5000.0
Дархан-Уул,2025-11-17,3333.0
Орхон,2025-11-17,3500.0
Ховд,2025-11-17,5000.0
Өмнөговь,2025-11-17,5000.0
Дархан-Уул,2025-11-24,3500.0
Орхон,2025-11-24,3500.0
Ховд,2025-11-24,5000.0
Өмнөговь,2025-11-24,5000.0
Дархан-Уул,2025-12-01,3600.0
Орхон,2025-12-01,3500.0
Ховд,2025-12-01,5000.0
Өмнөговь,2025-12-01,5000.0
