country,year,imports_usd_mn
New Zealand,2005,1547.2
Nicaragua,2005,0.9
Norway,2005,584.3
Oman,2005,0.0
Pakistan,2005,40.3
Peru,2005,3.8
Philippines,2005,1270.4
Poland,2005,10004.9
Portugal,2005,20.9
Puerto Rico,2005,0.0
Qatar,2005,0.0
Republic of Korea,2005,63723.8
Republic of South Africa,2005,211.5
Romania,2005,69.3
Russian Federation,2005,417926.8
Saudi Arabia,2005,3.1
Senegal,2005,0.0
Serbia,2005,0.0
Seychelles,2005,39.4
Sierra Leone,2005,0.0
Singapore,2005,16276.0
Slovakia,2005,161.4
Slovenia,2005,516.0
Spain,2005,888.3
Sri Lanka,2005,1051.8
Swaziland,2005,0.0
Sweden,2005,2125.1
Switzerland,2005,1071.9
Syrian Arab Republic,2005,1.7
Taiwan,2005,2467.4
Tajikistan,2005,0.0
Thailand,2005,864.9
Tunisia,2005,5.4
Turkey,2005,2266.7
USA,2005,37054.1
Uganda,2005,0.0
Ukraine,2005,19590.4
United Arab Emirates,2005,367.1
United Kingdom of Great Britain and Northern Ireland,2005,8688.2
Uruguay,2005,0.0
Uzbekistan,2005,310.9
Vanuatu,2005,0.0
Venezuela,2005,0.0
Vietnam,2005,2568.9
Zimbabwe,2005,0.0
Afghanistan,2006,0.0
Albania,2006,0.0
Algeria,2006,0.0
Argentina,2006,3688.5
Armenia,2006,0.0
Aruba,2006,10.8
Australia,2006,36105.1
Austria,2006,1352.3
Azerbaijan,2006,13.9
Bahamas,2006,1.8
Bahrain,2006,0.0
Bangladesh,2006,404.7
Belarus,2006,5645.2
Belgium,2006,2903.0
Bosnia and Herzegovina,2006,0.0
Brazil,2006,2361.6
Bulgaria,2006,1607.3
Cambodia,2006,4.2
Canada,2006,9852.1
Chad,2006,0.0
Chile,2006,229.5
China,2006,368156.9
Colombia,2006,44.9
Costa Rica,2006,139.7
Croatia,2006,0.3
Cuba,2006,14.9
Cyprus,2006,211.0
Czech Republic,2006,5944.2
DPR Korea,2006,61.3
Denmark,2006,1951.2
Dominican Republic,2006,2.0
Ecuador,2006,9.8
Egypt,2006,1.5
El Salvador,2006,0.0
Estonia,2006,1185.6
Ethiopia,2006,0.0
Fiji,2006,0.0
Finland,2006,3172.8
France,2006,16770.0
Georgia,2006,420.2
Germany,2006,42988.9
Greece,2006,39.1
Greenland,2006,0.0
Guatemala,2006,30.4
Haiti,2006,0.0
Honduras,2006,0.0
Hungary,2006,4156.0
Iceland,2006,2.7
India,2006,2395.5
Indonesia,2006,3879.7
Iran,2006,1.6
Ireland,2006,414.3
Israel,2006,7272.2
Italy,2006,6858.6
Jamaica,2006,0.0
Japan,2006,97596.6
Jordan,2006,0.0
Kazakhstan,2006,49805.2
Kenya,2006,6.8
Kirgizstan,2006,1233.8
Kuwait,2006,7.2
Lao PDR,2006,0.7
Latvia,2006,353.1
Liechtenstein,2006,0.3
Lithuania,2006,89.5
Luxemburg,2006,52.8
Macedonia,2006,0.0
Madagascar,2006,0.0
Malaysia,2006,9752.1
Mali,2006,0.0
Malta,2006,1.2
Mauritania,2006,0.0
Mauritius,2006,0.0
Mexico,2006,804.6
Moldavia,2006,76.4
Monaco,2006,0.3
Morocco,2006,4.2
Myanmar,2006,0.0
Namibia,2006,0.0
Nepal,2006,2.0
Netherlands,2006,3896.4
New Zealand,2006,1048.1
Nicaragua,2006,5.2
Norway,2006,278.3
Oman,2006,0.0
Pakistan,2006,90.9
Peru,2006,0.0
Philippines,2006,1161.4
Poland,2006,12630.8
Portugal,2006,122.2
Puerto Rico,2006,1.0
Qatar,2006,0.0
Republic of Korea,2006,82511.4
Republic of South Africa,2006,187.1
Romania,2006,0.0
Russian Federation,2006,547798.0
Saudi Arabia,2006,1.3
Senegal,2006,0.0
Serbia,2006,124.4
Seychelles,2006,33.0
Sierra Leone,2006,0.0
Singapore,2006,20727.0
Slovakia,2006,402.1
Slovenia,2006,770.6
Spain,2006,1752.3
Sri Lanka,2006,415.0
Swaziland,2006,0.0
Sweden,2006,3144.4
Switzerland,2006,1411.1
Syrian Arab Republic,2006,0.0
Taiwan,2006,3167.2
Tajikistan,2006,0.0
Thailand,2006,2101.0
Tunisia,2006,1.9
Turkey,2006,3499.2
USA,2006,43556.1
Uganda,2006,0.0
Ukraine,2006,22849.4
United Arab Emirates,2006,302.5
United Kingdom of Great Britain and Northern Ireland,2006,9005.5
Uruguay,2006,0.0
Uzbekistan,2006,435.0
Vanuatu,2006,0.0
Venezuela,2006,1.0
Vietnam,2006,2961.6
Zimbabwe,2006,0.0
Afghanistan,2007,46.3
Albania,2007,0.0
Algeria,2007,0.0
Argentina,2007,3170.7
Armenia,2007,23.9
Aruba,2007,10.6
Australia,2007,38509.9
Austria,2007,5410.4
Azerbaijan,2007,24.3
Bahamas,2007,0.4
Bahrain,2007,0.0
Bangladesh,2007,477.0
Belarus,2007,7399.5
Belgium,2007,7060.7
Bosnia and Herzegovina,2007,0.0
Brazil,2007,3117.4
Bulgaria,2007,2921.4
Cambodia,2007,24.1
Canada,2007,10636.3
Chad,2007,0.0
Chile,2007,605.4
China,2007,572624.1
Colombia,2007,904.3
Costa Rica,2007,98.4
Croatia,2007,37.8
Cuba,2007,27.6
Cyprus,2007,308.0
Czech Republic,2007,6305.8
DPR Korea,2007,238.4
Denmark,2007,2849.1
Dominican Republic,2007,34.3
Ecuador,2007,7.0
Egypt,2007,56.0
El Salvador,2007,0.0
Estonia,2007,2600.7
Ethiopia,2007,0.0
Fiji,2007,0.0
Finland,2007,7512.6
France,2007,24046.2
Georgia,2007,394.1
Germany,2007,76473.1
Greece,2007,41.1
Greenland,2007,0.0
Guatemala,2007,0.0
Haiti,2007,0.0
Honduras,2007,0.0
Hungary,2007,3934.9
Iceland,2007,35.0
India,2007,8447.2
Indonesia,2007,3885.3
Iran,2007,101.9
Ireland,2007,449.9
Israel,2007,5861.8
Italy,2007,9838.6
Jamaica,2007,0.1
Japan,2007,140217.7
Jordan,2007,1.9
Kazakhstan,2007,30197.5
Kenya,2007,0.0
Kirgizstan,2007,1817.4
Kuwait,2007,32.0
Lao PDR,2007,0.6
Latvia,2007,7360.8
Liechtenstein,2007,0.9
Lithuania,2007,314.1
Luxemburg,2007,28.6
Macedonia,2007,0.0
Madagascar,2007,0.0
Malaysia,2007,19808.6
Mali,2007,0.0
Malta,2007,1.8
Mauritania,2007,0.0
Mauritius,2007,0.3
Mexico,2007,2069.5
Moldavia,2007,140.4
Monaco,2007,0.6
Morocco,2007,2.9
Myanmar,2007,0.0
Namibia,2007,0.0
Nepal,2007,21.6
Netherlands,2007,5548.6
New Zealand,2007,1407.9
Nicaragua,2007,3.2
Norway,2007,91.7
Oman,2007,0.0
Pakistan,2007,6.2
Peru,2007,0.0
Philippines,2007,994.6
Poland,2007,24276.1
Portugal,2007,53.0
Puerto Rico,2007,4.8
Qatar,2007,0.0
Republic of Korea,2007,119580.7
Republic of South Africa,2007,494.2
Romania,2007,570.1
Russian Federation,2007,745046.4
Saudi Arabia,2007,39.7
Senegal,2007,0.0
Serbia,2007,0.0
Seychelles,2007,51.4
Sierra Leone,2007,0.0
Singapore,2007,29279.0
Slovakia,2007,440.3
Slovenia,2007,1190.3
Spain,2007,8445.8
Sri Lanka,2007,518.6
Swaziland,2007,0.0
Sweden,2007,7481.3
Switzerland,2007,1050.3
Syrian Arab Republic,2007,0.0
Taiwan,2007,3685.5
Tajikistan,2007,0.0
Thailand,2007,6610.9
Tunisia,2007,7.3
Turkey,2007,5274.8
USA,2007,55741.3
Uganda,2007,0.4
Ukraine,2007,35001.1
United Arab Emirates,2007,2398.7
United Kingdom of Great Britain and Northern Ireland,2007,13787.8
Uruguay,2007,0.0
Uzbekistan,2007,1118.6
Vanuatu,2007,0.0
Venezuela,2007,0.0
Vietnam,2007,6323.7
Zimbabwe,2007,0.0
Afghanistan,2008,0.1
Albania,2008,0.2
Algeria,2008,0.0
Argentina,2008,7081.6
Armenia,2008,32.8
Aruba,2008,27.5
Australia,2008,36459.8
Austria,2008,6296.9
Azerbaijan,2008,34.5
Bahamas,2008,0.0
Bahrain,2008,0.2
Bangladesh,2008,370.0
Belarus,2008,8867.2
Belgium,2008,15329.1
Bosnia and Herzegovina,2008,0.0
Brazil,2008,9890.1
Bulgaria,2008,3845.4
Cambodia,2008,20.4
Canada,2008,10776.0
Chad,2008,0.0
Chile,2008,816.7
China,2008,905953.4
Colombia,2008,50.1
Costa Rica,2008,23.0
Croatia,2008,67.4
Cuba,2008,403.0
Cyprus,2008,511.5
Czech Republic,2008,13837.8
DPR Korea,2008,21.9
Denmark,2008,4020.6
Dominican Republic,2008,33.2
Ecuador,2008,29.1
Egypt,2008,661.3
El Salvador,2008,2.5
Estonia,2008,1214.7
Ethiopia,2008,0.0
Fiji,2008,0.0
Finland,2008,6720.8
France,2008,33664.7
Georgia,2008,349.6
Germany,2008,92607.1
Greece,2008,210.7
Greenland,2008,0.0
Guatemala,2008,748.2
Haiti,2008,0.0
Honduras,2008,0.3
Hungary,2008,5531.3
Iceland,2008,3.7
India,2008,18947.5
Indonesia,2008,6829.4
Iran,2008,318.2
Ireland,2008,4753.6
Israel,2008,3845.5
Italy,2008,14837.2
Jamaica,2008,0.0
Japan,2008,238526.7
Jordan,2008,11.4
Kazakhstan,2008,25623.3
Kenya,2008,4.5
Kirgizstan,2008,1498.8
Kuwait,2008,59.8
Lao PDR,2008,1.5
Latvia,2008,596.6
Liechtenstein,2008,0.1
Lithuania,2008,2611.1
Luxemburg,2008,57.3
Macedonia,2008,0.0
Madagascar,2008,0.0
Malaysia,2008,26104.8
Mali,2008,0.0
Malta,2008,0.1
Mauritania,2008,0.0
Mauritius,2008,1.4
Mexico,2008,994.1
Moldavia,2008,255.0
Monaco,2008,11.5
Morocco,2008,14.1
Myanmar,2008,0.0
Namibia,2008,0.0
Nepal,2008,20.5
Netherlands,2008,11543.5
New Zealand,2008,1017.2
Nicaragua,2008,8.3
Norway,2008,1033.5
Oman,2008,47.7
Pakistan,2008,151.7
Peru,2008,1.8
Philippines,2008,1135.7
Poland,2008,32621.2
Portugal,2008,150.8
Puerto Rico,2008,2.1
Qatar,2008,16.5
Republic of Korea,2008,194818.4
Republic of South Africa,2008,549.5
Romania,2008,530.2
Russian Federation,2008,1242275.2
Saudi Arabia,2008,102.5
Senegal,2008,0.0
Serbia,2008,0.2
Seychelles,2008,188.0
Sierra Leone,2008,0.0
Singapore,2008,45599.6
Slovakia,2008,1042.6
Slovenia,2008,2039.3
Spain,2008,9542.4
Sri Lanka,2008,837.9
Swaziland,2008,0.0
Sweden,2008,11594.5
Switzerland,2008,3025.5
Syrian Arab Republic,2008,0.2
Taiwan,2008,7221.0
Tajikistan,2008,3.5
Thailand,2008,16887.3
Tunisia,2008,34.8
Turkey,2008,12476.7
USA,2008,84115.2
Uganda,2008,0.0
Ukraine,2008,49101.5
United Arab Emirates,2008,904.7
United Kingdom of Great Britain and Northern Ireland,2008,17432.2
Uruguay,2008,0.0
Uzbekistan,2008,89.2
Vanuatu,2008,0.0
Venezuela,2008,0.7
Vietnam,2008,9627.1
Zimbabwe,2008,0.0
Afghanistan,2009,0.7
Albania,2009,37.9
Algeria,2009,0.0
Argentina,2009,1639.7
Armenia,2009,18.2
Aruba,2009,7.5
Australia,2009,34068.2
Austria,2009,9096.0
Azerbaijan,2009,0.0
Bahamas,2009,3.6
Bahrain,2009,0.0
Bangladesh,2009,2128.8
Belarus,2009,11433.1
Belgium,2009,5433.5
Bosnia and Herzegovina,2009,0.0
Brazil,2009,3741.7
Bulgaria,2009,2741.1
Cambodia,2009,10.8
Canada,2009,7492.2
Chad,2009,0.0
Chile,2009,300.7
China,2009,542351.0
Colombia,2009,78.8
Costa Rica,2009,186.8
Croatia,2009,143.3
Cuba,2009,24.8
Cyprus,2009,292.7
Czech Republic,2009,7976.5
DPR Korea,2009,47.1
Denmark,2009,2199.9
Dominican Republic,2009,42.5
Ecuador,2009,26.4
Egypt,2009,716.1
El Salvador,2009,8.1
Estonia,2009,44.5
Ethiopia,2009,0.0
Fiji,2009,0.0
Finland,2009,3600.9
France,2009,59431.3
Georgia,2009,351.6
Germany,2009,70289.6
Greece,2009,110.1
Greenland,2009,11.3
Guatemala,2009,1.1
Haiti,2009,0.0
Honduras,2009,0.5
Hungary,2009,3126.7
Iceland,2009,5.2
India,2009,11540.2
Indonesia,2009,5051.8
Iran,2009,0.5
Ireland,2009,975.3
Israel,2009,2707.4
Italy,2009,16463.6
Jamaica,2009,0.6
Japan,2009,97053.5
Jordan,2009,12.2
Kazakhstan,2009,16775.5
Kenya,2009,0.0
Kirgizstan,2009,1804.1
Kuwait,2009,53.2
Lao PDR,2009,0.0
Latvia,2009,1767.7
Liechtenstein,2009,0.3
Lithuania,2009,1155.0
Luxemburg,2009,25.2
Macedonia,2009,0.0
Madagascar,2009,0.1
Malaysia,2009,19341.8
Mali,2009,0.0
Malta,2009,3.7
Mauritania,2009,0.0
Mauritius,2009,2.5
Mexico,2009,6303.9
Moldavia,2009,40.8
Monaco,2009,8.0
Morocco,2009,5.7
Myanmar,2009,0.0
Namibia,2009,0.0
Nepal,2009,17.8
Netherlands,2009,7606.0
New Zealand,2009,3564.0
Nicaragua,2009,1.7
Norway,2009,136.5
Oman,2009,0.0
Pakistan,2009,167.8
Peru,2009,1.0
Philippines,2009,1542.6
Poland,2009,17470.3
Portugal,2009,116.5
Puerto Rico,2009,21.7
Qatar,2009,16.0
Republic of Korea,2009,155102.2
Republic of South Africa,2009,213.2
Romania,2009,797.0
Russian Federation,2009,772815.3
Saudi Arabia,2009,250.3
Senegal,2009,1.1
Serbia,2009,5.3
Seychelles,2009,0.0
Sierra Leone,2009,0.0
Singapore,2009,27739.7
Slovakia,2009,923.6
Slovenia,2009,3757.5
Spain,2009,2695.1
Sri Lanka,2009,613.7
Swaziland,2009,0.0
Sweden,2009,19216.5
Switzerland,2009,3111.8
Syrian Arab Republic,2009,0.6
Taiwan,2009,3768.4
Tajikistan,2009,3.6
Thailand,2009,15891.5
Tunisia,2009,67.3
Turkey,2009,5918.5
USA,2009,103743.6
Uganda,2009,1.0
Ukraine,2009,41820.2
United Arab Emirates,2009,202.0
United Kingdom of Great Britain and Northern Ireland,2009,12494.4
Uruguay,2009,0.2
Uzbekistan,2009,211.8
Vanuatu,2009,0.0
Venezuela,2009,0.7
Vietnam,2009,7714.2
Zimbabwe,2009,0.0
Afghanistan,2010,0.0
Albania,2010,53.1
Algeria,2010,2.6
Argentina,2010,4571.8
Armenia,2010,29.9
Aruba,2010,1.4
Australia,2010,87889.9
Austria,2010,3565.2
Azerbaijan,2010,281.4
Bahamas,2010,8.0
Bahrain,2010,0.7
Bangladesh,2010,620.4
Belarus,2010,15212.2
Belgium,2010,13319.6
Bosnia and Herzegovina,2010,37.6
Brazil,2010,5567.1
Bulgaria,2010,2931.9
Cambodia,2010,29.9
Canada,2010,22312.8
Chad,2010,0.0
Chile,2010,606.2
China,2010,976214.1
Colombia,2010,170.8
Costa Rica,2010,64.4
Croatia,2010,119.9
Cuba,2010,30.4
Cyprus,2010,1186.9
Czech Republic,2010,8128.2
DPR Korea,2010,798.5
Denmark,2010,4555.4
Dominican Republic,2010,21.9
Ecuador,2010,49.4
Egypt,2010,265.6
El Salvador,2010,4.2
Estonia,2010,1134.4
Ethiopia,2010,0.3
Fiji,2010,0.1
Finland,2010,12961.6
France,2010,52774.7
Georgia,2010,444.2
Germany,2010,87243.8
Greece,2010,298.1
Greenland,2010,0.7
Guatemala,2010,6.0
Haiti,2010,0.2
Honduras,2010,2.4
Hungary,2010,4532.5
Iceland,2010,12.1
India,2010,16813.3
Indonesia,2010,6383.9
Iran,2010,1109.6
Ireland,2010,910.6
Israel,2010,2156.4
Italy,2010,23091.7
Jamaica,2010,2.4
Japan,2010,196488.0
Jordan,2010,6.7
Kazakhstan,2010,8339.4
Kenya,2010,1.3
Kirgizstan,2010,1904.5
Kuwait,2010,59.9
Lao PDR,2010,5.9
Latvia,2010,2346.8
Liechtenstein,2010,22.6
Lithuania,2010,1572.5
Luxemburg,2010,74.8
Macedonia,2010,41.4
Madagascar,2010,1.2
Malaysia,2010,31306.0
Mali,2010,1.7
Malta,2010,85.2
Mauritania,2010,2.2
Mauritius,2010,13.5
Mexico,2010,6164.8
Moldavia,2010,229.3
Monaco,2010,16.6
Morocco,2010,12.8
Myanmar,2010,28.8
Namibia,2010,16.9
Nepal,2010,42.6
Netherlands,2010,12918.5
New Zealand,2010,10649.3
Nicaragua,2010,2.5
Norway,2010,342.3
Oman,2010,0.0
Pakistan,2010,256.0
Peru,2010,28.1
Philippines,2010,1223.3
Poland,2010,29367.4
Portugal,2010,267.6
Puerto Rico,2010,0.5
Qatar,2010,9.1
Republic of Korea,2010,181781.9
Republic of South Africa,2010,8849.3
Romania,2010,1710.8
Russian Federation,2010,1046695.2
Saudi Arabia,2010,148.6
Senegal,2010,10.1
Serbia,2010,370.6
Seychelles,2010,67.7
Sierra Leone,2010,1.2
Singapore,2010,51040.2
Slovakia,2010,1524.6
Slovenia,2010,4090.6
Spain,2010,5963.2
Sri Lanka,2010,1596.4
Swaziland,2010,0.0
Sweden,2010,16733.8
Switzerland,2010,4212.8
Syrian Arab Republic,2010,11.4
Taiwan,2010,5238.1
Tajikistan,2010,0.1
Thailand,2010,18351.9
Tunisia,2010,217.0
Turkey,2010,9645.8
USA,2010,158915.3
Uganda,2010,0.0
Ukraine,2010,41627.1
United Arab Emirates,2010,238.8
United Kingdom of Great Britain and Northern Ireland,2010,19959.2
Uruguay,2010,745.1
Uzbekistan,2010,67.8
Vanuatu,2010,0.0
Venezuela,2010,0.0
Vietnam,2010,12360.2
Zimbabwe,2010,0.0
Afghanistan,2011,0.91
Albania,2011,102.92
Algeria,2011,2.92
Argentina,2011,9619.16
Armenia,2011,15.39
Aruba,2011,2.27
Australia,2011,205666.2
Austria,2011,17343.86
Azerbaijan,2011,442.11
Bahamas,2011,2.62
Bahrain,2011,10.84
Bangladesh,2011,1235.72
Belarus,2011,72314.0
Belgium,2011,22718.93
Bosnia and Herzegovina,2011,137.72
Brazil,2011,11804.69
Bulgaria,2011,4702.06
Cambodia,2011,72.4
Canada,2011,128286.58
Chad,2011,21.57
Chile,2011,8190.12
China,2011,2032877.58
Colombia,2011,1895.01
Costa Rica,2011,40.2
Croatia,2011,303.12
Cuba,2011,35.55
Cyprus,2011,1019.74
Czech Republic,2011,9759.99
DPR Korea,2011,780.37
Denmark,2011,6054.26
Dominican Republic,2011,18.97
Ecuador,2011,345.59
Egypt,2011,1476.34
El Salvador,2011,11.16
Estonia,2011,361.14
Ethiopia,2011,0.0
Fiji,2011,0.57
Finland,2011,18089.61
France,2011,100214.6
Georgia,2011,652.64
Germany,2011,273639.01
Greece,2011,509.85
Greenland,2011,0.0
Guatemala,2011,345.31
Haiti,2011,0.37
Honduras,2011,9.08
Hungary,2011,7045.02
Iceland,2011,7.83
India,2011,45400.98
Indonesia,2011,11718.64
Iran,2011,507.81
Ireland,2011,4029.9
Israel,2011,2050.71
Italy,2011,39477.82
Jamaica,2011,1.52
Japan,2011,490225.71
Jordan,2011,12.6
Kazakhstan,2011,16940.98
Kenya,2011,0.0
Kirgizstan,2011,1865.95
Kuwait,2011,0.95
Lao PDR,2011,81.12
Latvia,2011,2461.71
Liechtenstein,2011,3.12
Lithuania,2011,15570.97
Luxemburg,2011,349.32
Macedonia,2011,109.37
Madagascar,2011,4.69
Malaysia,2011,64665.88
Mali,2011,112.21
Malta,2011,104.07
Mauritania,2011,3.21
Mauritius,2011,290.31
Mexico,2011,9772.32
Moldavia,2011,94.19
Monaco,2011,0.15
Morocco,2011,44.86
Myanmar,2011,17.83
Namibia,2011,0.0
Nepal,2011,47.49
Netherlands,2011,19301.53
New Zealand,2011,17017.16
Nicaragua,2011,0.24
Norway,2011,449.15
Oman,2011,143.89
Pakistan,2011,895.3
Peru,2011,32.82
Philippines,2011,1937.58
Poland,2011,46868.03
Portugal,2011,364.12
Puerto Rico,2011,13.59
Qatar,2011,43.84
Republic of Korea,2011,356725.09
Republic of South Africa,2011,12138.07
Romania,2011,2680.0
Russian Federation,2011,1624705.8
Saudi Arabia,2011,196.98
Senegal,2011,15.65
Serbia,2011,522.45
Seychelles,2011,75.16
Sierra Leone,2011,2.8
Singapore,2011,69454.03
Slovakia,2011,2216.46
Slovenia,2011,6684.66
Spain,2011,12500.49
Sri Lanka,2011,1056.39
Swaziland,2011,1.01
Sweden,2011,48121.53
Switzerland,2011,13898.88
Syrian Arab Republic,2011,35.21
Taiwan,2011,8996.22
Tajikistan,2011,8.82
Thailand,2011,32368.22
Tunisia,2011,547.78
Turkey,2011,36835.5
USA,2011,536024.59
Uganda,2011,0.0
Ukraine,2011,153372.13
United Arab Emirates,2011,5077.66
United Kingdom of Great Britain and Northern Ireland,2011,47425.94
Uruguay,2011,0.0
Uzbekistan,2011,456.67
Vanuatu,2011,0.0
Venezuela,2011,9.4
Vietnam,2011,15223.67
Zimbabwe,2011,84.3
Afghanistan,2012,1.56
Albania,2012,43.56
Algeria,2012,0.0
Argentina,2012,3415.49
Armenia,2012,46.49
Aruba,2012,0.0
Australia,2012,180504.01
Austria,2012,13256.85
Azerbaijan,2012,769.13
Bahamas,2012,0.0
Bahrain,2012,11.25
Bangladesh,2012,1155.48
Belarus,2012,129365.19
Belgium,2012,19110.41
Bosnia and Herzegovina,2012,154.89
Brazil,2012,6187.11
Bulgaria,2012,6285.91
Cambodia,2012,299.02
Canada,2012,97243.6
Chad,2012,0.0
Chile,2012,18994.08
China,2012,1873414.92
Colombia,2012,75.54
Costa Rica,2012,72.76
Croatia,2012,506.08
Cuba,2012,50.85
Cyprus,2012,1416.98
Czech Republic,2012,20672.98
DPR Korea,2012,525.64
Denmark,2012,5538.95
Dominican Republic,2012,30.2
Ecuador,2012,194.81
Egypt,2012,1182.42
El Salvador,2012,0.15
Estonia,2012,2157.04
Ethiopia,2012,3.05
Fiji,2012,0.0
Finland,2012,23348.7
France,2012,63578.43
Georgia,2012,496.65
Germany,2012,246444.28
Greece,2012,513.25
Greenland,2012,0.0
Guatemala,2012,727.02
Haiti,2012,0.0
Honduras,2012,17.58
Hungary,2012,9564.52
Iceland,2012,251.55
India,2012,54307.0
Indonesia,2012,19783.14
Iran,2012,1779.05
Ireland,2012,6027.73
Israel,2012,3890.13
Italy,2012,53290.53
Jamaica,2012,4.81
Japan,2012,501618.18
Jordan,2012,6.94
Kazakhstan,2012,20499.29
Kenya,2012,1.76
Kirgizstan,2012,1621.08
Kuwait,2012,113.51
Lao PDR,2012,50.92
Latvia,2012,6029.2
Liechtenstein,2012,6.9
Lithuania,2012,9436.04
Luxemburg,2012,191.95
Macedonia,2012,59.09
Madagascar,2012,6.18
Malaysia,2012,67755.38
Mali,2012,1.03
Malta,2012,51.98
Mauritania,2012,2.12
Mauritius,2012,35.7
Mexico,2012,9726.8
Moldavia,2012,209.7
Monaco,2012,6.98
Morocco,2012,62.33
Myanmar,2012,38.26
Namibia,2012,0.09
Nepal,2012,74.89
Netherlands,2012,28413.52
New Zealand,2012,19797.34
Nicaragua,2012,12.29
Norway,2012,290.86
Oman,2012,32.15
Pakistan,2012,679.05
Peru,2012,71.97
Philippines,2012,2870.61
Poland,2012,57121.95
Portugal,2012,641.97
Puerto Rico,2012,24.09
Qatar,2012,0.0
Republic of Korea,2012,467751.49
Republic of South Africa,2012,3349.54
Romania,2012,4070.05
Russian Federation,2012,1847385.7
Saudi Arabia,2012,256.3
Senegal,2012,5.17
Serbia,2012,599.33
Seychelles,2012,0.0
Sierra Leone,2012,0.86
Singapore,2012,69239.8
Slovakia,2012,2672.22
Slovenia,2012,8348.97
Spain,2012,23641.11
Sri Lanka,2012,2748.56
Swaziland,2012,71.95
Sweden,2012,40996.02
Switzerland,2012,14202.78
Syrian Arab Republic,2012,0.79
Taiwan,2012,11858.12
Tajikistan,2012,14.37
Thailand,2012,41010.01
Tunisia,2012,913.97
Turkey,2012,34096.61
USA,2012,535945.95
Uganda,2012,0.0
Ukraine,2012,69875.61
United Arab Emirates,2012,1855.01
United Kingdom of Great Britain and Northern Ireland,2012,53539.73
Uruguay,2012,11.51
Uzbekistan,2012,4769.87
Vanuatu,2012,0.0
Venezuela,2012,2.27
Vietnam,2012,16340.5
Zimbabwe,2012,87.02
Afghanistan,2013,3.41
Albania,2013,49.93
Algeria,2013,0.0
Argentina,2013,4392.99
Armenia,2013,61.97
Aruba,2013,0.0
Australia,2013,120563.41
Austria,2013,6943.32
Azerbaijan,2013,487.2
Bahamas,2013,1.69
Bahrain,2013,0.32
Bangladesh,2013,1780.33
Belarus,2013,154979.61
Belgium,2013,18408.66
Bosnia and Herzegovina,2013,125.36
Brazil,2013,7172.21
Bulgaria,2013,7674.7
Cambodia,2013,330.52
Canada,2013,80389.07
Chad,2013,0.0
Chile,2013,2571.62
China,2013,1822603.59
Colombia,2013,47.83
Costa Rica,2013,212.61
Croatia,2013,832.41
Cuba,2013,30.61
Cyprus,2013,1511.52
Czech Republic,2013,16132.67
DPR Korea,2013,679.78
Denmark,2013,18996.95
Dominican Republic,2013,110.8
Ecuador,2013,245.54
Egypt,2013,1366.32
El Salvador,2013,20.35
Estonia,2013,1425.27
Ethiopia,2013,8.29
Fiji,2013,18.96
Finland,2013,24951.86
France,2013,62545.97
Georgia,2013,914.11
Germany,2013,252179.2
Greece,2013,1482.76
Greenland,2013,0.0
Guatemala,2013,2.52
Haiti,2013,2.51
Honduras,2013,4.43
Hungary,2013,10072.16
Iceland,2013,131.97
India,2013,34280.8
Indonesia,2013,17505.43
Iran,2013,319.77
Ireland,2013,3529.64
Israel,2013,2218.0
