year,region,physicians
2003,Dornogovi,144
2003,Dundgovi,98
2003,Govi-Altai,119
2003,Govisumber,34
2003,Khentii,108
2003,Khovd,137
2003,Khuvsgul,167
2003,Orkhon,241
2003,Selenge,186
2003,Sukhbaatar,97
2003,Tuv,112
2003,Ulaanbaatar,3832
2003,Umnugovi,89
2003,Uvs,118
2003,Uvurkhangai,166
2003,Zavkhan,120
2004,Arkhangai,125
2004,Bayan-Ulgii,141
2004,Bayankhongor,117
2004,Bulgan,98
2004,Darkhan-Uul,227
2004,Dornod,138
2004,Dornogovi,120
2004,Dundgovi,89
2004,Govi-Altai,116
2004,Govisumber,35
2004,Khentii,113
2004,Khovd,121
2004,Khuvsgul,164
2004,Orkhon,227
2004,Selenge,179
2004,Sukhbaatar,93
2004,Tuv,117
2004,Ulaanbaatar,3904
2004,Umnugovi,75
2004,Uvs,121
2004,Uvurkhangai,161
2004,Zavkhan,109
2005,Arkhangai,121
2005,Bayan-Ulgii,141
2005,Bayankhongor,107
2005,Bulgan,103
2005,Darkhan-Uul,228
2005,Dornod,123
2005,Dornogovi,144
2005,Dundgovi,81
2005,Govi-Altai,112
2005,Govisumber,33
2005,Khentii,111
2005,Khovd,121
2005,Khuvsgul,167
2005,Orkhon,232
2005,Selenge,187
2005,Sukhbaatar,96
2005,Tuv,126
2005,Ulaanbaatar,4073
2005,Umnugovi,79
2005,Uvs,129
2005,Uvurkhangai,171
2005,Zavkhan,103
2006,Arkhangai,130
2006,Bayan-Ulgii,141
2006,Bayankhongor,101
2006,Bulgan,106
2006,Darkhan-Uul,221
2006,Dornod,131
2006,Dornogovi,154
2006,Dundgovi,79
2006,Govi-Altai,106
2006,Govisumber,39
2006,Khentii,126
2006,Khovd,128
2006,Khuvsgul,161
2006,Orkhon,237
2006,Selenge,178
2006,Sukhbaatar,98
2006,Tuv,127
2006,Ulaanbaatar,4322
2006,Umnugovi,89
2006,Uvs,127
2006,Uvurkhangai,173
2006,Zavkhan,105
2007,Arkhangai,132
2007,Bayan-Ulgii,142
2007,Bayankhongor,110
2007,Bulgan,102
2007,Darkhan-Uul,222
2007,Dornod,134
2007,Dornogovi,153
2007,Dundgovi,88
2007,Govi-Altai,109
2007,Govisumber,42
2007,Khentii,141
2007,Khovd,128
2007,Khuvsgul,172
2007,Orkhon,251
2007,Selenge,174
2007,Sukhbaatar,105
2007,Tuv,132
2007,Ulaanbaatar,4472
2007,Umnugovi,95
2007,Uvs,137
2007,Uvurkhangai,182
2007,Zavkhan,113
2008,Arkhangai,146
2008,Bayan-Ulgii,141
2008,Bayankhongor,123
2008,Bulgan,110
2008,Darkhan-Uul,237
2008,Dornod,133
2008,Dornogovi,190
2008,Dundgovi,93
2008,Govi-Altai,113
2008,Govisumber,43
2008,Khentii,150
2008,Khovd,124
2008,Khuvsgul,173
2008,Orkhon,252
2008,Selenge,187
2008,Sukhbaatar,110
2008,Tuv,138
2008,Ulaanbaatar,4562
2008,Umnugovi,109
2008,Uvs,138
2008,Uvurkhangai,186
2008,Zavkhan,126
2009,Arkhangai,125
2009,Bayan-Ulgii,132
2009,Bayankhongor,104
2009,Bulgan,94
2009,Darkhan-Uul,231
2009,Dornod,138
2009,Dornogovi,178
2009,Dundgovi,91
2009,Govi-Altai,115
2009,Govisumber,41
2009,Khentii,146
2009,Khovd,123
2009,Khuvsgul,160
2009,Orkhon,224
2009,Selenge,165
2009,Sukhbaatar,101
2009,Tuv,131
2009,Ulaanbaatar,4328
2009,Umnugovi,106
2009,Uvs,116
2009,Uvurkhangai,173
2009,Zavkhan,118
2010,Arkhangai,136
2010,Bayan-Ulgii,144
2010,Bayankhongor,111
2010,Bulgan,91
2010,Darkhan-Uul,231
2010,Dornod,134
2010,Dornogovi,184
2010,Dundgovi,88
2010,Govi-Altai,124
2010,Govisumber,39
2010,Khentii,141
2010,Khovd,148
2010,Khuvsgul,175
2010,Orkhon,246
2010,Selenge,161
2010,Sukhbaatar,106
2010,Tuv,138
2010,Ulaanbaatar,4565
2010,Umnugovi,117
2010,Uvs,122
2010,Uvurkhangai,176
2010,Zavkhan,120
2011,Arkhangai,143
2011,Bayan-Ulgii,145
2011,Bayankhongor,125
2011,Bulgan,101
2011,Darkhan-Uul,242
2011,Dornod,138
2011,Dornogovi,179
2011,Dundgovi,84
2011,Govi-Altai,138
2011,Govisumber,45
2011,Khentii,144
2011,Khovd,149
2011,Khuvsgul,172
2011,Orkhon,252
2011,Selenge,166
2011,Sukhbaatar,112
2011,Tuv,154
2011,Ulaanbaatar,4907
2011,Umnugovi,119
2011,Uvs,120
2011,Uvurkhangai,180
2011,Zavkhan,128
2012,Arkhangai,147
2012,Bayan-Ulgii,145
2012,Bayankhongor,134
2012,Bulgan,108
2012,Darkhan-Uul,248
2012,Dornod,159
2012,Dornogovi,183
2012,Dundgovi,99
2012,Govi-Altai,149
2012,Govisumber,48
2012,Khentii,152
2012,Khovd,169
2012,Khuvsgul,198
2012,Orkhon,257
2012,Selenge,160
2012,Sukhbaatar,115
2012,Tuv,159
2012,Ulaanbaatar,5359
2012,Umnugovi,135
2012,Uvs,136
2012,Uvurkhangai,194
2012,Zavkhan,143
2013,Arkhangai,151
2013,Bayan-Ulgii,149
2013,Bayankhongor,146
2013,Bulgan,101
2013,Darkhan-Uul,250
2013,Dornod,172
2013,Dornogovi,205
2013,Dundgovi,106
2013,Govi-Altai,157
2013,Govisumber,56
2013,Khentii,153
2013,Khovd,167
2013,Khuvsgul,204
2013,Orkhon,268
2013,Selenge,182
2013,Sukhbaatar,121
2013,Tuv,180
2013,Ulaanbaatar,5495
2013,Umnugovi,147
2013,Uvs,138
2013,Uvurkhangai,213
2013,Zavkhan,150
2014,Arkhangai,160
2014,Bayan-Ulgii,156
2014,Bayankhongor,165
2014,Bulgan,106
2014,Darkhan-Uul,252
2014,Dornod,170
2014,Dornogovi,196
2014,Dundgovi,111
2014,Govi-Altai,161
2014,Govisumber,58
2014,Khentii,151
2014,Khovd,178
2014,Khuvsgul,217
2014,Orkhon,259
2014,Selenge,189
2014,Sukhbaatar,121
2014,Tuv,184
2014,Ulaanbaatar,5793
2014,Umnugovi,159
2014,Uvs,143
2014,Uvurkhangai,218
2014,Zavkhan,153
2015,Arkhangai,167
2015,Bayan-Ulgii,166
2015,Bayankhongor,159
2015,Bulgan,111
2015,Darkhan-Uul,263
2015,Dornod,169
2015,Dornogovi,210
2015,Dundgovi,123
2015,Govi-Altai,172
2015,Govisumber,56
2015,Khentii,155
2015,Khovd,194
2015,Khuvsgul,231
2015,Orkhon,267
2015,Selenge,209
2015,Sukhbaatar,140
2015,Tuv,189
2015,Ulaanbaatar,5834
2015,Umnugovi,170
2015,Uvs,169
2015,Uvurkhangai,248
2015,Zavkhan,161
2016,Arkhangai,184
2016,Bayan-Ulgii,186
2016,Bayankhongor,174
2016,Bulgan,120
2016,Darkhan-Uul,284
2016,Dornod,174
2016,Dornogovi,223
2016,Dundgovi,128
2016,Govi-Altai,177
2016,Govisumber,52
2016,Khentii,165
2016,Khovd,208
2016,Khuvsgul,239
2016,Orkhon,325
2016,Selenge,235
2016,Sukhbaatar,152
2016,Tuv,199
2016,Ulaanbaatar,5986
2016,Umnugovi,182
2016,Uvs,170
2016,Uvurkhangai,255
2016,Zavkhan,182
2017,Arkhangai,172
2017,Bayan-Ulgii,203
2017,Bayankhongor,187
2017,Bulgan,122
2017,Darkhan-Uul,274
2017,Dornod,183
2017,Dornogovi,222
2017,Dundgovi,141
2017,Govi-Altai,187
2017,Govisumber,57
2017,Khentii,180
2017,Khovd,231
2017,Khuvsgul,249
2017,Orkhon,325
2017,Selenge,246
2017,Sukhbaatar,153
2017,Tuv,218
2017,Ulaanbaatar,6429
2017,Umnugovi,189
2017,Uvs,169
2017,Uvurkhangai,258
2017,Zavkhan,181
2018,Arkhangai,185
2018,Bayan-Ulgii,213
2018,Bayankhongor,202
2018,Bulgan,111
2018,Darkhan-Uul,271
2018,Dornod,188
2018,Dornogovi,242
2018,Dundgovi,137
2018,Govi-Altai,193
2018,Govisumber,63
2018,Khentii,180
2018,Khovd,239
2018,Khuvsgul,260
2018,Orkhon,344
2018,Selenge,251
2018,Sukhbaatar,157
2018,Tuv,217
2018,Ulaanbaatar,6895
2018,Umnugovi,197
2018,Uvs,181
2018,Uvurkhangai,265
2018,Zavkhan,178
2019,Arkhangai,205
2019,Bayan-Ulgii,238
2019,Bayankhongor,213
2019,Bulgan,133
2019,Darkhan-Uul,282
2019,Dornod,200
2019,Dornogovi,249
2019,Dundgovi,153
2019,Govi-Altai,185
2019,Govisumber,66
2019,Khentii,193
2019,Khovd,263
2019,Khuvsgul,274
2019,Orkhon,373
2019,Selenge,247
2019,Sukhbaatar,146
2019,Tuv,214
2019,Ulaanbaatar,7263
2019,Umnugovi,227
2019,Uvs,197
2019,Uvurkhangai,285
2019,Zavkhan,182
2020,Arkhangai,208
2020,Bayan-Ulgii,255
2020,Bayankhongor,203
2020,Bulgan,147
2020,Darkhan-Uul,306
2020,Dornod,197
2020,Dornogovi,272
2020,Dundgovi,161
2020,Govi-Altai,205
2020,Govisumber,57
2020,Khentii,207
2020,Khovd,285
2020,Khuvsgul,262
2020,Orkhon,354
2020,Selenge,231
2020,Sukhbaatar,164
2020,Tuv,243
2020,Ulaanbaatar,7762
2020,Umnugovi,235
2020,Uvs,197
2020,Uvurkhangai,296
2020,Zavkhan,184
2021,Arkhangai,203
2021,Bayan-Ulgii,267
2021,Bayankhongor,194
2021,Bulgan,137
2021,Darkhan-Uul,308
2021,Dornod,202
2021,Dornogovi,267
2021,Dundgovi,150
2021,Govi-Altai,206
2021,Govisumber,72
2021,Khentii,209
2021,Khovd,274
2021,Khuvsgul,289
2021,Orkhon,390
2021,Selenge,232
2021,Sukhbaatar,159
2021,Tuv,237
2021,Ulaanbaatar,8239
2021,Umnugovi,246
2021,Uvs,210
2021,Uvurkhangai,293
2021,Zavkhan,186
2022,Arkhangai,207
2022,Bayan-Ulgii,287
2022,Bayankhongor,211
2022,Bulgan,114
2022,Darkhan-Uul,326
2022,Dornod,205
2022,Dornogovi,259
2022,Dundgovi,141
2022,Govi-Altai,211
2022,Govisumber,68
2022,Khentii,211
2022,Khovd,304
2022,Khuvsgul,295
2022,Orkhon,440
2022,Selenge,253
2022,Sukhbaatar,158
2022,Tuv,231
2022,Ulaanbaatar,9112
2022,Umnugovi,244
2022,Uvs,221
2022,Uvurkhangai,305
2022,Zavkhan,180
2023,Arkhangai,215
2023,Bayan-Ulgii,313
2023,Bayankhongor,227
2023,Bulgan,128
2023,Darkhan-Uul,352
2023,Dornod,227
2023,Dornogovi,270
2023,Dundgovi,148
2023,Govi-Altai,215
2023,Govisumber,71
2023,Khentii,215
2023,Khovd,322
2023,Khuvsgul,286
2023,Orkhon,452
2023,Selenge,265
2023,Sukhbaatar,153
2023,Tuv,238
2023,Ulaanbaatar,9856
2023,Umnugovi,256
2023,Uvs,237
2023,Uvurkhangai,335
2023,Zavkhan,197
2024,Arkhangai,232
2024,Bayan-Ulgii,332
2024,Bayankhongor,233
2024,Bulgan,124
2024,Darkhan-Uul,374
2024,Dornod,230
2024,Dornogovi,289
2024,Dundgovi,160
2024,Govi-Altai,216
2024,Govisumber,70
2024,Khentii,209
2024,Khovd,339
2024,Khuvsgul,313
2024,Orkhon,474
2024,Selenge,269
2024,Sukhbaatar,162
2024,Tuv,259
2024,Ulaanbaatar,10624
2024,Umnugovi,273
2024,Uvs,238
2024,Uvurkhangai,361
2024,Zavkhan,192
2025,Arkhangai,242
2025,Bayan-Ulgii,321
2025,Bayankhongor,252
2025,Bulgan,130
2025,Darkhan-Uul,386
2025,Dornod,224
2025,Dornogovi,270
2025,Dundgovi,165
2025,Govi-Altai,209
2025,Govisumber,75
2025,Khentii,212
2025,Khovd,360
2025,Khuvsgul,333
2025,Orkhon,479
2025,Selenge,280
2025,Sukhbaatar,166
2025,Tuv,257
2025,Ulaanbaatar,10639
2025,Umnugovi,295
2025,Uvs,250
2025,Uvurkhangai,341
2025,Zavkhan,207
