Indicator,Region,Month,value
Hay bale,Bayan-Ulgii,2024-06,11500.0
Hay bale,Bayan-Ulgii,2024-05,12500.0
Hay bale,Bayan-Ulgii,2024-04,15000.0
Hay bale,Bayan-Ulgii,2024-03,17500.0
Hay bale,Bayan-Ulgii,2024-02,19500.0
Hay bale,Bayan-Ulgii,2024-01,17500.0
Hay bale,Bayan-Ulgii,2023-12,18500.0
Hay bale,Bayan-Ulgii,2023-11,18500.0
Hay bale,Bayan-Ulgii,2023-10,17333.0
Hay bale,Bayan-Ulgii,2023-09,19000.0
Hay bale,Bayan-Ulgii,2023-08,21333.0
Hay bale,Bayan-Ulgii,2023-07,15000.0
Hay bale,Bayan-Ulgii,2023-06,32500.0
Hay bale,Bayan-Ulgii,2023-05,40000.0
Hay bale,Bayan-Ulgii,2023-04,34750.0
Hay bale,Bayan-Ulgii,2023-03,19167.0
Hay bale,Bayan-Ulgii,2023-02,19900.0
Hay bale,Bayan-Ulgii,2023-01,17000.0
Hay bale,Bayan-Ulgii,2022-12,17000.0
Hay bale,Bayan-Ulgii,2022-11,15500.0
Hay bale,Bayan-Ulgii,2022-10,13800.0
Hay bale,Bayan-Ulgii,2022-09,15000.0
Hay bale,Bayan-Ulgii,2022-08,14333.0
Hay bale,Bayan-Ulgii,2022-07,14167.0
Hay bale,Bayan-Ulgii,2022-06,13875.0
Hay bale,Bayan-Ulgii,2022-05,9667.0
Hay bale,Bayan-Ulgii,2022-04,13286.0
Hay bale,Bayan-Ulgii,2022-03,10600.0
Hay bale,Bayan-Ulgii,2022-02,10000.0
Hay bale,Bayan-Ulgii,2022-01,10900.0
Hay bale,Bayan-Ulgii,2021-12,10900.0
Hay bale,Bayan-Ulgii,2021-11,11000.0
Hay bale,Bayan-Ulgii,2021-10,11500.0
Hay bale,Bayan-Ulgii,2021-09,11333.0
Hay bale,Bayan-Ulgii,2021-08,14000.0
Hay bale,Bayan-Ulgii,2021-07,14000.0
Hay bale,Bayan-Ulgii,2021-06,14000.0
Hay bale,Bayan-Ulgii,2021-05,14000.0
Hay bale,Bayan-Ulgii,2021-04,16000.0
Hay bale,Bayan-Ulgii,2021-03,13500.0
Hay bale,Bayan-Ulgii,2021-02,13000.0
Hay bale,Bayan-Ulgii,2021-01,12000.0
Hay bale,Bayan-Ulgii,2020-12,14000.0
Hay bale,Bayan-Ulgii,2020-11,12000.0
Hay bale,Bayan-Ulgii,2020-10,
Hay bale,Bayan-Ulgii,2020-09,
Hay bale,Bayan-Ulgii,2020-08,
Hay bale,Bayan-Ulgii,2020-07,6000.0
Hay bale,Bayan-Ulgii,2020-06,4500.0
Hay bale,Bayan-Ulgii,2020-05,4500.0
Hay bale,Bayan-Ulgii,2020-04,5625.0
Hay bale,Bayan-Ulgii,2020-03,5750.0
Hay bale,Bayan-Ulgii,2020-02,6000.0
Hay bale,Bayan-Ulgii,2020-01,5900.0
Hay bale,Bayan-Ulgii,2019-12,6167.0
Hay bale,Bayan-Ulgii,2019-11,6500.0
Hay bale,Bayan-Ulgii,2019-10,6000.0
Hay bale,Bayan-Ulgii,2019-09,6000.0
Hay bale,Bayan-Ulgii,2019-08,
Hay bale,Bayan-Ulgii,2019-07,7150.0
Hay bale,Bayan-Ulgii,2019-06,7150.0
Hay bale,Bayan-Ulgii,2019-05,7000.0
Hay bale,Bayan-Ulgii,2019-04,6800.0
Hay bale,Bayan-Ulgii,2019-03,6800.0
Hay bale,Bayan-Ulgii,2019-02,6700.0
Hay bale,Bayan-Ulgii,2019-01,6000.0
Hay bale,Bayan-Ulgii,2018-12,5300.0
Hay bale,Govi-Altai,2025-12,20000.0
Hay bale,Govi-Altai,2025-11,18917.0
Hay bale,Govi-Altai,2025-10,
Hay bale,Govi-Altai,2025-09,19333.0
Hay bale,Govi-Altai,2025-08,
Hay bale,Govi-Altai,2025-07,
Hay bale,Govi-Altai,2025-06,13000.0
Hay bale,Govi-Altai,2025-05,11000.0
Hay bale,Govi-Altai,2025-04,18800.0
Hay bale,Govi-Altai,2025-03,14000.0
Hay bale,Govi-Altai,2025-02,16000.0
Hay bale,Govi-Altai,2025-01,18200.0
Hay bale,Govi-Altai,2024-12,19643.0
Hay bale,Govi-Altai,2024-11,19900.0
Hay bale,Govi-Altai,2024-10,18250.0
Hay bale,Govi-Altai,2024-09,15500.0
Hay bale,Govi-Altai,2024-08,
Hay bale,Govi-Altai,2024-07,
Hay bale,Govi-Altai,2024-06,20000.0
Hay bale,Govi-Altai,2024-05,20000.0
Hay bale,Govi-Altai,2024-04,18333.0
Hay bale,Govi-Altai,2024-03,20000.0
Hay bale,Govi-Altai,2024-02,19643.0
Hay bale,Govi-Altai,2024-01,18071.0
Hay bale,Govi-Altai,2023-12,20357.0
Hay bale,Govi-Altai,2023-11,18357.0
Hay bale,Govi-Altai,2023-10,18000.0
Hay bale,Govi-Altai,2023-09,16500.0
Hay bale,Govi-Altai,2023-08,19333.0
Hay bale,Govi-Altai,2023-07,
Hay bale,Govi-Altai,2023-06,22000.0
Hay bale,Govi-Altai,2023-05,24400.0
Hay bale,Govi-Altai,2023-04,27167.0
Hay bale,Govi-Altai,2023-03,21375.0
Hay bale,Govi-Altai,2023-02,18429.0
Hay bale,Govi-Altai,2023-01,18900.0
Hay bale,Govi-Altai,2022-12,18000.0
Hay bale,Govi-Altai,2022-11,16900.0
Hay bale,Govi-Altai,2022-10,16500.0
Hay bale,Govi-Altai,2022-09,14200.0
Hay bale,Govi-Altai,2022-08,15500.0
Hay bale,Govi-Altai,2022-07,15500.0
Hay bale,Govi-Altai,2022-06,15500.0
Hay bale,Govi-Altai,2022-05,13667.0
Hay bale,Govi-Altai,2022-04,12250.0
Hay bale,Govi-Altai,2022-03,12571.0
Hay bale,Govi-Altai,2022-02,11111.0
Hay bale,Govi-Altai,2022-01,11600.0
Hay bale,Govi-Altai,2021-12,12600.0
Hay bale,Govi-Altai,2021-11,12667.0
Hay bale,Govi-Altai,2021-10,13200.0
Hay bale,Govi-Altai,2021-09,11750.0
Hay bale,Govi-Altai,2021-08,12500.0
Hay bale,Govi-Altai,2021-07,12000.0
Hay bale,Govi-Altai,2021-06,12667.0
Hay bale,Govi-Altai,2021-05,13667.0
Hay bale,Govi-Altai,2021-04,12750.0
Hay bale,Govi-Altai,2021-03,12688.0
Hay bale,Govi-Altai,2021-02,13000.0
Hay bale,Govi-Altai,2021-01,14400.0
Hay bale,Govi-Altai,2020-12,12750.0
Hay bale,Govi-Altai,2020-11,13786.0
Hay bale,Govi-Altai,2020-10,13667.0
Hay bale,Govi-Altai,2020-09,12500.0
Hay bale,Govi-Altai,2020-08,7000.0
Hay bale,Govi-Altai,2020-07,10000.0
Hay bale,Govi-Altai,2020-06,11250.0
Hay bale,Govi-Altai,2020-05,11500.0
Hay bale,Govi-Altai,2020-04,10167.0
Hay bale,Govi-Altai,2020-03,9813.0
Hay bale,Govi-Altai,2020-02,9313.0
Hay bale,Govi-Altai,2020-01,9250.0
Hay bale,Govi-Altai,2019-12,
Hay bale,Govi-Altai,2019-11,10000.0
Hay bale,Govi-Altai,2019-10,
Hay bale,Govi-Altai,2019-09,
Hay bale,Govi-Altai,2019-08,
Hay bale,Govi-Altai,2019-07,
Hay bale,Govi-Altai,2019-06,
Hay bale,Govi-Altai,2019-05,
Hay bale,Govi-Altai,2019-04,
Hay bale,Govi-Altai,2019-03,
Hay bale,Govi-Altai,2019-02,
Hay bale,Govi-Altai,2019-01,
Hay bale,Govi-Altai,2018-12,12000.0
Hay bale,Zavkhan,2025-12,19000.0
Hay bale,Zavkhan,2025-11,19341.0
Hay bale,Zavkhan,2025-10,
Hay bale,Zavkhan,2025-09,17438.0
Hay bale,Zavkhan,2025-08,17500.0
Hay bale,Zavkhan,2025-07,12500.0
Hay bale,Zavkhan,2025-06,12500.0
Hay bale,Zavkhan,2025-05,12500.0
Hay bale,Zavkhan,2025-04,18977.0
Hay bale,Zavkhan,2025-03,14957.0
Hay bale,Zavkhan,2025-02,15958.0
Hay bale,Zavkhan,2025-01,17417.0
Hay bale,Zavkhan,2024-12,18500.0
Hay bale,Zavkhan,2024-11,17636.0
Hay bale,Zavkhan,2024-10,17375.0
Hay bale,Zavkhan,2024-09,16625.0
Hay bale,Zavkhan,2024-08,13667.0
Hay bale,Zavkhan,2024-07,
Hay bale,Zavkhan,2024-06,
Hay bale,Zavkhan,2024-05,20000.0
Hay bale,Zavkhan,2024-04,21000.0
Hay bale,Zavkhan,2024-03,24688.0
Hay bale,Zavkhan,2024-02,23929.0
Hay bale,Zavkhan,2024-01,21476.0
Hay bale,Zavkhan,2023-12,19368.0
Hay bale,Zavkhan,2023-11,18143.0
Hay bale,Zavkhan,2023-10,15500.0
Hay bale,Zavkhan,2023-09,14563.0
Hay bale,Zavkhan,2023-08,18000.0
Hay bale,Zavkhan,2023-07,15000.0
Hay bale,Zavkhan,2023-06,
Hay bale,Zavkhan,2023-05,21667.0
Hay bale,Zavkhan,2023-04,20833.0
Hay bale,Zavkhan,2023-03,20267.0
Hay bale,Zavkhan,2023-02,21000.0
Hay bale,Zavkhan,2023-01,18900.0
Hay bale,Zavkhan,2022-12,14900.0
Hay bale,Zavkhan,2022-11,14900.0
Hay bale,Zavkhan,2022-10,14925.0
Hay bale,Zavkhan,2022-09,14636.0
Hay bale,Zavkhan,2022-08,11667.0
Hay bale,Zavkhan,2022-07,
Hay bale,Zavkhan,2022-06,6500.0
Hay bale,Zavkhan,2022-05,7667.0
Hay bale,Zavkhan,2022-04,6250.0
Hay bale,Zavkhan,2022-03,7111.0
Hay bale,Zavkhan,2022-02,8625.0
Hay bale,Zavkhan,2022-01,8900.0
Hay bale,Zavkhan,2021-12,8714.0
Hay bale,Zavkhan,2021-11,8145.0
Hay bale,Zavkhan,2021-10,8333.0
Hay bale,Zavkhan,2021-09,8667.0
Hay bale,Zavkhan,2021-08,
Hay bale,Zavkhan,2021-07,
Hay bale,Zavkhan,2021-06,
Hay bale,Zavkhan,2021-05,12125.0
Hay bale,Zavkhan,2021-04,11400.0
Hay bale,Zavkhan,2021-03,10950.0
Hay bale,Zavkhan,2021-02,12000.0
Hay bale,Zavkhan,2021-01,12236.0
Hay bale,Zavkhan,2020-12,14143.0
Hay bale,Zavkhan,2020-11,12667.0
Hay bale,Zavkhan,2020-10,10708.0
Hay bale,Zavkhan,2020-09,12000.0
Hay bale,Zavkhan,2020-08,
Hay bale,Zavkhan,2020-07,8500.0
Hay bale,Zavkhan,2020-06,
Hay bale,Zavkhan,2020-05,6500.0
Hay bale,Zavkhan,2020-04,7625.0
Hay bale,Zavkhan,2020-03,8200.0
Hay bale,Zavkhan,2020-02,7250.0
Hay bale,Zavkhan,2020-01,7000.0
Hay bale,Zavkhan,2019-12,8625.0
Hay bale,Zavkhan,2019-11,7750.0
Hay bale,Zavkhan,2019-10,6500.0
Hay bale,Zavkhan,2019-09,5000.0
Hay bale,Zavkhan,2019-08,
Hay bale,Zavkhan,2019-07,
Hay bale,Zavkhan,2019-06,
Hay bale,Zavkhan,2019-05,3500.0
Hay bale,Zavkhan,2019-04,5250.0
Hay bale,Zavkhan,2019-03,6700.0
Hay bale,Zavkhan,2019-02,7400.0
Hay bale,Zavkhan,2019-01,6700.0
Hay bale,Zavkhan,2018-12,7000.0
Hay bale,Uvs,2025-12,20000.0
Hay bale,Uvs,2025-11,20000.0
Hay bale,Uvs,2025-10,
Hay bale,Uvs,2025-09,18375.0
Hay bale,Uvs,2025-08,20333.0
Hay bale,Uvs,2025-07,15000.0
Hay bale,Uvs,2025-06,15000.0
Hay bale,Uvs,2025-05,15000.0
Hay bale,Uvs,2025-04,19111.0
Hay bale,Uvs,2025-03,10875.0
Hay bale,Uvs,2025-02,15000.0
Hay bale,Uvs,2025-01,15200.0
Hay bale,Uvs,2024-12,14000.0
Hay bale,Uvs,2024-11,16125.0
Hay bale,Uvs,2024-10,16583.0
Hay bale,Uvs,2024-09,15000.0
Hay bale,Uvs,2024-08,14400.0
Hay bale,Uvs,2024-07,
Hay bale,Uvs,2024-06,
Hay bale,Uvs,2024-05,
Hay bale,Uvs,2024-04,18333.0
Hay bale,Uvs,2024-03,25000.0
Hay bale,Uvs,2024-02,
Hay bale,Uvs,2024-01,19278.0
Hay bale,Uvs,2023-12,19714.0
Hay bale,Uvs,2023-11,18600.0
Hay bale,Uvs,2023-10,14143.0
Hay bale,Uvs,2023-09,14000.0
Hay bale,Uvs,2023-08,17667.0
Hay bale,Uvs,2023-07,20000.0
Hay bale,Uvs,2023-06,
Hay bale,Uvs,2023-05,20000.0
Hay bale,Uvs,2023-04,21500.0
Hay bale,Uvs,2023-03,21500.0
Hay bale,Uvs,2023-02,18667.0
Hay bale,Uvs,2023-01,19000.0
Hay bale,Uvs,2022-12,15000.0
Hay bale,Uvs,2022-11,16600.0
Hay bale,Uvs,2022-10,14000.0
Hay bale,Uvs,2022-09,14571.0
Hay bale,Uvs,2022-08,11250.0
Hay bale,Uvs,2022-07,
Hay bale,Uvs,2022-06,
Hay bale,Uvs,2022-05,
Hay bale,Uvs,2022-04,6250.0
Hay bale,Uvs,2022-03,6188.0
Hay bale,Uvs,2022-02,7375.0
Hay bale,Uvs,2022-01,7000.0
Hay bale,Uvs,2021-12,8333.0
Hay bale,Uvs,2021-11,6833.0
Hay bale,Uvs,2021-10,7500.0
Hay bale,Uvs,2021-09,7500.0
Hay bale,Uvs,2021-08,6750.0
Hay bale,Uvs,2021-07,
Hay bale,Uvs,2021-06,
Hay bale,Uvs,2021-05,7250.0
Hay bale,Uvs,2021-04,5833.0
Hay bale,Uvs,2021-03,6917.0
Hay bale,Uvs,2021-02,9625.0
Hay bale,Uvs,2021-01,6125.0
Hay bale,Uvs,2020-12,7500.0
Hay bale,Uvs,2020-11,7333.0
Hay bale,Uvs,2020-10,8200.0
Hay bale,Uvs,2020-09,6667.0
Hay bale,Uvs,2020-08,
Hay bale,Uvs,2020-07,
Hay bale,Uvs,2020-06,
Hay bale,Uvs,2020-05,6000.0
Hay bale,Uvs,2020-04,6500.0
Hay bale,Uvs,2020-03,6389.0
Hay bale,Uvs,2020-02,5750.0
Hay bale,Uvs,2020-01,6000.0
Hay bale,Uvs,2019-12,5667.0
Hay bale,Uvs,2019-11,5600.0
Hay bale,Uvs,2019-10,5600.0
Hay bale,Uvs,2019-09,5250.0
Hay bale,Uvs,2019-08,5500.0
Hay bale,Uvs,2019-07,
Hay bale,Uvs,2019-06,
Hay bale,Uvs,2019-05,
Hay bale,Uvs,2019-04,6700.0
Hay bale,Uvs,2019-03,6100.0
Hay bale,Uvs,2019-02,8500.0
Hay bale,Uvs,2019-01,5600.0
Hay bale,Uvs,2018-12,6400.0
Hay bale,Khovd,2025-12,15000.0
Hay bale,Khovd,2025-11,14800.0
Hay bale,Khovd,2025-10,
Hay bale,Khovd,2025-09,14667.0
Hay bale,Khovd,2025-08,15000.0
Hay bale,Khovd,2025-07,
Hay bale,Khovd,2025-06,
Hay bale,Khovd,2025-05,13000.0
Hay bale,Khovd,2025-04,14600.0
Hay bale,Khovd,2025-03,8000.0
Hay bale,Khovd,2025-02,
Hay bale,Khovd,2025-01,
Hay bale,Khovd,2024-12,
Hay bale,Khovd,2024-11,
Hay bale,Khovd,2024-10,
Hay bale,Khovd,2024-09,
Hay bale,Khovd,2024-08,
Hay bale,Khovd,2024-07,
Hay bale,Khovd,2024-06,
Hay bale,Khovd,2024-05,
Hay bale,Khovd,2024-04,
Hay bale,Khovd,2024-03,
Hay bale,Khovd,2024-02,
Hay bale,Khovd,2024-01,
Hay bale,Khovd,2023-12,
Hay bale,Khovd,2023-11,
Hay bale,Khovd,2023-10,15000.0
Hay bale,Khovd,2023-09,
Hay bale,Khovd,2023-08,
Hay bale,Khovd,2023-07,
Hay bale,Khovd,2023-06,
Hay bale,Khovd,2023-05,
Hay bale,Khovd,2023-04,28000.0
Hay bale,Khovd,2023-03,19000.0
Hay bale,Khovd,2023-02,18000.0
Hay bale,Khovd,2023-01,18000.0
Hay bale,Khovd,2022-12,
Hay bale,Khovd,2022-11,
Hay bale,Khovd,2022-10,
Hay bale,Khovd,2022-09,
Hay bale,Khovd,2022-08,
Hay bale,Khovd,2022-07,
Hay bale,Khovd,2022-06,
Hay bale,Khovd,2022-05,6200.0
Hay bale,Khovd,2022-04,7667.0
Hay bale,Khovd,2022-03,7500.0
Hay bale,Khovd,2022-02,7500.0
Hay bale,Khovd,2022-01,6000.0
Hay bale,Khovd,2021-12,
Hay bale,Khovd,2021-11,
Hay bale,Khovd,2021-10,7000.0
Hay bale,Khovd,2021-09,5000.0
Hay bale,Khovd,2021-08,
Hay bale,Khovd,2021-07,
Hay bale,Khovd,2021-06,
Hay bale,Khovd,2021-05,8000.0
Hay bale,Khovd,2021-04,11000.0
Hay bale,Khovd,2021-03,10000.0
Hay bale,Khovd,2021-02,
Hay bale,Khovd,2021-01,10000.0
Hay bale,Khovd,2020-12,
Hay bale,Khovd,2020-11,8500.0
Hay bale,Khovd,2020-10,12000.0
Hay bale,Khovd,2020-09,8000.0
Hay bale,Khovd,2020-08,
Hay bale,Khovd,2020-07,
Hay bale,Khovd,2020-06,
Hay bale,Khovd,2020-05,6000.0
Hay bale,Khovd,2020-04,5083.0
Hay bale,Khovd,2020-03,5400.0
Hay bale,Khovd,2020-02,5955.0
Hay bale,Khovd,2020-01,7150.0
Hay bale,Khovd,2019-12,9864.0
Hay bale,Khovd,2019-11,6000.0
Hay bale,Khovd,2019-10,4800.0
Hay bale,Khovd,2019-09,5000.0
Hay bale,Khovd,2019-08,
Hay bale,Khovd,2019-07,
Hay bale,Khovd,2019-06,7250.0
Hay bale,Khovd,2019-05,8200.0
Hay bale,Khovd,2019-04,7900.0
Hay bale,Khovd,2019-03,9800.0
Hay bale,Khovd,2019-02,9500.0
Hay bale,Khovd,2019-01,8900.0
Hay bale,Khovd,2018-12,7000.0
Hay bale,Khangai region,2025-12,
Hay bale,Khangai region,2025-11,
Hay bale,Khangai region,2025-10,
Hay bale,Khangai region,2025-09,
Hay bale,Khangai region,2025-08,
Hay bale,Khangai region,2025-07,
Hay bale,Khangai region,2025-06,
Hay bale,Khangai region,2025-05,
Hay bale,Khangai region,2025-04,
Hay bale,Khangai region,2025-03,
Hay bale,Khangai region,2025-02,
Hay bale,Khangai region,2025-01,
Hay bale,Khangai region,2024-12,
Hay bale,Khangai region,2024-11,
Hay bale,Khangai region,2024-10,
Hay bale,Khangai region,2024-09,
Hay bale,Khangai region,2024-08,
Hay bale,Khangai region,2024-07,
Hay bale,Khangai region,2024-06,
Hay bale,Khangai region,2024-05,
Hay bale,Khangai region,2024-04,
Hay bale,Khangai region,2024-03,
Hay bale,Khangai region,2024-02,
Hay bale,Khangai region,2024-01,
Hay bale,Khangai region,2023-12,
Hay bale,Khangai region,2023-11,
Hay bale,Khangai region,2023-10,
Hay bale,Khangai region,2023-09,
Hay bale,Khangai region,2023-08,
Hay bale,Khangai region,2023-07,
Hay bale,Khangai region,2023-06,
Hay bale,Khangai region,2023-05,
Hay bale,Khangai region,2023-04,
Hay bale,Khangai region,2023-03,
Hay bale,Khangai region,2023-02,
Hay bale,Khangai region,2023-01,
Hay bale,Khangai region,2022-12,
Hay bale,Khangai region,2022-11,
Hay bale,Khangai region,2022-10,
Hay bale,Khangai region,2022-09,
Hay bale,Khangai region,2022-08,
Hay bale,Khangai region,2022-07,
Hay bale,Khangai region,2022-06,
Hay bale,Khangai region,2022-05,
Hay bale,Khangai region,2022-04,
Hay bale,Khangai region,2022-03,
Hay bale,Khangai region,2022-02,
Hay bale,Khangai region,2022-01,
Hay bale,Khangai region,2021-12,
Hay bale,Khangai region,2021-11,
Hay bale,Khangai region,2021-10,
Hay bale,Khangai region,2021-09,
Hay bale,Khangai region,2021-08,
Hay bale,Khangai region,2021-07,
Hay bale,Khangai region,2021-06,
Hay bale,Khangai region,2021-05,
Hay bale,Khangai region,2021-04,
Hay bale,Khangai region,2021-03,
Hay bale,Khangai region,2021-02,
Hay bale,Khangai region,2021-01,
Hay bale,Khangai region,2020-12,
Hay bale,Khangai region,2020-11,
Hay bale,Khangai region,2020-10,
Hay bale,Khangai region,2020-09,
Hay bale,Khangai region,2020-08,
Hay bale,Khangai region,2020-07,
Hay bale,Khangai region,2020-06,
Hay bale,Khangai region,2020-05,
Hay bale,Khangai region,2020-04,
Hay bale,Khangai region,2020-03,
Hay bale,Khangai region,2020-02,
Hay bale,Khangai region,2020-01,
Hay bale,Khangai region,2019-12,
Hay bale,Khangai region,2019-11,
Hay bale,Khangai region,2019-10,
Hay bale,Khangai region,2019-09,
Hay bale,Khangai region,2019-08,
Hay bale,Khangai region,2019-07,
Hay bale,Khangai region,2019-06,
Hay bale,Khangai region,2019-05,
Hay bale,Khangai region,2019-04,
Hay bale,Khangai region,2019-03,
Hay bale,Khangai region,2019-02,
Hay bale,Khangai region,2019-01,
Hay bale,Khangai region,2018-12,
Hay bale,Arkhangai,2025-12,
Hay bale,Arkhangai,2025-11,19000.0
Hay bale,Arkhangai,2025-10,
Hay bale,Arkhangai,2025-09,18000.0
Hay bale,Arkhangai,2025-08,
Hay bale,Arkhangai,2025-07,
Hay bale,Arkhangai,2025-06,
Hay bale,Arkhangai,2025-05,10000.0
Hay bale,Arkhangai,2025-04,18000.0
Hay bale,Arkhangai,2025-03,
Hay bale,Arkhangai,2025-02,8000.0
Hay bale,Arkhangai,2025-01,14000.0
Hay bale,Arkhangai,2024-12,
Hay bale,Arkhangai,2024-11,15000.0
Hay bale,Arkhangai,2024-10,15333.0
Hay bale,Arkhangai,2024-09,13667.0
Hay bale,Arkhangai,2024-08,
Hay bale,Arkhangai,2024-07,
Hay bale,Arkhangai,2024-06,
Hay bale,Arkhangai,2024-05,
Hay bale,Arkhangai,2024-04,25000.0
Hay bale,Arkhangai,2024-03,23000.0
Hay bale,Arkhangai,2024-02,
Hay bale,Arkhangai,2024-01,17000.0
Hay bale,Arkhangai,2023-12,14000.0
Hay bale,Arkhangai,2023-11,
Hay bale,Arkhangai,2023-10,
Hay bale,Arkhangai,2023-09,
Hay bale,Arkhangai,2023-08,
Hay bale,Arkhangai,2023-07,18000.0
Hay bale,Arkhangai,2023-06,19000.0
Hay bale,Arkhangai,2023-05,25000.0
Hay bale,Arkhangai,2023-04,30000.0
Hay bale,Arkhangai,2023-03,22333.0
Hay bale,Arkhangai,2023-02,18500.0
Hay bale,Arkhangai,2023-01,16250.0
Hay bale,Arkhangai,2022-12,13000.0
Hay bale,Arkhangai,2022-11,13700.0
Hay bale,Arkhangai,2022-10,13500.0
Hay bale,Arkhangai,2022-09,
Hay bale,Arkhangai,2022-08,
Hay bale,Arkhangai,2022-07,
Hay bale,Arkhangai,2022-06,
Hay bale,Arkhangai,2022-05,
Hay bale,Arkhangai,2022-04,8500.0
Hay bale,Arkhangai,2022-03,7500.0
Hay bale,Arkhangai,2022-02,8500.0
Hay bale,Arkhangai,2022-01,10000.0
Hay bale,Arkhangai,2021-12,15000.0
Hay bale,Arkhangai,2021-11,13500.0
Hay bale,Arkhangai,2021-10,8833.0
Hay bale,Arkhangai,2021-09,13500.0
Hay bale,Arkhangai,2021-08,13500.0
Hay bale,Arkhangai,2021-07,11000.0
Hay bale,Arkhangai,2021-06,8000.0
Hay bale,Arkhangai,2021-05,15000.0
Hay bale,Arkhangai,2021-04,12500.0
Hay bale,Arkhangai,2021-03,10333.0
Hay bale,Arkhangai,2021-02,14800.0
Hay bale,Arkhangai,2021-01,14667.0
Hay bale,Arkhangai,2020-12,15000.0
Hay bale,Arkhangai,2020-11,13000.0
Hay bale,Arkhangai,2020-10,11900.0
Hay bale,Arkhangai,2020-09,13000.0
Hay bale,Arkhangai,2020-08,
Hay bale,Arkhangai,2020-07,
Hay bale,Arkhangai,2020-06,10000.0
Hay bale,Arkhangai,2020-05,13000.0
Hay bale,Arkhangai,2020-04,10667.0
Hay bale,Arkhangai,2020-03,11929.0
Hay bale,Arkhangai,2020-02,11167.0
Hay bale,Arkhangai,2020-01,10000.0
Hay bale,Arkhangai,2019-12,8500.0
