id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Барилга ашиглагчийн нэр,Нийт давхарын тоо,ZIP бүс,Дүүрэг,Хороо,Хаягийн бүс,Архитектур төлөвлөлтийн даалгаврын дугаар,"Барилга, байгууламжийн нэр",Үйлчилгээ албан конторын давхарын тоо /бусад/,Барилгын ажлыг эхлэх/үргэлжлүүлэх зөвшөөрлийн дугаар,Гудамж,Барилгыг барьсан байгууллага,Ашиглалтад орсон он,Улсын комиссын актын дугаар,Орон сууцны давхарын тоо,Батлагдсан блокийн тоо,Гүйцэтгэлийн зураг хийсэн он,Өндрийн зөрүү уналттай эсэх,Барилгын дугаар,Барилгын зураг хийсэн он,Ерөнхий төлөвлөгөө хийсэн он,Барилгыг барьсан он
96320,ТБА161221782400003,,Polygon,106.800343,47.908371,Загвар зураг,Б.Уранбилэг,3,16102,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-3 /16102/,,,,,,,,,,,,,,,,
96321,ТБА161221782400004,,Polygon,106.807685,47.908405,Загвар зураг,"""Саламандер"" ХХК",2,16101,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-2 /16101/,,,,,,,,,,,,,,,,
96322,ТБА161216684800001,,Polygon,106.792802,47.907389,Загвар зураг,Сургууль /өргөтгөл/,4,16102,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-3 /16102/,,,,БА-130/2020,,,,,,,,,,,,
96326,ТБА161242345600001,,Polygon,106.793562,47.905386,Загвар зураг,Нийслэлийн онцгой байдлын ерөнхий газар,2,16102,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-3 /16102/,,,,,,,,,,,,,,,,
96329,ТБА161242345600002,,Polygon,106.802741,47.903515,Загвар зураг,"Баянгол дүүргийн ЗДТГ ""Эл Жи Монгол"" ХХК",5,16101,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-2 /16101/,,,,,,,,,,,,,,,,
96330,ТБА161566518400000,"Үйлчилгээ, агуулах",Polygon,106.78693,47.898964,Загвар зураг,С.Жанчивдорж,3,16102,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-3 /16102/,ГБМЗХ2019/06-005,"Үйлчилгээ, агуулах",3,,Сонсголонгийн зам,,,,,,,,,,,
96331,ТБА161295222400001,,Polygon,106.810707,47.904956,Загвар зураг,Коксжсон шахмал түлшний үйлдвэр,1,16101,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-2 /16101/,,,,,,,,,,,,,,,,
96332,ТБА161368403200001,Зочид буудал,Polygon,106.786041,47.891873,Загвар зураг,"""Ариун мэлмий"" ХХК",9,16102,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-3 /16102/,2014/08-,Зочид буудал,,59/2014,,,,,,,,,,,,
96339,ТБА161373241600001,,Polygon,106.852907,47.903782,Загвар зураг,"""Уран барилга"" ХХК",1,16100,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-1 /16100/,,,,,,,,,,,,,,,,
96342,ТБА161462492800000,"Контор, үйлчилгээний барилга",Polygon,106.853727,47.904786,Загвар зураг,Коммод ХХК,12,16100,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-1 /16100/,2016/13-07,"Контор, үйлчилгээний барилга",,58/2017,,"""Бау стандарт""ХХК БУ11-1645/13",,,,,,,,,,
96344,ТБА161320883200000,,Polygon,106.862081,47.916924,Загвар зураг,Нийслэлийн Засаг даргын тамгын газар,2,16081,Баянгол,6-р хороо,10-р хороолол-2 /16081/,,,,,,,,,,,,,,,,
96345,ТБА161264464000001,360 мкв,Polygon,106.859553,47.916591,Загвар зураг,Номын сан /Сувилахуйн сургууль/,9,16081,Баянгол,6-р хороо,10-р хороолол-2 /16081/,,360 мкв,,,,,,,,,,,,,,
96346,ТБА161368230400000,"АЗ-ын хяналт, эрдэм шинжилгааний барилга",Polygon,106.850642,47.904664,Загвар зураг,Авто замын хяналт шинжилгээний төв,7,16100,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-1 /16100/,2014/08-,"АЗ-ын хяналт, эрдэм шинжилгааний барилга",,,,,,,,,,,,,,
96347,ТБА161368835200000,Агуулахын барилга,Polygon,106.855666,47.906451,Загвар зураг,Чулуун өргөө ХХК,2,16030,Баянгол,4-р хороо,Үйлдвэрийн төвийн бүс-3 /16030/,ГБМЗХ2020/22-004,Агуулахын барилга,,172/2020,,,,,,,,,,,,
96350,ТБА161264464000002,,Polygon,106.859156,47.915773,Загвар зураг,Номын сан /Сувилахуйн сургууль/,9,16081,Баянгол,6-р хороо,10-р хороолол-2 /16081/,,,,,,,,,,,,,,,,
96351,ТБА161264464000003,480 м2,Polygon,106.859402,47.915789,Загвар зураг,Номын сан /Сувилахуйн сургууль/,9,16081,Баянгол,6-р хороо,10-р хороолол-2 /16081/,,480 м2,,,,,,,,,,,,,,
96357,ТБА161089849600000,,Polygon,106.851071,47.91193,Загвар зураг,"""Ганцаг"" ХХК",6,16100,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-1 /16100/,,,,,,,,,,,,,,,,
96358,ТБА161264464000004,260 м2,Polygon,106.859648,47.915806,Загвар зураг,Номын сан /Сувилахуйн сургууль/,9,16081,Баянгол,6-р хороо,10-р хороолол-2 /16081/,,260 м2,,,,,,,,,,,,,,
96359,ТБА161438646400000,Үйлчилгээ оффис,Polygon,106.849058,47.911874,Загвар зураг,Лордот ХХК,15,16100,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-1 /16100/,2015/15,Үйлчилгээ оффис,,БАЗГ2023/192 | 098/2020,,"""Бүргэд констракшн"" ХХК, БУ11-844/14",,,,,,,,,,
96361,ТБА161327968000001,Цахилгааны дэд өртөө,Polygon,106.867022,47.911866,Загвар зураг,Цахилгааны 35 квт-ын дэд өртөө,1,16010,Баянгол,4-р хороо,Үйлдвэрийн төвийн бүс-1 /16010/,,Цахилгааны дэд өртөө,,,,,,,,,,,,,,
96366,ТБА161341446400007,168 мкв,Polygon,106.860212,47.916008,Загвар зураг,"""Сод топаз"" ХХК",6,16081,Баянгол,5-р хороо,10-р хороолол-2 /16081/,,168 мкв,,65/2013,,,,,,,,,,,,
96367,ТБА161497571200001,"Сургалт, үйлчилгээний барилга",Polygon,106.859037,47.915398,Загвар зураг,Д.Баяраа,5,16081,Баянгол,5-р хороо,10-р хороолол-2 /16081/,МЗХ2018/29-05,"Сургалт, үйлчилгээний барилга",3,276/2019,,,,,,,,,,,,
96372,ТБА16-536466240001,,Polygon,106.868078,47.914402,Загвар зураг,,1,16080,Баянгол,5-р хороо,10-р хороолол-1 /16080/,,,,,,,,,,,,,,,,
96373,ТБА161373241600002,Сургалт судалгааны виварын барилга,Polygon,106.859025,47.916541,Загвар зураг,АУДС-ийн харьяа Анагаах ухааны коллеж,3,16081,Баянгол,6-р хороо,10-р хороолол-2 /16081/,ТЗХ-13,Сургалт судалгааны виварын барилга,,,,,2016,2016/561,,,,,,,,
96374,ТБА161216684800002,,Polygon,106.842247,47.905793,Загвар зураг,Агаарын бохирдлыг хянах автомат харуулын байр,1,16100,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-1 /16100/,,,,,,,,,,,,,,,,
96375,ТБА161368403200002,"Эмч, ажилчдын орон сууц",Polygon,106.859643,47.914816,Загвар зураг,"""Амин-Эрдэнэ"" ХХК",10,16081,Баянгол,5-р хороо,10-р хороолол-2 /16081/,ТЗХ-08,"Эмч, ажилчдын орон сууц",,"199/2022,812/2022",,,,,,,,,,,,
96377,ТБА161337126400002,208 мкв,Polygon,106.855373,47.913895,Загвар зураг,Б.Батболд,1,16081,Баянгол,5-р хороо,10-р хороолол-2 /16081/,,208 мкв,,,,,,,,,,,,,,
96379,ТБА161185321600002,,Polygon,106.829242,47.910433,Загвар зураг,"""Баянгол тохижилт"" ХХК",5,16101,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-2 /16101/,,,,,,,,,,,,,,,,
96382,ТБА161380499200002,,Polygon,106.828148,47.9073,Загвар зураг,"""Оргил мөнх трейд"" ХХК",4,16101,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-2 /16101/,,,,,,,,,,,,,,,,
96386,ТБА161193097600001,,Polygon,106.834928,47.902019,Загвар зураг,"""Санхүүгийн тооцоолох"" ХХК",1,16100,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-1 /16100/,,,,,,,,,,,,,,,,
96387,ТБА161365120000001,"Үйлдвэр, контор, агуулахын барилга",Polygon,106.844026,47.901098,Загвар зураг,"""Дамдинсүрэнгийн Батжаргал"" ХХК",3,16100,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-1 /16100/,,"Үйлдвэр, контор, агуулахын барилга",,396/2014,,"""И Си Си"" ХХК БУ18-1727/14",,,,,,,,,,
96390,ТБА161401235200000,Орон сууц,Polygon,106.855468,47.917673,Загвар зураг,Зэт эм ти зэт жи ХХК,16,16094,Баянгол,6-р хороо,3-р хороолол-5 /16094/,ГБМЗХ2020/17-003,Орон сууц,1,,,,,,,,,,,,,
96393,ТБА161249603200001,Үйлчилгээтэй амины сууц,Polygon,106.857105,47.917935,Загвар зураг,"Г.Золбоо, Ж.Гөлгөө",2,16094,Баянгол,6-р хороо,3-р хороолол-5 /16094/,,Үйлчилгээтэй амины сууц,,,,,,,,,,,,,,
96395,ТБА161503273600000,Үйлчилгээ,Polygon,106.85741,47.918896,Загвар зураг,Б.Давааням,9,16094,Баянгол,7-р хороо,3-р хороолол-5 /16094/,МЗХ2017/17-17,Үйлчилгээ,9,БАЗГ2024/0143 | 099/2019,,,,,,,,,,,,
96401,ТБА161285804800001,135 мкв,Polygon,106.861414,47.919077,Загвар зураг,Улаанбаатар дулааны сүлжээ ХК,1,16094,Баянгол,7-р хороо,3-р хороолол-5 /16094/,,135 мкв,,,,,,,,,,,,,,
96402,ТБА161370217600001,АОС,Polygon,106.857543,47.917136,Загвар зураг,"Б.Ганбаатар, Б.Төмөрбаатар",3,16081,Баянгол,6-р хороо,10-р хороолол-2 /16081/,ТЗХ-10,АОС,,173/2014,,"""Строй Монтаж"" ХХК БУ11-629/11",,,,,,,,,,
96403,ТБА161490572800000,Үйлчилгээтэй орон сууц,Polygon,106.866263,47.918917,Загвар зураг,Ирмүүн булаг ХХК,15,16092,Баянгол,8-р хороо,3-р хороолол-3 /16092/,МЗХ2017/05-22,Үйлчилгээтэй орон сууц,,БАЗГ2025/0537,,,,,,,,,,,,
96406,ТБА161581033600000,Түрээсийн орон сууц,Polygon,106.860812,47.920018,Загвар зураг,,9,16094,Баянгол,7-р хороо,3-р хороолол-5 /16094/,ГБМЗХ2020/04-020,Түрээсийн орон сууц,,,,,,,,,,,,,,
96410,ТБА161295222400002,Хүлээн авахын өргөтгөл,Polygon,106.857107,47.919876,Загвар зураг,Гэмтэл согогийн үндэсний төв,4,16094,Баянгол,7-р хороо,3-р хороолол-5 /16094/,,Хүлээн авахын өргөтгөл,,,,,,,,,,,,,,
96414,ТБА161356998400003,,Polygon,106.862641,47.92259,Загвар зураг,П.Болортоль,1,16093,Баянгол,9-р хороо,3-р хороолол-4 /16093/,,,,,,,,,,,,,,,,
96415,ТБА161356998400004,,Polygon,106.866348,47.922711,Загвар зураг,Баянгол дүүргийн цагдаагийн хэлтэс,2,16091,Баянгол,13-р хороо,3-р хороолол-2 /16091/,,,,,,,,,,,,,,,,
96416,ТБА161306281600001,,Polygon,106.865142,47.92932,Загвар зураг,Халуун усны барилга,1,16070,Баянгол,10-р хороо,Наран-БГД /16070/,,,,,,,,,,,,,,,,
96417,ТБА161281398400003,,Polygon,106.869702,47.93106,Загвар зураг,Халуун усны барилга,1,16070,Баянгол,10-р хороо,Наран-БГД /16070/,,,,,,,,,,,,,,,,
96418,ТБА161302134400002,,Polygon,106.869639,47.935793,Загвар зураг,"Хороо, өрхийн эмнэлэг, цагдаагийн нэгдсэн барилга",2,16070,Баянгол,22-р хороо,Наран-БГД /16070/,,,,,,,,,,,,,,,,
96419,ТБА161302134400003,,Polygon,106.880086,47.935163,Загвар зураг,"Хороо, өрхийн эмнэлэг, цагдаагийн нэгдсэн барилга",2,16070,Баянгол,23-р хороо,Наран-БГД /16070/,,,,,,,,,,,,,,,,
96423,ТБА161416528000000,"Худалдаа, үйлчилгээний барилга",Polygon,106.878905,47.914163,Загвар зураг,Алтан жинлүүр ХХК,5,16052,Баянгол,4-р хороо,2-р хороолол-3 /16052/,2014/21-07,"Худалдаа, үйлчилгээний барилга",,139/2016,Энх тайвaны өргөн чөлөө,"""Аминхүү констракшн"" ХХК, БУ19-1373/14",2017,2017/37,,,,,,,,
96426,ТБА161334707200002,,Polygon,106.881825,47.911004,Загвар зураг,Я.Сугар,5,16052,Баянгол,4-р хороо,2-р хороолол-3 /16052/,МЗХ2019/05-54,Үйлчилгээ,,227/2021,,,,,,,,,,,,
96429,ТБА161206576000000,,Polygon,106.878413,47.913176,Загвар зураг,НЗДТГ,2,16052,Баянгол,4-р хороо,2-р хороолол-3 /16052/,,,,,,,,,,,,,,,,
96431,ТБА161497571200002,Орон сууцны барилга,Polygon,106.882877,47.916341,Загвар зураг,Транс импекс интернейшнл ХХК,5,16050,Баянгол,2-р хороо,2-р хороолол-1 /16050/,МЗХ2017/13-08,Орон сууцны барилга,,"2015, 544/2018",,"""Эх ачуут констракшн""ХХК БУ11-131/12",,,5,,,,,,,
96436,ТБА161523836800000,"Контор, үйлчилгээний барилга",Polygon,106.877228,47.91062,Загвар зураг,Ханбүргэдэй ХХК,12,16052,Баянгол,4-р хороо,2-р хороолол-3 /16052/,МЗХ2018/09-13,"Контор, үйлчилгээний барилга",,132/2022,,,,,,,,,,,,
96438,ТБА161421625600000,Худалдаа үйлчилгээ,Polygon,106.885144,47.908882,Загвар зураг,Одос намнан  ХХК,6,16010,Баянгол,1-р хороо,Үйлдвэрийн төвийн бүс-1 /16010/,2015/01-11,Худалдаа үйлчилгээ,,43/2013,,,,,,,,,,,,
96440,ТБА161331078400005,Ахуй үйлчилгээний төв,Polygon,106.882364,47.91191,Загвар зураг,Батхаан групп ХХК,4,16052,Баянгол,1-р хороо,2-р хороолол-3 /16052/,,Ахуй үйлчилгээний төв,,133/2013,,,,,,,,,,,,
96441,ТБА161337126400003,Үйлчилгээний төв,Polygon,106.888088,47.912669,Загвар зураг,Есөн сайхан ХХК,5,16051,Баянгол,3-р хороо,2-р хороолол-2 /16051/,,Үйлчилгээний төв,,165/2013,,,,,,,,,,,,
96442,ТБА161211500800001,,Polygon,106.882166,47.916089,Загвар зураг,Баянгол дүүргийн цагдаагийн хэлтэс,1,16050,Баянгол,2-р хороо,2-р хороолол-1 /16050/,,,,,,,,,,,,,,,,
96444,ТБА161434326400000,Сургуулийн өргөтгөл,Polygon,106.87885,47.916451,Загвар зураг,Сургууль /51-р сургууль/,3,16050,Баянгол,2-р хороо,2-р хороолол-1 /16050/,2015/11-29,Сургуулийн өргөтгөл,,386/2020,,,,,,,,,,,,
96446,ТБА161183334400003,Албан контор,Polygon,106.882678,47.908708,Загвар зураг,Гаалийн ерөнхий газар,6,16010,Баянгол,1-р хороо,Үйлдвэрийн төвийн бүс-1 /16010/,,Албан контор,,,,,,,,,,,,,,
96447,ТБА161221782400007,Үйлчилгээтэй орон сууц,Polygon,106.892686,47.910855,Загвар зураг,Д.Дэмбэрэлдаш,12,16051,Баянгол,3-р хороо,2-р хороолол-2 /16051/,2008.09.19-448,Үйлчилгээтэй орон сууц,,"394/2013, 036/2019",,,,,11,,,,,,,
96450,ТБА161211500800002,,Polygon,106.882372,47.916247,Загвар зураг,Баянгол дүүргийн цагдаагийн хэлтэс,1,16050,Баянгол,2-р хороо,2-р хороолол-1 /16050/,,,,,,,,,,,,,,,,
96454,ТБА161237334400002,,Polygon,106.882448,47.913158,Загвар зураг,НХОГ,4,16052,Баянгол,4-р хороо,2-р хороолол-3 /16052/,,,,,,,,,,,,,,,,
96457,ТБА161185321600005,Үйлчилгээний төв,Polygon,106.893805,47.912506,Загвар зураг,"Захирагчийн ажлын алба /ус, дулаан дамжуулах төв/",3,16051,Баянгол,3-р хороо,2-р хороолол-2 /16051/,,Үйлчилгээний төв,,,,,,,,,,,,,,
96458,ТБА161356998400006,албан конторын,Polygon,106.892748,47.911775,Загвар зураг,Нийслэлийн Засаг даргын тамгын газар,1,16051,Баянгол,3-р хороо,2-р хороолол-2 /16051/,,албан конторын,,,,,,,,,,,,,,
96461,ТБА161222041600004,Албан контор,Polygon,106.890781,47.911564,Загвар зураг,,2,16051,Баянгол,3-р хороо,2-р хороолол-2 /16051/,,Албан контор,,,,,,,,,,,,,,
96462,ТБА161208476800008,,Polygon,106.890126,47.912627,Загвар зураг,Улаанбаатар дулааны сүлжээ ХК,4,16051,Баянгол,3-р хороо,2-р хороолол-2 /16051/,,,,,,,,,,,,,,,,
96465,ТБА161356998400007,,Polygon,106.88207,47.910658,Загвар зураг,Ганзүмбэр ХХК,3,16052,Баянгол,4-р хороо,2-р хороолол-3 /16052/,,,,,,,,,,,,,,,,
96466,ТБА161331078400006,,Polygon,106.880064,47.914245,Загвар зураг,,7,16052,Баянгол,4-р хороо,2-р хороолол-3 /16052/,,,,,,,,,,,,,,,,
96467,ТБА161216684800003,,Polygon,106.89418,47.915409,Загвар зураг,Агаарын бохирдлыг хянах автомат харуулын байр,1,16040,Баянгол,2-р хороо,Гандан /16040/,,,,,,,,,,,,,,,,
96468,ТБА161222041600005,,Polygon,106.89153,47.91693,Загвар зураг,Д.Дашдаваа,2,16040,Баянгол,16-р хороо,Гандан /16040/,,,,,,,,,,,,,,,,
96471,ТБА161370822400002,"Сургалт, үйлдвэрлэл, дадлагын байр",Polygon,106.893679,47.915755,Загвар зураг,ШУТИС Политехникийн коллеж,2,16040,Баянгол,16-р хороо,Гандан /16040/,ТЗХ-11,"Сургалт, үйлдвэрлэл, дадлагын байр",,,,,,,,,,,,,,
96472,ТБА161372636800000,Нийслэлийн иргэдийн гамшгаас хамгаалах сургалтын ц,Polygon,106.882565,47.904614,Загвар зураг,НХОГазар,5,16030,Баянгол,4-р хороо,Үйлдвэрийн төвийн бүс-3 /16030/,ТЗХ-12,Нийслэлийн иргэдийн гамшгаас хамгаалах сургалтын ц,,84/2015,,"""ПГС""ХХК БУ11-1310/14",2016,2016/324,,,,,,,,
96473,ТБА161319155200002,,Polygon,106.887983,47.903594,Загвар зураг,,12,16030,Баянгол,1-р хороо,Үйлдвэрийн төвийн бүс-3 /16030/,,,,,,,,,,,,,,,,
96475,ТБА161242345600004,,Polygon,106.894432,47.905203,Загвар зураг,Улаанбаатар дулааны сүлжээ ХК,1,16020,Баянгол,3-р хороо,Үйлдвэрийн төвийн бүс-2 /16020/,,,,,,,,,,,,,,,,
96476,ТБА161369094400000,Дээрээ тохижилт бүхий газар доорх гаражийн барилга,Polygon,106.892135,47.906361,Загвар зураг,"Нирун интернэшнл ХХК, Магнус капитал ХХК",1,16030,Баянгол,1-р хороо,Үйлдвэрийн төвийн бүс-3 /16030/,2013 ТЗХ-04 БГД/231,Дээрээ тохижилт бүхий газар доорх гаражийн барилга,,,,,,,,,,,,,,
96478,ТБА161237334400003,,Polygon,106.895471,47.90341,Загвар зураг,Нийгмийн хамгаалал хөдөлмөрийн яам,2,16020,Баянгол,3-р хороо,Үйлдвэрийн төвийн бүс-2 /16020/,,,,,,,,,,,,,,,,
96480,ТБА161340323200001,,Polygon,106.893687,47.906754,Загвар зураг,Ноён уул эрдэнэ ХХК,10,16030,Баянгол,3-р хороо,Үйлдвэрийн төвийн бүс-3 /16030/,,,,,,,,,,,,,,,,
96481,ТБА161337126400004,,Polygon,106.891331,47.919694,Загвар зураг,"Л.Баяр-Эрдэнэ, Б.Отгончимэг",3,16040,Баянгол,16-р хороо,Гандан /16040/,,,,,,,,,,,,,,,,
96483,ТБА161190937600000,Хороо,Polygon,106.893614,47.918723,Загвар зураг,БГДЗДТГ,1,16040,Баянгол,16-р хороо,Гандан /16040/,,Хороо,,,,,,,,,,,,,,
96486,ТБА161208476800012,,Polygon,106.891651,47.918597,Загвар зураг,"Ч.Долгорсүрэн, М.Баасанжав",3,16040,Баянгол,16-р хороо,Гандан /16040/,,,,,,,,,,,,,,,,
96487,ТБА161629936000000,Үйлчилгээтэй амины сууц,Polygon,106.892009,47.918686,Загвар зураг,,2,16040,Баянгол,16-р хороо,Гандан /16040/,МЗХ2021/17-011,Үйлчилгээтэй амины сууц,,800/2021,,,,,,,,,,,,
96488,ТБА161311120000002,,Polygon,106.888837,47.918654,Загвар зураг,"""Макс өргөө""ХХК",12,16063,Баянгол,17-р хороо,4-р хороолол-4 /16063/,,,,,,,,,,,,,,,,
96489,ТБА161183334400004,,Polygon,106.889392,47.917877,Загвар зураг,Баянгол дүүргийн Нийгмийн даатгалын хэлтэс,4,16064,Баянгол,17-р хороо,4-р хороолол-5 /16064/,,,,,,,,,,,,,,,,
96491,ТБА161426809600000,"Соёл урлаг, боловсрол, биеийн тамирын төв",Polygon,106.887638,47.918884,Загвар зураг,Исүс Христийн Хожмын Үеийн Гэгээнтнүүдийн сүм,3,16063,Баянгол,17-р хороо,4-р хороолол-4 /16063/,2015/05-16,"Соёл урлаг, боловсрол, биеийн тамирын төв",,11*/2017,,"""Грийн гоулд стар констракшн"" ХХК БУ18-1645/14",,2020/99,,,,,,,,
96492,ТБА161356998400008,,Polygon,106.871472,47.917955,Загвар зураг,Т.Эрдэнэбаяр,1,16092,Баянгол,6-р хороо,3-р хороолол-3 /16092/,,,,,,,,,,,,,,,,
96493,ТБА161406652219000,Үйлдвэрлэл,Polygon,106.815607,47.898068,Загвар зураг,"""Мизү"" ХХК",3,16101,Баянгол,20-р хороо,Үйлдвэрийн баруун бүс-2 /16101/,,Үйлдвэрлэл,,,,,,,,,,,,,,
96494,ТБА161486080000000,Орон сууц,Polygon,106.892892,47.926899,Загвар зураг,Өлзийт интертрейд ХХК,6,16060,Баянгол,11-р хороо,4-р хороолол-1 /16060/,МЗХ2017/03-39,Орон сууц,,,,,,,,,,,,,,
96498,ТБА161337126400005,518.4 мкв,Polygon,106.89075,47.925636,Загвар зураг,Эмнэлэг /ЭХЭМҮТ/,6,16060,Баянгол,11-р хороо,4-р хороолол-1 /16060/,,518.4 мкв,,413/2013,,,,,,,,,,,,
96499,ТБА161452729600000,"Соёл, урлаг, үйлчилгээний төв",Polygon,106.889839,47.922118,Загвар зураг,Л.Батболд,3,16063,Баянгол,17-р хороо,4-р хороолол-4 /16063/,2016/01-01,"Соёл, урлаг, үйлчилгээний төв",,,,,,,,,,,,,,
96500,ТБА161568937600000,Эмнэлэг /1 давхар нэмэх/,Polygon,106.889149,47.924855,Загвар зураг,Юнимед Интернейшнл ХХК,7,16060,Баянгол,11-р хороо,4-р хороолол-1 /16060/,ГБМЗХ2019/10-39,Эмнэлэг /1 давхар нэмэх/,,28/2017,,,,,,,,,,,,
96501,ТБА161222041600006,,Polygon,106.893114,47.923728,Загвар зураг,Ш.Тулга,3,16040,Баянгол,16-р хороо,Гандан /16040/,,,,,,,,,,,,,,,,
96502,ТБА161649721600001,Дээрээ тохижилт бүхий газар доорх авто зогсоолын б,Polygon,106.886199,47.925741,Загвар зураг,НЗДТГ,,16062,Баянгол,15-р хороо,4-р хороолол-3 /16062/,МЗХ2022/09-044,Дээрээ тохижилт бүхий газар доорх авто зогсоолын б,,,,,,,,,,,,,,
96503,ТБА161647216000000,Хүүхдийн зөвлөх поликлинкийн өргөтгөл,Polygon,106.888199,47.9266,Загвар зураг,Эх хүүхдийн эрүүл мэндийн төв,,16060,Баянгол,11-р хороо,4-р хороолол-1 /16060/,ХТХ2022/00-129,Хүүхдийн зөвлөх поликлинкийн өргөтгөл,,,,,,,,,,,,,,
