id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хаяг,Үүсгэн байгуулсан он,Сургууль,Барилгын дугаар,Хичээлийн байрны дугаар,Ашиглалтад орсон он,Нэр
5009,,,Point,106.869121,47.918926,Ерөнхий боловсролын сургууль,БГД 8-р хороо,1983,Эрдмийн Ундраа ЦС 54-р сургууль,54,1,1983,Эрдмийн Ундраа ЦС 54-р сургууль
5010,,,Point,106.871887,47.919179,Ерөнхий боловсролын сургууль,БГД 8-р хороо,1982/1983,Эрдмийн Ундраа ЦС 77-р сургууль,С77,1,1982,Эрдмийн Ундраа ЦС 77-р сургууль
5011,,,Point,106.885763,47.920737,Ерөнхий боловсролын сургууль,"БГД 18-р хороолол, 41-р байрны хойно",1983/1997-1980/1983,Оюуны Ундраа ЦС 96-р сургууль,С96,2,1981,Оюуны Ундраа ЦС 96-р сургууль
5012,,,Point,106.881394,47.913366,Ерөнхий боловсролын сургууль,БГД 4-р хороо Төмөр зам 12-р байрны хойно,1984,20-р ахлах сургууль,20,1,1984,20-р ахлах сургууль
5013,,,Point,106.866131,47.916313,Ерөнхий боловсролын сургууль,"БГД 6 хороо, 10-р хороолол",1985/1987,Эрдмийн өргөө ЦС 56-р сургууль,56,1,1987,Эрдмийн өргөө ЦС 56-р сургууль
5014,,,Point,106.901793,47.917841,Ерөнхий боловсролын сургууль,ЧД 3-хороо Их дэлгүүрийн баруун хойно,1960,24-р сургууль,24,1,1962,24-р сургууль
5015,,,Point,106.893628,47.911886,Ерөнхий боловсролын сургууль,"БГД 3-р хороо,Рокмон бюлдинг замын урд",1953,73-р сургууль,С73,1,1953,73-р сургууль
5016,,,Point,106.903833,47.911207,Ерөнхий боловсролын сургууль,"СБД 3-р хороо Далай ээж захын урд,",1972/1992,Монгол-Оросын хамтарсан сургууль /3-р сургууль/,3,1,1972,Монгол-Оросын хамтарсан сургууль /3-р сургууль/
5017,,,Point,106.885638,47.917348,Ерөнхий боловсролын сургууль,БГД 18-р хороо Эрүүл мэндийн 7-р төвийн баруун талд.,1972/2004 - 1990,Монгени ЦС,,1,1971,Монгени ЦС
5018,,,Point,106.878238,47.921376,Ерөнхий боловсролын сургууль,"БГД 19-р хороо, Парадокс төвийн урд",1971,47-р сургууль,47,1,1971,47-р сургууль
5019,,,Point,106.88416,47.927046,Ерөнхий боловсролын сургууль,"БГД 11-р хороо, Эх нялхасын баруун талд.",1964/1990/2003,28-р сургууль,28,1,1964,28-р сургууль
5020,,,Point,106.868967,47.924107,Ерөнхий боловсролын сургууль,"БГД 13-р хороо, Хороололын эцэст, Хасбаатарын гудамж",1979/2001,13-р сургууль,13,1,1979,13-р сургууль
5021,,,Point,106.903172,47.913599,Ерөнхий боловсролын сургууль,СБД 4-р хороо Намнансүрэнгийн гуд,1973 - 1956,45-р сургууль,45,1,1956,45-р сургууль
5022,,,Point,106.836011,47.914261,Ерөнхий боловсролын сургууль,СХД 16-р хороо,1987,Ирээдүй ЦС 2-р дунд сургууль /82-р сургууль/,С82,1,1987,Ирээдүй ЦС 2-р дунд сургууль /82-р сургууль/
5023,,,Point,106.850135,47.915145,Ерөнхий боловсролын сургууль,СХД 13-р хороо,1986,Ирээдүй ЦС 1-р бага сургууль /80-р сургууль/,С80,1,1986,Ирээдүй ЦС 1-р бага сургууль /80-р сургууль/
5024,,,Point,106.849996,47.916061,Ерөнхий боловсролын сургууль,"СХД 13-р хороо,",1986,Ирээдүй ЦС 1-р дунд сургууль /36-р сургууль/,36,1,1986,Ирээдүй ЦС 1-р дунд сургууль /36-р сургууль/
5025,,,Point,106.834621,47.915161,Ерөнхий боловсролын сургууль,СХД 17-р хороо,1987,Ирээдүй ЦС 3-р бага сургууль /83-р сургууль/,С83,1,1987,Ирээдүй ЦС 3-р бага сургууль /83-р сургууль/
5026,,,Point,106.813072,47.912703,Ерөнхий боловсролын сургууль,СХД 18-р хороо Таван шар,1964/2012,12-р сургууль,12,1,1964,12-р сургууль
5027,,,Point,106.814959,47.919506,Ерөнхий боловсролын сургууль,"СХД 19-р хороо 21-р хороололд,",1975/2001,62-р сургууль,62,1,1976,62-р сургууль
5028,,,Point,106.821185,47.931874,Ерөнхий боловсролын сургууль,"СХД 6-р хороо,Ханын материалын эцэс",1958/2005,9-р сургууль,С9,1,1978,9-р сургууль
5029,,,Point,106.89804,47.910454,Ерөнхий боловсролын сургууль,СБД 5-р хороо үндсэн хуулийн гудамж,1973,6-р сургууль,6,1,1973,6-р сургууль
5030,,,Point,106.89459,47.900179,Ерөнхий боловсролын сургууль,ХУД 3-р хороо,1980,18-р сургууль,18,1,1980,18-р сургууль
5031,,,Point,106.961587,47.920481,Ерөнхий боловсролын сургууль,БЗД 5-р хороо,1966/1978/2011,Шавь цогцолбор сургууль /69-р сургууль/,С69,1,1966,Шавь цогцолбор сургууль /69-р сургууль/
5032,,,Point,106.980779,47.920674,Ерөнхий боловсролын сургууль,"БЗД 16-р хороо, Улаанхуаранд",1980/2009,44-р сургууль,44,1,1980,44-р сургууль
5033,,,Point,106.980553,47.919209,Ерөнхий боловсролын сургууль,БЗД 16-р хороо Улаанхуаран,1973,53-р сургууль,53,1,1973,53-р сургууль
5034,,,Point,106.98606,47.915835,Ерөнхий боловсролын сургууль,БЗД 8-р хороо Цэргийн 310 дугаар ангийн дэргэд,1977/2008,Баянзүрх ЦС,С68,1,,Баянзүрх ЦС
5035,,,Point,106.996667,47.919111,Ерөнхий боловсролын сургууль,БЗД 8-р хороо Эрдэнэтолгойд,2002/2013,92-р сургууль,С92,2,2001,92-р сургууль
5036,,,Point,107.008328,47.93388,Ерөнхий боловсролын сургууль,БЗД 17-р хороо Шархадны эцсийн буудал,1979/1986/2011,79-р сургууль /3-р байр/,С79,1,2011,79-р сургууль /3-р байр/
5037,,,Point,106.79322,47.907375,Ерөнхий боловсролын сургууль,"БГД 20-р хороо, 34-р цэцэрлэгийн зүүн талд",1956/2012,19-р сургууль,19,1,1956,19-р сургууль
5038,,,Point,106.803836,47.865723,Ерөнхий боловсролын сургууль,ХУД 7-р хороо,1974/1989,60-р сургууль,60,1,1974,60-р сургууль
5039,,,Point,106.829555,47.866647,Ерөнхий боловсролын сургууль,"ХУД 4-р хороо, арцатын 18-2",1975,63-р сургууль,63,1,1975,63-р сургууль
5040,,,Point,106.818165,47.869696,Ерөнхий боловсролын сургууль,"ХУД 5-рхороо наадамчдын гудамж С41, Яармагийн автобусны 3-р буудал",1969,41-р сургууль,41,1,1969,41-р сургууль
5041,,,Point,106.775548,47.915366,Ерөнхий боловсролын сургууль,"СХД 2-р хороо 1-р хороолол, Цэргийн хотхны хойно.",1969/1978/1982,42-р сургууль,42,1,1968,42-р сургууль
5042,,,Point,106.84218,47.915045,Ерөнхий боловсролын сургууль,СХД 14-р хороо,1986,Ирээдүй ЦС 2-р ахлах /81-р сургууль/,С81,1,1986,Ирээдүй ЦС 2-р ахлах /81-р сургууль/
5043,,,Point,106.841837,47.916198,Ерөнхий боловсролын сургууль,"СХД 15-р хороо, 1-р хороолол,Цамбагаравын урд",1987,Ирээдүй ЦС 1-р ахлах /86-р сургууль/,С86,1,1987,Ирээдүй ЦС 1-р ахлах /86-р сургууль/
5044,,,Point,106.878849,47.916237,Ерөнхий боловсролын сургууль,"БГД 2-р хороо, Энхтайвны өргөн чөлөө, Төмөр зам",1973,51-р сургууль,51,1,1973,51-р сургууль
5045,,,Point,106.879131,47.910121,Ерөнхий боловсролын сургууль,"БГД 4-р хороо,Нарны замд, Тээвэрчдийн гудамж",1956/1969 - 1992,38-р сургууль,38,1,2017,38-р сургууль
5046,,,Point,106.865756,47.919723,Ерөнхий боловсролын сургууль,БГД 7-р хороо 4-р хороолол,1989/,93-р сургууль,С93,1,1989,93-р сургууль
5047,,,Point,106.832249,47.873161,Ерөнхий боловсролын сургууль,"ХУД 4-р хороо Яармаг, арцатын гудамж",1976,34-р сургууль,34,1,1976,34-р сургууль
5048,,,Point,106.908652,47.909853,Ерөнхий боловсролын сургууль,"СБД 2-р хороо, усны гудамж",1982,31-р сургууль,31,1,1982,31-р сургууль
5049,,,Point,106.929197,47.932696,Ерөнхий боловсролын сургууль,"СБД 11-р хороо, ЭМН-ийн хойно",1964/1989,29-р сургууль /Тусгай сургууль/,29,1,1964,29-р сургууль /Тусгай сургууль/
5050,,,Point,106.934325,47.978123,Ерөнхий боловсролын сургууль,СБД 15-р хороо Дарь эхийн шинэ эцэст.,1974,Эрдмийн хөтөч ЦС /58-р сургууль/,58,1,1974,Эрдмийн хөтөч ЦС /58-р сургууль/
5051,,,Point,106.912414,47.948133,Ерөнхий боловсролын сургууль,ЧД 13-р хороо,1963/2009,17-р сургууль,17,1,1963,17-р сургууль
5052,,,Point,106.902905,47.971191,Ерөнхий боловсролын сургууль,ЧД 17-р хороо,1968 - 1983/2002,37-р сургууль,37,1,1983,37-р сургууль
5053,,,Point,106.936265,47.925498,Ерөнхий боловсролын сургууль,"БЗД 1-р хороо, РЦНК-ийн зүүн талд",1968/2006,48-р сургууль,48,2,2006,48-р сургууль
5054,,,Point,106.940167,47.922347,Ерөнхий боловсролын сургууль,"БЗД 3-р хороо, сансарын түнел дээр",1966/2008,33-р сургууль,33,1,1966,33-р сургууль
5055,,,Point,106.910234,47.883842,Ерөнхий боловсролын сургууль,"ХУД 11-р хороо, зайсан гудамж",1956 - 1965,32-р сургууль,32,1,2018,32-р сургууль
5056,,,Point,106.898578,47.900908,Ерөнхий боловсролын сургууль,ХУД 3-р хороо,1974,15-р сургууль,15,1,1974,15-р сургууль
5057,,,Point,106.905757,47.901967,Ерөнхий боловсролын сургууль,"ХУД 1-р хороо 19-р хороолол,",1972/2012,52-р сургууль,52,1,1972,52-р сургууль
5058,,,Point,106.827018,47.953228,Ерөнхий боловсролын сургууль,СХД 8-р хороо Нарангийн 1-р гудамж,1976/2002,67-р сургууль,С67,1,1985,67-р сургууль
5059,,,Point,106.838886,47.957011,Ерөнхий боловсролын сургууль,СХД 9-р хороо Баянхошууны шинэ эцэс,1981/2002,76-р сургууль,С76,1,1981,76-р сургууль
5060,,,Point,106.907052,47.935829,Ерөнхий боловсролын сургууль,ЧД 10-р хороо Дэнжийн-1000.,1969/2007,39-р сургууль,39,2,2006,39-р сургууль
5061,,,Point,106.898311,47.915006,Ерөнхий боловсролын сургууль,"СБД 5-р хороо, Партизаны гудамж.",1957,11-р сургууль,11,1,2016,11-р сургууль
5062,,,Point,106.920268,47.93236,Ерөнхий боловсролын сургууль,"СБД 10-р хороо, Цагдаагийн гудамж",1980,16-р сургууль,16,1,1980,16-р сургууль
5063,,,Point,106.929575,47.92097,Ерөнхий боловсролын сургууль,СБД 8-р хороо,1967 - 1974,25-р сургууль,25,1,1967,25-р сургууль
5064,,,Point,107.036422,47.918467,Ерөнхий боловсролын сургууль,БЗД 23-р хороо Улиастайн шинэ эцэст.,1966/2007 - 1984/2007,87-р сургууль,С87,1,1984,87-р сургууль
5065,,,Point,106.939588,47.910897,Ерөнхий боловсролын сургууль,"БЗД 18-р хороо, Шинэ монгол сургуулийн хажууд",2000,111-р сургууль,111,1,2000,111-р сургууль
5066,,,Point,106.966093,47.915331,Ерөнхий боловсролын сургууль,БЗД 13-р хороо БЗДүүргийн урд,1990,55-р сургууль,55,1,1990,55-р сургууль
5067,,,Point,106.884579,47.925422,Ерөнхий боловсролын сургууль,"БГД 15-р хороо,  Энэбишийн өргөн чөлөө",1969,40-р сургууль,40,1,1969,40-р сургууль
5068,,,Point,106.558583,47.754195,Ерөнхий боловсролын сургууль,"ХУД 13-рхороо 1-р хэсэг, туул тосгон.",1987,26-р сургууль,26,1,1987,26-р сургууль
5069,,,Point,106.909143,47.921605,Ерөнхий боловсролын сургууль,"ЧД 4-р хороо, Ж.Санбуугийн гудамж Шонхор төв",2005 - 1993,Чинхур сургууль,,,,Чинхур сургууль
5070,,,Point,106.900539,47.920469,Ерөнхий боловсролын сургууль,"ЧД 2-р хороо, Бөмбөгөрийн  хойно",2005 - 2002,Бэтүб шашны сургууль,,1,,Бэтүб шашны сургууль
5071,,,Point,107.00191,47.913574,Ерөнхий боловсролын сургууль,"БЗД 8-р хороо, Ботаникийн эцэст",1976/2012,Амгалан ЦC,27,1,1976,Амгалан ЦC
5072,,,Point,106.983247,47.913698,Ерөнхий боловсролын сургууль,"БЗД 8-р хороо, 22-р баазын зүүн талд, НИК ШТС-ын чанх хойно",2001,Хишиг сургууль,,1,2000,Хишиг сургууль
5073,,,Point,108.374884,47.782786,Ерөнхий боловсролын сургууль,"БНД 3-р хороо,","1989,2009,1979",Боловсрол ЦС /2-р байр/,,2,1982,Боловсрол ЦС /2-р байр/
5074,,,Point,107.001889,47.914733,Ерөнхий боловсролын сургууль,"БЗД 8-р хороо, Усны гуд, 15-р байр, Ботаникийн эцсийн буудал",2003/2010 - 1994,Улаанбаатар-Эмпати сургуууль,,1,2003,Улаанбаатар-Эмпати сургуууль
5075,,,Point,106.910568,47.912741,Ерөнхий боловсролын сургууль,"СБД 2-р хороо, Сөүлийн гудамж,",1950/2005,УБ Элит сургууль,,,1964,УБ Элит сургууль
5076,,,Point,106.88907,47.920486,Ерөнхий боловсролын сургууль,"БГД 17-р хороо, С.Амарсанаагийн гудамж",1957/1997,Оюуны Ундраа ЦС 22-р сургууль,22,1,2015,Оюуны Ундраа ЦС 22-р сургууль
5077,,,Point,106.926641,47.994928,Ерөнхий боловсролын сургууль,"ЧД 19-р хороо, Салхит",2009,117-р сургууль,117,1,2009,117-р сургууль
5078,,,Point,106.882314,47.919324,Ерөнхий боловсролын сургууль,"БГД 18-р хороо, Модны 2ийн замд Түндэмүн сауны хойно.",1990 -1970-1977,70-р тусгай дунд сургууль,С70,1,1972,70-р тусгай дунд сургууль
5079,,,Point,106.866436,47.925707,Ерөнхий боловсролын сургууль,"БГД 10 хороо, Зүүн наран",2009,113-р сургууль,113,1,2009,113-р сургууль
5080,,,Point,106.875344,47.924133,Ерөнхий боловсролын сургууль,"БГД 13-р хороо, Өргөө кино театрын хойд талд",1999/2001 - 2015,Гурван тамир сургууль,,1,2008,Гурван тамир сургууль
5081,,,Point,106.890191,47.916715,Ерөнхий боловсролын сургууль,БГД 17-р хороо,1974 - 2013,Лидер сургууль,,1,2013,Лидер сургууль
5082,,,Point,106.888498,47.922512,Ерөнхий боловсролын сургууль,"БГД 18-р хороо, Сэрүүлэг дээд сургуулийн байранд",1997,Оюуны нахиа сургууль,,,1997,Оюуны нахиа сургууль
5083,,,Point,108.375302,47.781386,Ерөнхий боловсролын сургууль,"БНД 3-р хороо, Боловсрол цогцолборын 3-р байрны урд",2014,Оюуны эрин ЦС /1-р байр/,125,1,2014,Оюуны эрин ЦС /1-р байр/
5084,,,Point,108.367532,47.783628,Ерөнхий боловсролын сургууль,"БНД 1-р хороо,","1979,2009,1979",Гүн галуутай ЦС /1-р байр/,,1,1979,Гүн галуутай ЦС /1-р байр/
5085,,,Point,106.871175,47.922309,Ерөнхий боловсролын сургууль,"БГД 8-р хороо,Ард Аюушийн өргөн чөлөө 28/2",,Номч сургууль,,,2013,Номч сургууль
5086,,,Point,106.885424,47.918592,Ерөнхий боловсролын сургууль,"БГД 18-р хороо, 4-р хороо,Модны 2т замын хойно.",2003 - 2010,Русская гимназия сургууль,,1,2010,Русская гимназия сургууль
5087,,,Point,106.857968,47.918024,Ерөнхий боловсролын сургууль,"БГД 6-р хороо, 3-р эмнэлгийн хойно",1996,Радуга бүрэн дунд сургууль,,1,1996,Радуга бүрэн дунд сургууль
5088,,,Point,106.940242,47.92431,Ерөнхий боловсролын сургууль,"БЗД 1-р хороо, Сансарын тунель дээр",1978/1981,Билгүүн номч сургууль,,,2005,Билгүүн номч сургууль
5089,,,Point,106.93523,47.926278,Ерөнхий боловсролын сургууль,"БЗД 1-р хороо, Оросын шинжлэх ухаан соёлын төв, 3 давхарт",1999,Криллица сургууль,,,,Криллица сургууль
5090,,,Point,106.941924,47.910524,Ерөнхий боловсролын сургууль,"БЗД 25 хороо, (Нарантуул захын баруун талд)",2006/2008 - 2004,Улаанбаатар сургууль,,1,1968,Улаанбаатар сургууль
5091,,,Point,106.93881,47.910989,Ерөнхий боловсролын сургууль,"БЗД 25 хороо, Mанлайбаатар дамдинсүрэнгийн гудамж-43",1998,Шинэ Монгол сургууль,,1,2001,Шинэ Монгол сургууль
5092,,,Point,106.926437,47.92364,Ерөнхий боловсролын сургууль,"СБД 7-р хороо, Залуучуудын өргөн чөлөө",1962,Монгол улсын консерватори,,1,1962,Монгол улсын консерватори
5093,,,Point,106.919137,47.928723,Ерөнхий боловсролын сургууль,"СБД 6-р хороо, Их тойруу-49, Тулга ХХК",1992 - 1981,Кингс кидс сургууль,,,1979,Кингс кидс сургууль
5094,,,Point,106.92729,47.927226,Ерөнхий боловсролын сургууль,"СБД 8-р хороо, 11-р хороололд",2007,Эрдэм төгс дунд сургууль,,1,2008,Эрдэм төгс дунд сургууль
5095,,,Point,106.920164,47.930315,Ерөнхий боловсролын сургууль,"СБД 10-р хороо, 20/2 Оюуны Тулга сургууль",2004,Оюуны тулга сургууль,,,1999,Оюуны тулга сургууль
5096,,,Point,106.928005,47.920954,Ерөнхий боловсролын сургууль,"СБД 8-р хороо, Залуучуудын гудамж 25",1994/2004,Хобби сургууль,,1,1994,Хобби сургууль
5097,,,Point,106.929002,47.925571,Ерөнхий боловсролын сургууль,"СБД 7-р хороо, 11-р хороолол, Эрхүүгийн гудамж, Ардчиллын ордны ар талд.",1978-2001,"МУИС-ийн “Байгаль-Эх"" лицей",,1,1983,"МУИС-ийн “Байгаль-Эх"" лицей"
5098,,,Point,106.891566,47.895994,Ерөнхий боловсролын сургууль,ХУД 3-р хороо 65/1-р байр,2004,Аварга сургууль,,1,,Аварга сургууль
5099,,,Point,106.888362,47.930151,Ерөнхий боловсролын сургууль,"БГД 11-р хороо,МҮТВ-ийн хойно",1982/2002,Сэтгэмж ЦС 46-р сургууль,,1,1982,Сэтгэмж ЦС 46-р сургууль
5100,,,Point,106.924211,47.933485,Ерөнхий боловсролын сургууль,"СБД 11-р хороо, Цагдаагийн гудамж 55 тоот, 100 айл,СУИС 2-р байрын хажууд",1964/2001,Монгол Хятад найрамдал сургууль,,,2001,Монгол Хятад найрамдал сургууль
5101,,,Point,106.839676,47.914755,Ерөнхий боловсролын сургууль,"СХД 15-р хороо,",1987 - 1997,Ирээдүй ЦС 2-р бага сургууль /86-р сургууль/,,1,1987,Ирээдүй ЦС 2-р бага сургууль /86-р сургууль/
5102,,,Point,106.831082,47.967392,Ерөнхий боловсролын сургууль,"СХД 25 хороо, Зүүн салаа",2006,104-р сургууль,104,1,2006,104-р сургууль
5103,,,Point,106.751257,47.919891,Ерөнхий боловсролын сургууль,"СХД 1-р хороо, Орбит",2008,106-р сургууль,106,1,2008,106-р сургууль
5104,,,Point,106.764719,47.920306,Ерөнхий боловсролын сургууль,СХД 1-р хороо,2007,107-р сургууль,107,1,2007,107-р сургууль
5105,,,Point,106.835688,47.914722,Ерөнхий боловсролын сургууль,"СХД 16-р хороо, 26/2",1999/2013,Ромашка сургууль,,1,,Ромашка сургууль
5106,,,Point,106.831231,47.913539,Ерөнхий боловсролын сургууль,"СХД 17-р хороо, Өнөр хороолол",2003 - 2000,Номуун сургууль,,1,1996,Номуун сургууль
5107,,,Point,106.930402,47.898326,Ерөнхий боловсролын сургууль,"ХУД 15-р хороо, Махатма гандигын гудамж",1992,Олон улсын дунд сургууль,,1,2009,Олон улсын дунд сургууль
5108,,,Point,106.848199,47.874686,Ерөнхий боловсролын сургууль,"ХУД 4-р хороо, Вива Сити хорооллын замын урд",2010,Улаанбаатар дахь Англи сургууль,,1,2011,Улаанбаатар дахь Англи сургууль
5109,,,Point,106.678204,47.84519,Ерөнхий боловсролын сургууль,"ХУД 12-р хороо,Био комбинат",1963,10-р сургууль,10,1,1963,10-р сургууль
5110,,,Point,106.795754,47.861834,Ерөнхий боловсролын сургууль,"ХУД 8-р хороо, наадамчдын зам",2011,118-р сургууль,118,1,2011,118-р сургууль
5111,,,Point,106.707645,47.788779,Ерөнхий боловсролын сургууль,"ХУД 14-р хороо, Өлзийт",1992/2014,59-р сургууль,59,1,1992,59-р сургууль
5112,,,Point,106.900589,47.892321,Ерөнхий боловсролын сургууль,"ХУД 15-р хороо, Туул гол гудамж",2009,115-р сургууль,115,1,,115-р сургууль
5113,,,Point,106.763233,47.86608,Ерөнхий боловсролын сургууль,"ХУД 9-р хороо, Нисэхийн эцэс",2006,114-р сургууль,114,1,2014,114-р сургууль
5114,,,Point,107.267013,47.765252,Ерөнхий боловсролын сургууль,"НД 3-р хороо, Дэнж-1",2006,109-р бага сургууль,109,1,2006,109-р бага сургууль
5115,,,Point,107.249032,47.771988,Ерөнхий боловсролын сургууль,"НД 7-р хороо,Т.Дамдины гудамж",1970,Чандмана-Эрдэнэ сургууль,,1,,Чандмана-Эрдэнэ сургууль
5116,,,Point,107.248451,47.768681,Ерөнхий боловсролын сургууль,"НД 2-р хороо, Жаргалт Дамдины гудамж",2008 - 1971/2009,Эрдмийн оргил ЦС,,1,1971,Эрдмийн оргил ЦС
5117,,,Point,107.253473,47.774446,Ерөнхий боловсролын сургууль,"НД 2-р хороо, Даваажавын гудамж",1961/1966/2008,Голомт ЦС,,1,1961,Голомт ЦС
5118,,,Point,107.24457,47.767472,Ерөнхий боловсролын сургууль,НД 2-р хороо,2008 - 2013,119-р сургууль,119,1,1971,119-р сургууль
5119,,,Point,107.395825,47.784932,Ерөнхий боловсролын сургууль,"НД 5-р хороо, Городок тосгоны сургууль",1967,Чандмань ЦС /103-р сургууль/,103,1,1962,Чандмань ЦС /103-р сургууль/
5120,,,Point,106.926275,47.912708,Ерөнхий боловсролын сургууль,"СБД 1-р хороо, ЮНЕСКО-ийн гудамж,",2003,Шинэ үе сургууль,,1,2003,Шинэ үе сургууль
5121,,,Point,106.928786,47.920789,Ерөнхий боловсролын сургууль,"СБД 8-р хороо, Бээжингийн гудамж-29",2009/2013,Хүлэг ахлах сургууль,,,,Хүлэг ахлах сургууль
5122,,,Point,106.928588,47.920046,Ерөнхий боловсролын сургууль,"СБД 8-р хороо,Энхтайваны өргөн чөлөө",1975/1997,Үй Цай сургууль,,1,1975,Үй Цай сургууль
5123,,,Point,106.907961,47.909009,Ерөнхий боловсролын сургууль,"СБД 2-р хороо, Усны гудамж 23, Өөрийн байранд",1997/2005,Сант бүрэн дунд сургууль,,1,1997,Сант бүрэн дунд сургууль
5124,,,Point,106.913307,47.930345,Ерөнхий боловсролын сургууль,"СБД 9-р хороо, Алтайн-28, 4-р сургуулийн хойно.",1998/2006,Галакси сургууль,,1,2012,Галакси сургууль
5125,,,Point,106.92707,47.922193,Ерөнхий боловсролын сургууль,"СБД 8-р хороо,Оюутны гудамж, Логарифм сургуулийн байр",2008,Логарифм сургууль,,1,,Логарифм сургууль
5126,,,Point,106.921399,47.931496,Ерөнхий боловсролын сургууль,"СБД 10-р хороо, 19 байр",1989/2011 - 2002,Ертөнц сургууль,,1,1989,Ертөнц сургууль
5127,,,Point,106.917123,47.925671,Ерөнхий боловсролын сургууль,"СБД 6-р хороо,Хүүхдийн урлан бүтээх төвийн замын эсрэг талд ""ТҮШЭЭ"" дээд сургуулын 5 -р давхарт",1984/2007,Ес эрдэм бүрэн дунд сургууль,,,,Ес эрдэм бүрэн дунд сургууль
5128,,,Point,106.934191,47.928214,Ерөнхий боловсролын сургууль,"БЗД 1-р хороо, 12-р хор-л, РЦНК-н хойно, топ мебелийн баруун талд",1997,И-Эс-Эм сургууль - Эрэл сургууль,,1,1999,И-Эс-Эм сургууль - Эрэл сургууль
